target,level,model,auc,precision,lift
SPXL,top decile,M0,0.7770162985102508,0.37755102040816324,3.7446897126197416
SPXL,top decile,M1,0.7746112174847056,0.3673469387755102,3.6434818825489383
SPXL,top decile,M2,0.7730117218512118,0.3673469387755102,3.6434818825489383
SPXL,top 5%,M0,0.7748468834987948,0.32653061224489793,6.4773011245314445
SPXL,top 5%,M1,0.7751122117319301,0.3469387755102041,6.88213244481466
SPXL,top 5%,M2,0.7757092002564839,0.3877551020408163,7.691795085381091
FAS,top decile,M0,0.7413603885490122,0.32653061224489793,3.2386505622657222
FAS,top decile,M1,0.7397492177649092,0.336734693877551,3.3398583923365264
FAS,top decile,M2,0.7201699901928735,0.29591836734693877,2.935027072053311
FAS,top 5%,M0,0.7696508722665664,0.22448979591836735,4.453144523115369
FAS,top 5%,M1,0.7738076812523493,0.20408163265306123,4.048313202832153
FAS,top 5%,M2,0.7675503570875803,0.20408163265306123,4.048313202832153
