,gate,exposure,ann_ret,sharpe,sr_test,maxdd,rt_yr,dsr
20,SPXLrv(21)<0.45,0.584717607973422,0.1617660867797005,0.9646690730295924,0.9279246199983878,-0.2686636836174796,5.8604651162790695,0.6588414661110962
21,SPXLrv(21)<0.60,0.8033222591362126,0.18848540534287547,0.8113196598836852,0.7243910287118194,-0.32854743164737465,5.190697674418605,0.5155351315667548
0,VXXz(5)<-0.5,0.507641196013289,0.14953027659156942,0.8044512958410628,0.7764345266021955,-0.23881084899733562,72.33488372093024,0.5093607954154932
17,SPXLrv(10)<0.45,0.6099667774086379,0.12017078195370588,0.687793533538345,1.0581143296936129,-0.2602966610184434,13.56279069767442,0.39682766728944163
15,VXXz(63)<1.0,0.8777408637873754,0.1674357549054721,0.6325318183047178,1.0705322831439452,-0.5419901452100752,12.223255813953488,0.34569498057148973
1,VXXz(5)<0.0,0.6332225913621262,0.13523961092134146,0.6249844072067144,0.7258539726496016,-0.3160445764099199,66.8093023255814,0.33835888604315223
3,VXXz(5)<1.0,0.8352159468438538,0.158592570696995,0.5963124105443761,1.026889753727388,-0.5593247356662839,54.41860465116279,0.3129338985075436
4,VXXz(10)<-0.5,0.5528239202657808,0.10825145814307485,0.5905652374504924,0.6890356280346835,-0.41231923218175426,47.55348837209302,0.30510553748920827
18,SPXLrv(10)<0.60,0.8066445182724252,0.13490338931366166,0.5888506706165983,0.772799432842413,-0.46021678589029114,8.874418604651163,0.30934179376678095
14,VXXz(63)<0.5,0.8212624584717608,0.1390874375988884,0.5689096019855975,1.342741083647563,-0.556406985215488,13.227906976744185,0.2893460049138013
5,VXXz(10)<0.0,0.66578073089701,0.11813153757578461,0.5656390798962111,1.0705071514770796,-0.4771397247113056,43.032558139534885,0.28514585582498275
8,VXXz(21)<-0.5,0.5926910299003322,0.10127795282045064,0.5193813924233205,0.9900745486442689,-0.3734509731322476,34.9953488372093,0.24672453402832478
11,VXXz(21)<1.0,0.8551495016611296,0.12964752512061514,0.5012534735127832,0.707396159834232,-0.49901609946071546,22.93953488372093,0.23608911655476883
7,VXXz(10)<1.0,0.8358803986710963,0.12780058223650637,0.4998528335771095,0.7163263695846596,-0.5968186981802117,41.693023255813955,0.23517017259130946
6,VXXz(10)<0.5,0.760797342192691,0.08779369434019192,0.3826462169139865,0.8369032620692193,-0.5806173754709203,43.367441860465114,0.15541024506402773
10,VXXz(21)<0.5,0.7847176079734219,0.0899835179100587,0.3738359141897968,0.6689605638667228,-0.5671383358269949,25.953488372093023,0.1514103517239428
2,VXXz(5)<0.5,0.7375415282392026,0.08879451011350825,0.3678805627827604,0.4782011831236968,-0.5662824627333096,63.7953488372093,0.14801193816401875
13,VXXz(63)<0.0,0.7581395348837209,0.07922714130363348,0.35307427032759026,0.552359371290488,-0.49919628739314414,14.232558139534884,0.13976957185948646
9,VXXz(21)<0.0,0.7096345514950166,0.0776055235132154,0.34567087073019914,0.456157005098718,-0.5048881898336324,32.986046511627904,0.13566797916074524
12,VXXz(63)<-0.5,0.6744186046511628,0.07017170488733825,0.33251876239535355,0.638765444733472,-0.5173665575095464,17.58139534883721,0.1286305644423762
19,SPXLrv(21)<0.30,0.20465116279069767,0.029360772851276067,0.32861078273769,0.0716972300863953,-0.15874985612437886,10.716279069767442,0.13386754891067876
16,SPXLrv(10)<0.30,0.2691029900332226,-0.01642884564751942,-0.15351197869552,-0.2755549813462173,-0.23471028293634844,17.413953488372094,0.0095328072351607
