,sym,lb,thr,ann_ret,sharpe,rt_yr,be_bp,sr_5bp,dsr
17,FAS,6,1.5,0.07944826640171974,0.4798575943614935,2340.2868525896415,0.3394808901900481,-6.58766237845435,0.17675089372641256
18,FAS,6,2.0,0.003803435792736225,0.21628785165151107,31.45816733067729,1.2090455724123512,-0.6781691340349846,0.05930519915679471
1,SPXL,6,1.5,0.023671358725790043,0.14878689363744632,2418.011952191235,0.09789595417151986,-7.450449198221995,0.04099388764919218
0,SPXL,6,1.0,0.034814869824451686,0.1395314406821445,4351.183266932271,0.08001241889541767,-8.579830041472439,0.03898440711252155
23,FAS,12,2.5,0.0004838997091849942,0.01246890225981831,117.63346613545816,0.041136228072015696,-1.5030932730068898,0.01930440594290021
22,FAS,12,2.0,-0.0038786315312361887,-0.042377222987462604,794.9880478087649,-0.048788551499949054,-4.385324665022798,0.01379756759325546
11,SPXL,24,2.5,-0.00385414320160418,-0.06576815605426958,232.9243027888446,-0.16546762855819808,-2.0531102309767273,0.012024131062036522
28,FAS,39,1.0,-0.017321986968650647,-0.08284090062391165,954.6215139442231,-0.18145397642549613,-2.3655382064590804,0.010771283302370234
30,FAS,39,2.0,-0.010359572301896467,-0.09376497636069853,394.0637450199203,-0.2628907742165619,-1.8771097255274696,0.010280287884326536
31,FAS,39,2.5,-0.006711923483283953,-0.10023184709266089,155.11553784860558,-0.4327047809894365,-1.2584331369359063,0.010271231025511059
27,FAS,24,2.5,-0.0065968885607638195,-0.11627613936611898,206.65338645418328,-0.31922479829414274,-1.9375027481300613,0.008759688086525485
16,FAS,6,1.0,-0.04561668233925379,-0.15996140762959665,4269.609561752988,-0.10684040701961701,-7.645959078914491,0.006414960437327525
21,FAS,12,1.5,-0.04677429760170352,-0.268637502997757,2024.199203187251,-0.2310755657252208,-6.081400573698239,0.0028949569141094164
5,SPXL,12,1.5,-0.05303594872072275,-0.3389795443563589,2084.856573705179,-0.2543865577595488,-7.001665406019872,0.0017054895404539085
6,SPXL,12,2.0,-0.039138729376903915,-0.42629331401662685,829.792828685259,-0.47166868673613543,-4.945284355869562,0.0008161615937415631
7,SPXL,12,2.5,-0.01820140362157352,-0.44661163852100505,141.39442231075697,-1.2872787571188937,-2.181323860140288,0.0004931730305040026
25,FAS,24,1.5,-0.07725207959507603,-0.4504237127024701,1243.434262948207,-0.6212799654716755,-4.075389410417418,0.0006469003853603987
14,SPXL,39,2.0,-0.050747262847024174,-0.48491412851749455,429.7051792828685,-1.1809786172862953,-2.5379323687281072,0.0006327758998204819
2,SPXL,6,2.0,-0.010346312961840604,-0.5643751463676954,31.12350597609562,-3.3242761820558004,-1.4132443670030794,0.00011634064408979821
20,FAS,12,1.0,-0.1405257956915218,-0.5645873280867635,2756.1872509960162,-0.5098557641203054,-6.1013230857072625,0.00022872155915724536
10,SPXL,24,2.0,-0.05994508068072505,-0.587223287105289,671.2470119521912,-0.893040559039309,-3.874998300017336,0.000300284394248545
15,SPXL,39,2.5,-0.04404850293047431,-0.5933859664854018,191.25896414342628,-2.303081747187654,-1.8816293543069567,0.0005598257141043793
29,FAS,39,1.5,-0.09013785258972935,-0.5981737472036546,719.187250996016,-1.2533294001651967,-2.9845126742439505,0.00015909343726998199
26,FAS,24,2.0,-0.07318105711660346,-0.6470465296286841,651.2509960159363,-1.123699734269776,-3.5261365120124575,0.0001787709765313305
4,SPXL,12,1.0,-0.1659646981587777,-0.7238225104967777,2786.641434262948,-0.5955724913803792,-6.800517799252886,5.133914104639646e-05
24,FAS,24,1.0,-0.23292133175520413,-1.0201762016627156,1601.187250996016,-1.454678905357982,-4.526710179384969,1.4988118314673858e-06
9,SPXL,24,1.5,-0.17646949377966958,-1.0870232204061585,1273.804780876494,-1.3853731468823853,-5.010237781235394,5.344201310285743e-07
8,SPXL,24,1.0,-0.26904362077949406,-1.1697364008719404,1626.370517928287,-1.6542578570731152,-4.705268651392906,5.9116763307372044e-08
13,SPXL,39,1.5,-0.1887303321251523,-1.247826554098855,753.3227091633466,-2.505305227486896,-3.738194874111034,2.7839824290721325e-08
12,SPXL,39,1.0,-0.26397471109764453,-1.2703412992726186,965.1633466135459,-2.73502627326088,-3.5926979648962254,1.0426042868735728e-08
3,SPXL,6,2.5,0.0,,0.0,,,
19,FAS,6,2.5,0.0,,0.0,,,
