leg,sym,gate,ann_ret,ann_vol,sharpe,sr_train,sr_test,max_dd
overnight,SPXL,ungated,0.19924013172909574,0.305207345651733,0.6528025441315731,0.4245523682378123,0.9677540966419302,-0.5510682679637726
overnight,SPXL,gated,0.19131487498251226,0.16787221899824026,1.1396458337428528,0.9340664665186114,1.3696861725160643,-0.20582198437616572
overnight,FAS,ungated,0.21605490978727923,0.3381329434703264,0.6389643894790737,0.8424567039469684,0.3111560563603074,-0.5236332569308197
overnight,FAS,gated,0.13221729857688866,0.19182688143701127,0.6892532349294531,0.968057167686709,0.36925974513957277,-0.34663006633654425
intraday,SPXL,ungated,0.09186429833908269,0.41074325805537665,0.2236538191131977,0.22353871673082934,0.22463013200955603,-0.4202242348398063
intraday,SPXL,gated,-0.03332608242620348,0.2342200509532345,-0.14228535213177596,0.021071638639144782,-0.3206883386910083,-0.41293225328940397
intraday,FAS,ungated,0.04584464417500645,0.4555966881321777,0.10062549919525757,-0.11474460487438198,0.44048252646955677,-0.6309486156588909
intraday,FAS,gated,-0.03223889625819328,0.29030472601227214,-0.11105191672570441,-0.2249986746256917,0.02798240382584216,-0.4444471195011487
full-day,SPXL,ungated,0.2911044300681789,0.4978845969421552,0.5846825385963883,0.4329961590509888,0.8212187841515388,-0.6385748544021931
full-day,SPXL,gated,0.15798879255630935,0.2799758033552139,0.5642944521025774,0.5445744561846287,0.59300580281196,-0.3027644598592273
full-day,FAS,ungated,0.2618995539622853,0.5636228933432876,0.46467160410882974,0.4140560224276488,0.5533906964735619,-0.6774721676489842
full-day,FAS,gated,0.0999784023186953,0.34974893139308405,0.2858576348481512,0.3340461517025848,0.2288991745084581,-0.4685807647052088
