,exposure,exposure,sharpe,sharpe,sr_test,sr_test,max_dd,max_dd
leg,full-day,overnight,full-day,overnight,full-day,overnight,full-day,overnight
thr,,,,,,,,
0.3,0.20465116279069767,0.20465116279069767,0.019654446154272254,0.32861078273769,-0.3085503614197131,0.0716972300863953,-0.2694255981294089,-0.15874985612437886
0.35,0.35083056478405317,0.35083056478405317,0.18499933414838826,0.45662079850256343,0.10447257708515686,0.6696541449825906,-0.24693978422911744,-0.1929907940898552
0.4,0.4664451827242525,0.4664451827242525,0.16317523641731918,0.6155745654690309,-0.0981903529116024,0.676671187771804,-0.40792855223518787,-0.24219086708015314
0.425,0.5435215946843854,0.5435215946843854,0.3549439100318725,0.8960332864451968,0.1855836181365651,0.7941571658769987,-0.4011817127998619,-0.2686636836174796
0.45,0.584717607973422,0.584717607973422,0.44775581247739593,0.9646690730295924,0.44220219627598045,0.9279246199983878,-0.3388383720336061,-0.2686636836174796
0.475,0.6338870431893687,0.6338870431893687,0.3354349698459234,0.9841904280834395,0.18817445159048252,0.9237930816691169,-0.436605352181489,-0.26866368361747983
0.5,0.6777408637873754,0.6777408637873754,0.3668913570089553,0.7676839258350777,0.2134422632165015,0.7438498501079516,-0.4247689228974344,-0.3071984548741764
0.55,0.7441860465116279,0.7441860465116279,0.47165072360821186,1.0101620848729642,0.47156127682413757,1.0894495396528916,-0.40348549625697083,-0.30053085832805193
0.6,0.8033222591362126,0.8033222591362126,0.5095557595641783,0.8113196598836852,0.5386851053909676,0.7243910287118194,-0.41347070227981575,-0.32854743164737465
0.7,0.8764119601328904,0.8764119601328904,0.620983998994979,1.0036744040662902,0.7059762571623998,0.7904627811556303,-0.45909737845338794,-0.368062013735859
99.0,0.986046511627907,0.986046511627907,0.5218178036116282,0.6709277510942776,0.733989581690534,0.6722582380424318,-0.6369640903322431,-0.5310490927969966
