Date,Open,High,Low,Close,Volume
20230707 09:30:00 America/New_York,23.08,23.12,22.88,22.93,1472002
20230707 09:35:00 America/New_York,22.93,23.15,22.83,23.05,1047625
20230707 09:40:00 America/New_York,23.04,23.12,22.86,22.94,708474
20230707 09:45:00 America/New_York,22.94,23.24,22.92,23.19,1108940
20230707 09:50:00 America/New_York,23.19,23.41,23.16,23.3,1284524
20230707 09:55:00 America/New_York,23.32,23.43,23.3,23.39,1165484
20230707 10:00:00 America/New_York,23.38,23.51,23.31,23.49,1090076
20230707 10:05:00 America/New_York,23.48,23.52,23.39,23.44,793654
20230707 10:10:00 America/New_York,23.44,23.62,23.38,23.55,882758
20230707 10:15:00 America/New_York,23.55,23.59,23.26,23.38,1169509
20230707 10:20:00 America/New_York,23.38,23.39,23.25,23.33,487939
20230707 10:25:00 America/New_York,23.34,23.38,23.22,23.22,677661
20230707 10:30:00 America/New_York,23.22,23.3,23.07,23.11,747001
20230707 10:35:00 America/New_York,23.1,23.33,23.08,23.27,584321
20230707 10:40:00 America/New_York,23.26,23.45,23.25,23.37,378466
20230707 10:45:00 America/New_York,23.36,23.52,23.35,23.47,458966
20230707 10:50:00 America/New_York,23.47,23.52,23.43,23.51,381581
20230707 10:55:00 America/New_York,23.51,23.52,23.4,23.52,313140
20230707 11:00:00 America/New_York,23.51,23.61,23.47,23.6,682989
20230707 11:05:00 America/New_York,23.61,23.65,23.5,23.6,620436
20230707 11:10:00 America/New_York,23.6,23.62,23.55,23.58,231530
20230707 11:15:00 America/New_York,23.58,23.61,23.51,23.55,276516
20230707 11:20:00 America/New_York,23.55,23.58,23.5,23.56,226320
20230707 11:25:00 America/New_York,23.57,23.59,23.52,23.56,225357
20230707 11:30:00 America/New_York,23.57,23.58,23.5,23.52,200078
20230707 11:35:00 America/New_York,23.53,23.6,23.5,23.58,194286
20230707 11:40:00 America/New_York,23.58,23.6,23.55,23.58,152864
20230707 11:45:00 America/New_York,23.58,23.67,23.56,23.64,280793
20230707 11:50:00 America/New_York,23.63,23.7,23.6,23.67,526854
20230707 11:55:00 America/New_York,23.66,23.75,23.65,23.75,239798
20230707 12:00:00 America/New_York,23.75,23.76,23.69,23.71,642542
20230707 12:05:00 America/New_York,23.71,23.77,23.69,23.74,232166
20230707 12:10:00 America/New_York,23.74,23.79,23.72,23.78,265223
20230707 12:15:00 America/New_York,23.79,23.84,23.76,23.82,318946
20230707 12:20:00 America/New_York,23.82,23.83,23.71,23.76,300444
