week_start,spot,actions,end_cash,end_wealth
2024-01-02,28.04,dir:BUY 95xCK23@7.89 d=0.76 dte=136 | stc:BUY 35xCK28@5.29 d=0.61 dte=136 | stp:BUY 37xPK28@4.98 d=-0.39 dte=136,38104.0,133321.5
2024-01-08,28.43,,38104.0,145361.5
2024-01-16,29.19,,38104.0,208801.5
2024-01-22,35.26,"stc:SELL 35xCK28@9.91 pnl=16,170 | stp:SELL 37xPK28@2.57 pnl=-8,917 | stc:BUY 42xCK35@6.17 d=0.60 dte=116 | stp:BUY 47xPK35@5.53 d=-0.39 dte=116",30393.0,201280.5
2024-01-29,35.04,,30393.0,201265.5
2024-02-05,35.1,,30393.0,241378.0
2024-02-12,39.15,,30393.0,247223.0
2024-02-20,36.42,,30393.0,252410.5
2024-02-26,41.21,,30393.0,342774.5
2024-03-04,49.77,"stc:SELL 42xCK35@16.60 pnl=43,806 | stp:SELL 47xPK35@1.62 pnl=-18,386 | stc:BUY 40xCK50@11.26 d=0.62 dte=165 | stp:BUY 42xPK50@10.77 d=-0.37 dte=165",17443.6,366898.6
2024-03-11,46.77,,17443.6,317958.6
2024-03-18,42.54,,17443.6,332011.1
2024-03-25,45.89,,17443.6,323198.6
2024-04-01,47.99,,17443.6,295083.6
2024-04-08,44.0,"dir:SELL 95xCK23@21.40 pnl=128,345 | dir:BUY 109xCK36@13.69 d=0.75 dte=130",71522.6,271020.1
2024-04-15,39.78,,71522.6,216545.1
2024-04-22,32.07,"dir:SELL 109xCK36@5.06 pnl=-94,067 | dir:NO_QUOTE | stc:SELL 40xCK50@1.93 pnl=-37,328 | stp:SELL 42xPK50@18.32 pnl=31,710 | stc:BUY 38xCK32@6.93 d=0.62 dte=116 | stp:BUY 42xPK32@6.16 d=-0.38 dte=116",159126.6,218251.6
2024-04-29,40.61,"dir:NO_QUOTE | stc:SELL 38xCK32@12.38 pnl=20,710 | stp:SELL 42xPK32@3.42 pnl=-11,508 | stc:BUY 34xCK41@7.90 d=0.60 dte=109 | stp:BUY 37xPK41@7.39 d=-0.41 dte=109",166331.6,217691.6
2024-05-06,41.3,dir:BUY 76xCK34@14.42 d=0.75 dte=193,56739.6,206314.6
2024-05-13,41.27,,56739.6,234237.1
2024-05-20,48.25,,56739.6,278015.6
2024-05-28,54.04,"stc:SELL 34xCK41@14.88 pnl=23,732 | stp:SELL 37xPK41@2.23 pnl=-19,077",115597.4,259997.4
2024-06-03,48.59,stc:BUY 26xCK49@11.96 d=0.62 dte=165 | stp:BUY 30xPK49@10.54 d=-0.38 dte=165,52881.4,280086.4
2024-06-10,53.95,,52881.4,345286.4
2024-06-17,62.67,"stc:SELL 26xCK49@20.51 pnl=22,230 | stp:SELL 30xPK49@6.23 pnl=-12,930 | stc:BUY 31xCK63@14.56 d=0.62 dte=151 | stp:BUY 32xPK63@14.10 d=-0.37 dte=151",34641.4,316871.4
2024-06-24,53.22,,34641.4,294383.9
2024-07-01,55.36,,34641.4,327566.4
2024-07-08,64.31,,34641.4,345926.4
2024-07-15,64.14,,34641.4,242173.9
2024-07-22,52.93,,34641.4,220435.4
2024-07-29,41.81,"dir:SELL 76xCK34@12.53 pnl=-14,364 | dir:BUY 9xPK95@55.43 d=-0.74 dte=172 | stc:SELL 31xCK63@3.38 pnl=-34,658 | stp:SELL 32xPK63@23.59 pnl=30,368 | stc:BUY 30xCK42@8.91 d=0.61 dte=109 | stp:BUY 30xPK42@8.71 d=-0.39 dte=109",113088.4,236673.4
2024-08-05,27.89,"stc:SELL 30xCK42@3.25 pnl=-16,992 | stp:SELL 30xPK42@17.02 pnl=24,930 | stc:BUY 33xCK28@8.74 d=0.65 dte=102 | stp:BUY 35xPK28@8.28 d=-0.35 dte=102",116064.4,221786.9
2024-08-12,31.41,,116064.4,222784.4
2024-08-19,41.6,"stc:SELL 33xCK28@15.12 pnl=21,054 | stp:SELL 35xPK28@1.87 pnl=-22,442 | stc:BUY 27xCK42@10.01 d=0.63 dte=151 | stp:BUY 27xPK42@10.07 d=-0.37 dte=151",118282.4,220162.4
2024-08-26,37.37,,118282.4,219554.9
2024-09-03,30.07,"stc:SELL 27xCK42@3.84 pnl=-16,659 | stp:SELL 27xPK42@15.45 pnl=14,526 | stc:BUY 37xCK30@7.62 d=0.63 dte=136 | stp:BUY 38xPK30@7.39 d=-0.36 dte=136",114089.4,228456.9
2024-09-09,27.43,,114089.4,225294.4
2024-09-16,32.16,,114089.4,221531.9
2024-09-23,33.92,,114089.4,223946.9
2024-09-30,36.68,,114089.4,222951.9
2024-10-07,36.41,,114089.4,222324.4
2024-10-14,40.82,"stc:SELL 37xCK30@13.80 pnl=22,866 | stp:SELL 38xPK30@2.70 pnl=-17,830 | stc:BUY 31xCK41@8.77 d=0.61 dte=130 | stp:BUY 32xPK41@8.56 d=-0.39 dte=130",120822.8,227462.8
2024-10-21,35.09,,120822.8,225812.8
2024-10-28,35.35,,120822.8,234095.3
2024-11-04,30.35,"stc:SELL 31xCK41@3.22 pnl=-17,205 | stp:SELL 32xPK41@13.53 pnl=15,904 | stc:BUY 42xCK30@6.77 d=0.62 dte=109 | stp:BUY 47xPK30@6.17 d=-0.37 dte=109",116667.8,228277.8
2024-11-11,32.77,,116667.8,228885.3
2024-11-18,27.67,,116667.8,221270.3
2024-11-25,29.33,,116667.8,218532.8
2024-12-02,30.2,,116667.8,216030.3
2024-12-09,29.23,"dir:SELL 9xPK95@64.45 pnl=8,118 | dir:BUY 18xPK55@28.58 d=-0.72 dte=158",123228.8,210188.8
2024-12-16,32.51,,123228.8,214831.3
2024-12-23,29.59,,123228.8,205973.8
2024-12-30,27.94,,123228.8,199787.8
2025-01-06,32.49,,123228.8,206566.3
2025-01-13,27.85,"stc:SELL 42xCK30@2.35 pnl=-18,564 | stp:SELL 47xPK30@4.57 pnl=-7,520 | stc:BUY 42xCK28@6.10 d=0.61 dte=123 | stp:BUY 41xPK28@6.12 d=-0.38 dte=123",103865.8,197260.8
2025-01-21,33.69,"dir:SELL 18xPK55@21.66 pnl=-12,456 | dir:NO_QUOTE",142853.8,191848.8
2025-01-27,25.06,dir:NO_QUOTE,142853.8,188658.8
2025-02-03,25.61,dir:BUY 18xPK49@25.63 d=-0.72 dte=193,96719.8,180547.3
2025-02-10,27.35,,96719.8,175404.8
2025-02-18,29.99,,96719.8,171492.3
2025-02-24,26.76,,96719.8,181325.3
2025-03-03,20.51,"stc:SELL 42xCK28@1.54 pnl=-19,169 | stp:SELL 41xPK28@7.42 pnl=5,330 | stc:BUY 36xCK21@6.32 d=0.63 dte=165 | stp:BUY 42xPK21@5.51 d=-0.38 dte=165",87699.0,177924.0
2025-03-10,17.99,,87699.0,178494.0
2025-03-17,20.79,,87699.0,175899.0
2025-03-24,21.0,,87699.0,183582.0
2025-03-31,15.95,,87699.0,214296.0
2025-04-07,9.15,"stc:SELL 36xCK21@0.62 pnl=-20,534 | stp:SELL 42xPK21@11.20 pnl=23,898 | stc:BUY 84xCK9@3.08 d=0.67 dte=130 | stp:BUY 94xPK9@2.76 d=-0.33 dte=130",85193.0,203960.0
2025-04-14,10.47,,85193.0,197915.0
2025-04-21,8.71,,85193.0,199447.0
2025-04-28,12.29,"stc:SELL 84xCK9@4.57 pnl=12,550 | stp:SELL 94xPK9@1.25 pnl=-14,194 | stc:BUY 85xCK12@2.94 d=0.64 dte=109 | stp:BUY 96xPK12@2.59 d=-0.36 dte=109",85530.6,199202.6
2025-05-05,13.05,,85530.6,199534.6
2025-05-12,17.13,"stc:SELL 85xCK12@6.25 pnl=28,169 | stp:SELL 96xPK12@1.04 pnl=-14,803 | stc:BUY 77xCK17@3.33 d=0.61 dte=95 | stp:BUY 85xPK17@3.03 d=-0.39 dte=95",97265.0,206292.5
2025-05-19,18.06,,97265.0,205789.0
2025-05-27,17.29,,97265.0,201804.0
2025-06-02,16.9,,97265.0,199982.5
2025-06-09,20.58,"dir:SELL 18xPK49@27.62 pnl=3,582 | dir:BUY 146xCK17@6.82 d=0.74 dte=165",47409.0,195784.0
2025-06-16,21.9,"stc:SELL 77xCK17@6.22 pnl=22,253 | stp:SELL 85xPK17@1.26 pnl=-15,079 | stc:BUY 52xCK22@5.32 d=0.63 dte=158 | stp:BUY 54xPK22@5.13 d=-0.37 dte=158",50630.0,211200.0
2025-06-23,21.58,,50630.0,258645.0
2025-06-30,25.11,,50630.0,275595.0
2025-07-07,24.97,,50630.0,287587.0
2025-07-14,26.5,,50630.0,274197.0
2025-07-21,27.5,"stc:SELL 52xCK22@8.42 pnl=16,120 | stp:SELL 54xPK22@2.76 pnl=-12,787 | stc:BUY 61xCK27@5.74 d=0.62 dte=123 | stp:BUY 68xPK27@5.14 d=-0.37 dte=123",39362.8,245537.8
2025-07-28,26.88,,39362.8,235630.3
2025-08-04,25.0,,39362.8,245477.8
2025-08-11,25.61,,39362.8,267852.8
