dip,tgt,stop,filter,days_traded,mean_bp_day,ann_pct,win_days_pct,worst_day_pct,sharpe
1.0,1.0,2.0,none,1492,16.8,42.2,55.0,-10.0,0.98
1.0,1.0,2.0,orq5,1192,20.3,51.2,56.0,-10.0,1.23
1.0,1.0,2.0,gap2,667,12.4,31.2,55.0,-7.0,0.75
1.0,1.0,2.0,orq5+gap2,575,9.8,24.7,55.0,-7.0,0.62
1.0,1.0,2.0,orq5+exc,1113,17.6,44.4,57.0,-10.0,1.08
1.0,1.0,4.0,none,1447,18.0,45.3,60.0,-15.0,0.89
1.0,1.0,4.0,orq5,1168,23.4,58.9,60.0,-11.4,1.25
1.0,1.0,4.0,gap2,652,21.1,53.1,58.0,-15.0,1.1
1.0,1.0,4.0,orq5+gap2,565,19.8,49.9,58.0,-11.4,1.12
1.0,1.0,4.0,orq5+exc,1093,19.9,50.2,60.0,-11.4,1.09
1.0,1.0,,none,1501,15.5,39.1,59.0,-23.0,0.68
1.0,1.0,,orq5,1200,17.0,42.7,59.0,-23.0,0.8
1.0,1.0,,gap2,671,17.9,45.2,57.0,-18.9,0.85
1.0,1.0,,orq5+gap2,578,19.9,50.2,57.0,-18.9,1.03
1.0,1.0,,orq5+exc,1121,18.0,45.5,59.0,-18.9,0.89
1.0,1.5,2.0,none,1501,12.1,30.4,59.0,-10.0,0.63
1.0,1.5,2.0,orq5,1199,19.5,49.0,59.0,-10.0,1.08
1.0,1.5,2.0,gap2,670,20.0,50.4,59.0,-8.1,1.12
1.0,1.5,2.0,orq5+gap2,577,19.5,49.2,58.0,-8.1,1.15
1.0,1.5,2.0,orq5+exc,1120,15.8,39.8,59.0,-10.0,0.89
1.0,1.5,4.0,none,1500,9.9,24.9,56.0,-15.0,0.44
1.0,1.5,4.0,orq5,1199,15.4,38.9,56.0,-14.5,0.76
1.0,1.5,4.0,gap2,670,22.8,57.5,56.0,-15.0,1.11
1.0,1.5,4.0,orq5+gap2,577,22.7,57.3,56.0,-12.4,1.24
1.0,1.5,4.0,orq5+exc,1120,14.2,35.7,56.0,-14.5,0.72
1.0,1.5,,none,1500,8.3,20.9,55.0,-23.0,0.35
1.0,1.5,,orq5,1199,10.4,26.3,56.0,-23.0,0.47
1.0,1.5,,gap2,670,19.0,47.9,56.0,-18.9,0.86
1.0,1.5,,orq5+gap2,577,18.8,47.5,55.0,-18.9,0.94
1.0,1.5,,orq5+exc,1120,10.4,26.3,56.0,-18.9,0.5
1.0,2.0,2.0,none,1489,9.0,22.7,55.0,-10.3,0.44
1.0,2.0,2.0,orq5,1189,16.7,42.1,56.0,-10.3,0.87
1.0,2.0,2.0,gap2,669,13.5,34.1,55.0,-10.0,0.71
1.0,2.0,2.0,orq5+gap2,576,18.0,45.4,55.0,-10.0,1.0
1.0,2.0,2.0,orq5+exc,1110,13.8,34.7,56.0,-10.3,0.73
1.0,2.0,4.0,none,1495,10.3,25.9,56.0,-15.0,0.44
1.0,2.0,4.0,orq5,1195,13.6,34.4,56.0,-14.0,0.64
1.0,2.0,4.0,gap2,669,19.4,48.8,56.0,-15.0,0.89
1.0,2.0,4.0,orq5+gap2,577,17.9,45.2,55.0,-14.0,0.92
1.0,2.0,4.0,orq5+exc,1117,12.1,30.5,56.0,-14.0,0.59
1.0,2.0,,none,1500,7.7,19.5,56.0,-23.0,0.31
1.0,2.0,,orq5,1199,8.4,21.1,56.0,-23.0,0.37
1.0,2.0,,gap2,670,14.0,35.3,56.0,-18.9,0.61
1.0,2.0,,orq5+gap2,577,14.1,35.6,55.0,-18.9,0.68
1.0,2.0,,orq5+exc,1120,8.8,22.3,56.0,-18.9,0.41
1.5,1.0,2.0,none,1456,15.4,38.7,56.0,-10.0,0.93
1.5,1.0,2.0,orq5,1156,18.8,47.4,57.0,-10.0,1.21
1.5,1.0,2.0,gap2,644,16.6,41.7,58.0,-7.0,1.07
1.5,1.0,2.0,orq5+gap2,551,13.1,32.9,58.0,-7.0,0.89
1.5,1.0,2.0,orq5+exc,1079,15.3,38.7,57.0,-10.0,1.01
1.5,1.0,4.0,none,1434,16.4,41.4,62.0,-15.0,0.84
1.5,1.0,4.0,orq5,1147,18.1,45.7,62.0,-11.4,1.01
1.5,1.0,4.0,gap2,637,21.2,53.5,61.0,-15.0,1.19
1.5,1.0,4.0,orq5+gap2,549,16.6,41.9,61.0,-11.4,1.02
1.5,1.0,4.0,orq5+exc,1073,14.5,36.4,62.0,-11.4,0.83
1.5,1.0,,none,1462,13.5,34.1,60.0,-22.8,0.61
1.5,1.0,,orq5,1161,12.5,31.5,60.0,-22.8,0.61
1.5,1.0,,gap2,647,16.2,40.8,60.0,-18.9,0.81
1.5,1.0,,orq5+gap2,554,14.8,37.3,60.0,-18.9,0.82
1.5,1.0,,orq5+exc,1084,12.7,32.0,60.0,-18.9,0.66
1.5,1.5,2.0,none,1462,9.3,23.5,60.0,-10.0,0.5
1.5,1.5,2.0,orq5,1160,12.6,31.7,59.0,-10.0,0.74
1.5,1.5,2.0,gap2,646,19.6,49.5,59.0,-8.1,1.15
1.5,1.5,2.0,orq5+gap2,553,16.0,40.3,59.0,-8.1,1.01
1.5,1.5,2.0,orq5+exc,1083,10.7,26.8,59.0,-10.0,0.64
1.5,1.5,4.0,none,1461,4.3,10.9,58.0,-15.0,0.2
1.5,1.5,4.0,orq5,1160,8.4,21.1,58.0,-14.5,0.43
1.5,1.5,4.0,gap2,646,18.7,47.1,58.0,-15.0,0.94
1.5,1.5,4.0,orq5+gap2,553,17.2,43.4,58.0,-12.4,0.98
1.5,1.5,4.0,orq5+exc,1083,8.0,20.2,58.0,-14.5,0.42
1.5,1.5,,none,1461,7.5,18.9,57.0,-22.8,0.32
1.5,1.5,,orq5,1160,6.7,16.9,57.0,-22.8,0.32
1.5,1.5,,gap2,646,17.3,43.6,57.0,-18.9,0.81
1.5,1.5,,orq5+gap2,553,14.5,36.6,57.0,-18.9,0.76
1.5,1.5,,orq5+exc,1083,7.5,19.0,57.0,-18.9,0.37
1.5,2.0,2.0,none,1447,3.3,8.3,56.0,-10.0,0.17
1.5,2.0,2.0,orq5,1147,9.0,22.8,56.0,-10.0,0.49
1.5,2.0,2.0,gap2,642,6.7,16.9,56.0,-10.0,0.37
1.5,2.0,2.0,orq5+gap2,549,9.7,24.4,56.0,-10.0,0.58
1.5,2.0,2.0,orq5+exc,1071,6.4,16.1,56.0,-10.0,0.36
1.5,2.0,4.0,none,1456,2.8,7.2,57.0,-15.0,0.13
1.5,2.0,4.0,orq5,1157,3.8,9.7,57.0,-14.0,0.19
1.5,2.0,4.0,gap2,645,9.6,24.2,57.0,-15.0,0.46
1.5,2.0,4.0,orq5+gap2,553,7.2,18.2,57.0,-14.0,0.39
1.5,2.0,4.0,orq5+exc,1080,2.1,5.2,57.0,-14.0,0.11
1.5,2.0,,none,1461,0.8,1.9,57.0,-22.8,0.03
1.5,2.0,,orq5,1160,-0.9,-2.2,56.0,-22.8,-0.04
1.5,2.0,,gap2,646,5.3,13.4,56.0,-18.9,0.24
1.5,2.0,,orq5+gap2,553,3.0,7.5,56.0,-18.9,0.15
1.5,2.0,,orq5+exc,1083,-0.2,-0.5,56.0,-18.9,-0.01
2.0,1.0,2.0,none,1364,15.1,38.1,56.0,-10.0,0.96
2.0,1.0,2.0,orq5,1066,14.6,36.7,57.0,-10.0,0.99
2.0,1.0,2.0,gap2,590,15.6,39.3,56.0,-7.0,1.07
2.0,1.0,2.0,orq5+gap2,499,11.0,27.8,56.0,-7.0,0.79
2.0,1.0,2.0,orq5+exc,990,9.5,24.0,57.0,-10.0,0.66
2.0,1.0,4.0,none,1347,16.9,42.6,62.0,-15.0,0.9
2.0,1.0,4.0,orq5,1064,17.6,44.3,62.0,-15.0,1.03
2.0,1.0,4.0,gap2,589,22.7,57.3,61.0,-15.0,1.33
2.0,1.0,4.0,orq5+gap2,503,18.7,47.1,60.0,-11.4,1.2
2.0,1.0,4.0,orq5+exc,991,12.2,30.7,62.0,-15.0,0.73
2.0,1.0,,none,1372,11.8,29.8,61.0,-19.8,0.55
