date,cycle_eq,day_eq,total
2022-01-03,100107.88000000002,50000.0,150107.88
2022-01-04,99553.31039999999,50000.0,149553.3104
2022-01-05,96513.21040000001,50000.0,146513.2104
2022-01-06,97184.01040000001,50000.0,147184.01040000003
2022-01-07,94642.7104,50000.0,144642.71039999998
2022-01-10,94784.6104,52500.0,147284.6104
2022-01-11,97596.53133333332,55029.99350376401,152626.52483709733
2022-01-12,98306.578,54386.0037484909,152692.5817484909
2022-01-13,93881.79799999997,49233.88914883028,143115.68714883024
2022-01-14,97838.66466666665,49233.88914883028,147072.55381549694
2022-01-18,89869.3313333333,49233.88914883028,139103.2204821636
2022-01-19,85152.59799999998,46772.194691388766,131924.79269138875
2022-01-20,80686.06466666666,46772.194691388766,127458.25935805542
2022-01-21,77099.95919999998,46772.194691388766,123872.15389138875
2022-01-24,79838.45253333331,46772.194691388766,126610.64722472208
2022-01-25,71833.62586666665,46772.194691388766,118605.82055805542
2022-01-26,74707.5392,46772.194691388766,121479.73389138877
2022-01-27,66115.89253333333,46772.194691388766,112888.0872247221
2022-01-28,69789.75493333333,46772.194691388766,116561.9496247221
2022-01-31,80985.43506666664,46772.194691388766,127757.62975805541
2022-02-01,83637.83773333333,46772.194691388766,130410.0324247221
2022-02-02,90036.9604,46772.194691388766,136809.15509138876
2022-02-03,77926.1604,46772.194691388766,124698.35509138876
2022-02-04,79204.82706666666,46772.194691388766,125977.02175805543
2022-02-07,79296.1604,46772.194691388766,126068.35509138876
2022-02-08,84995.3604,49110.80442595821,134106.1648259582
2022-02-09,93452.82706666665,49110.80442595821,142563.63149262487
2022-02-10,85793.37786666666,49110.80442595821,134904.18229262487
2022-02-11,72968.25786666665,49110.80442595821,122079.06229262486
2022-02-14,73227.35119999999,49110.80442595821,122338.1556259582
2022-02-15,85275.1912,51324.824867381714,136600.01606738172
2022-02-16,85238.17786666665,53891.0661107508,139129.24397741744
2022-02-17,75555.70453333332,53891.0661107508,129446.77064408411
2022-02-18,73204.5112,53891.0661107508,127095.57731075078
2022-02-22,71944.6712,53891.0661107508,125835.73731075079
2022-02-23,68232.88453333332,53891.0661107508,122123.9506440841
2022-02-24,75329.72666666667,53891.0661107508,129220.79277741746
2022-02-25,78804.0236,53891.0661107508,132695.0897107508
2022-02-28,77370.66359999999,56585.61941628833,133956.2830162883
2022-03-01,71550.0636,50927.0574746595,122477.12107465949
2022-03-02,76232.70359999998,50927.0574746595,127159.76107465947
2022-03-03,72779.5836,50927.0574746595,123706.6410746595
2022-03-04,67831.8236,50927.0574746595,118758.8810746595
2022-03-07,58456.176933333336,50927.0574746595,109383.23440799283
2022-03-08,61342.370266666665,50927.0574746595,112269.42774132616
2022-03-09,68262.0636,53473.41034839248,121735.47394839246
2022-03-10,63832.53693333333,53473.41034839248,117305.9472817258
2022-03-11,60394.64359999999,53473.41034839248,113868.05394839247
2022-03-14,55865.09693333333,53473.41034839248,109338.5072817258
2022-03-15,61877.336933333325,53473.41034839248,115350.74728172581
2022-03-16,71245.56066666666,53473.41034839248,124718.97101505913
2022-03-17,72419.96066666667,53473.41034839248,125893.37101505915
2022-03-18,76678.08373333333,53473.41034839248,130151.4940817258
2022-03-21,76242.69706666667,53473.41034839248,129716.10741505914
2022-03-22,77135.00693333332,52015.48299811216,129150.48993144548
2022-03-23,71891.58693333332,52015.48299811216,123907.06993144548
2022-03-24,81800.96693333333,54616.25714801778,136417.2240813511
2022-03-25,81346.96693333333,54616.25714801778,135963.2240813511
2022-03-28,82764.568,54616.25714801778,137380.8251480178
2022-03-29,87646.15466666667,54616.25714801778,142262.41181468446
2022-03-30,79661.62133333333,50023.11945671728,129684.74079005061
2022-03-31,74616.848,47521.963483881416,122138.8114838814
2022-04-01,70443.11466666665,47521.963483881416,117965.07815054807
2022-04-04,72714.61466666666,47521.963483881416,120236.57815054807
2022-04-05,63520.45466666667,47521.963483881416,111042.4181505481
2022-04-06,59416.54799999999,49898.06165807549,109314.60965807547
2022-04-07,59504.61466666667,49898.06165807549,109402.67632474215
2022-04-08,56632.11466666667,49898.06165807549,106530.17632474215
2022-04-11,53450.688,49898.06165807549,103348.74965807548
2022-04-12,52745.34466666666,49898.06165807549,102643.40632474214
2022-04-13,56284.30466666666,49898.06165807549,106182.36632474215
2022-04-14,51994.064666666665,49898.06165807549,101892.12632474216
2022-04-18,54453.104666666666,49898.06165807549,104351.16632474215
2022-04-19,57539.98466666666,49898.06165807549,107438.04632474214
2022-04-20,56735.484666666656,49898.06165807549,106633.54632474214
2022-04-21,52169.22466666667,49898.06165807549,102067.28632474216
2022-04-22,48679.72466666667,49898.06165807549,98577.78632474216
2022-04-25,51271.92466666666,49898.06165807549,101169.98632474215
2022-04-26,44572.08466666666,49898.06165807549,94470.14632474215
2022-04-27,43654.84466666666,49898.06165807549,93552.90632474214
2022-04-28,51112.404666666655,49898.06165807549,101010.46632474214
2022-04-29,44312.86466666666,49898.06165807549,94210.92632474215
2022-05-02,48879.12466666666,49898.06165807549,98777.18632474216
2022-05-03,50075.52466666666,49898.06165807549,99973.58632474215
2022-05-04,55917.944666666655,49898.06165807549,105816.00632474213
2022-05-05,49324.20466666666,49898.06165807549,99222.26632474214
2022-05-06,48056.68466666666,49898.06165807549,97954.74632474215
2022-05-09,41253.084666666655,49898.06165807549,91151.14632474215
2022-05-10,43993.16466666666,49898.06165807549,93891.22632474214
2022-05-11,41235.02466666665,49898.06165807549,91133.08632474214
2022-05-12,41829.689466666656,49898.06165807549,91727.75112474215
2022-05-13,48519.04733333332,49898.06165807549,98417.10899140881
2022-05-16,46037.900666666654,49259.37578253606,95297.2764492027
2022-05-17,52646.55439999998,49259.37578253606,101905.93018253605
2022-05-18,44653.17439999998,49259.37578253606,93912.55018253604
2022-05-19,44167.41439999999,49259.37578253606,93426.79018253605
2022-05-20,43961.33439999999,49259.37578253606,93220.71018253604
2022-05-23,44388.21439999999,49259.37578253606,93647.59018253605
2022-05-24,41273.74773333331,49259.37578253606,90533.12351586937
2022-05-25,43564.38773333332,49259.37578253606,92823.76351586939
2022-05-26,47709.72413333332,49259.37578253606,96969.09991586939
2022-05-27,52845.01759999998,50941.348293532654,103786.36589353264
2022-05-31,52000.804266666666,50941.348293532654,102942.15256019932
2022-06-01,49736.777599999994,50941.348293532654,100678.12589353265
2022-06-02,54712.40426666666,50941.348293532654,105653.75256019931
2022-06-03,50169.904266666665,49960.40132253285,100130.30558919952
2022-06-06,50169.904266666665,49960.40132253285,100130.30558919952
2022-06-07,51492.40426666665,49960.40132253285,101452.8055891995
2022-06-08,48291.57093333333,49960.40132253285,98251.97225586619
2022-06-09,44348.60773333333,49960.40132253285,94309.00905586619
2022-06-10,39522.814399999996,49960.40132253285,89483.21572253286
2022-06-13,34331.48106666666,49960.40132253285,84291.88238919951
2022-06-14,34778.73439999999,49960.40132253285,84739.13572253284
2022-06-15,36136.467733333324,49960.40132253285,86096.86905586618
2022-06-16,29481.067733333322,49960.40132253285,79441.46905586618
2022-06-17,29823.467733333324,51239.63639413457,81063.1041274679
2022-06-21,32241.667733333325,51239.63639413457,83481.3041274679
2022-06-22,31086.067733333322,51239.63639413457,82325.70412746789
2022-06-23,30491.961066666656,51239.63639413457,81731.59746080122
2022-06-24,33733.28613333332,51239.63639413457,84972.92252746789
2022-06-27,33910.255466666655,51239.63639413457,85149.89186080123
2022-06-28,31233.230399999982,51239.63639413457,82472.86679413455
2022-06-29,29111.33039999999,51239.63639413457,80350.96679413455
2022-06-30,28103.96373333332,51239.63639413457,79343.60012746789
2022-07-01,24931.830399999988,51239.63639413457,76171.46679413455
2022-07-05,25531.96373333333,51239.63639413457,76771.6001274679
2022-07-06,26005.202666666653,53801.6182138413,79806.82088050795
2022-07-07,29462.51119999999,53801.6182138413,83264.12941384129
2022-07-08,29892.119733333322,53801.6182138413,83693.73794717462
2022-07-11,27700.479733333326,53801.6182138413,81502.09794717463
2022-07-12,27831.339733333327,53801.6182138413,81632.95794717463
2022-07-13,28267.53973333332,53801.6182138413,82069.15794717462
2022-07-14,29430.73973333332,53801.6182138413,83232.35794717462
2022-07-15,31767.03306666666,53801.6182138413,85568.65128050795
2022-07-18,31267.486399999994,51111.53730314923,82379.02370314923
