variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe,days_on,cal_cagr_pct
ATR5>=4,47.1,187.5,-33.8,-8.0,2.35,1147,122.4
ATR5>=5,50.4,210.2,-33.8,-8.0,2.44,1020,114.3
ATR5>=5.5,59.5,288.0,-29.4,-8.0,2.85,916,127.0
ATR5>=6*,65.6,350.2,-36.5,-8.0,3.09,787,118.5
ATR5>=6.5,66.6,353.4,-29.5,-8.0,2.96,643,89.9
ATR5>=7,67.8,360.5,-33.8,-8.0,2.87,546,73.4
ATR5>=8,81.1,534.8,-32.0,-8.0,3.34,387,60.3
pctile>=50,62.5,304.6,-36.2,-8.0,2.68,517,61.1
pctile>=60,72.9,425.1,-29.6,-8.0,3.12,419,58.2
pctile>=70,85.1,598.4,-36.1,-8.0,3.46,329,52.5
ATR5>=1xATR63,68.9,386.8,-35.9,-8.0,3.19,510,70.4
ATR5>=1.15xATR63,74.7,451.4,-26.4,-8.0,3.24,262,34.3
ATR5>=1.3xATR63,43.8,151.0,-26.5,-8.0,1.83,136,8.6
SOXXx3 ATR5>=6,65.1,344.9,-34.1,-8.0,3.06,782,116.1
ATR3>=5.9 (matched),58.4,274.0,-34.0,-8.0,2.71,787,98.4
ATR5>=6.0 (matched),65.6,350.2,-36.5,-8.0,3.09,787,118.5
ATR10>=6.1 (matched),70.2,404.4,-27.3,-8.0,3.28,787,131.8
ATR20>=6.2 (matched),57.5,264.7,-32.8,-8.0,2.64,787,95.8
hysteresis on6/off5,57.5,269.6,-29.4,-8.0,2.77,941,125.2
