pool,f,med_yr_ret_pct,p5_yr_ret_pct,P(dd<-30%)_pct,med_dd_pct
empirical,0.5,68.0,10.2,2.4,-15.0
empirical,0.75,112.3,12.4,17.2,-22.0
empirical,1.0,164.2,12.7,45.8,-28.6
empirical,1.25,223.5,10.6,70.3,-34.9
empirical,1.33,243.7,9.6,75.3,-36.9
empirical,1.5,288.5,6.4,83.2,-40.9
empirical,2.0,432.5,-7.5,96.8,-51.9
stressed,0.5,72.6,4.0,8.4,-19.6
stressed,0.75,118.9,2.0,36.7,-28.2
stressed,1.0,171.1,-2.7,69.0,-36.1
stressed,1.25,226.7,-9.7,84.6,-43.3
stressed,1.33,245.0,-12.3,87.3,-45.5
stressed,1.5,283.6,-18.3,93.7,-50.0
stressed,2.0,384.5,-40.9,99.3,-61.5
