variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe
T4 baseline flat100,43.6,162.5,-34.7,-11.4,2.15
T4 breaker1,36.9,126.8,-31.2,-4.0,1.99
T4 breaker2,44.9,172.4,-34.1,-8.0,2.25
T4 antimart,42.1,154.5,-35.6,-11.0,2.14
f=0.25,10.9,30.6,-9.5,-2.9,2.15
f=0.5,21.8,67.6,-18.4,-5.7,2.15
f=0.75,32.7,111.6,-26.8,-8.6,2.15
f=1.0,43.6,162.5,-34.7,-11.4,2.15
f=1.25,54.6,220.2,-42.0,-14.3,2.15
f=1.33,58.1,240.0,-44.2,-15.2,2.15
T3 voltarget k=6,33.4,116.1,-26.9,-9.2,2.24
T3 voltarget k=8,38.8,138.3,-33.3,-11.4,2.12
T3 voltarget k=10,41.5,151.0,-35.2,-11.4,2.11
T6 ramp (5->7 ATR),26.3,77.0,-34.7,-11.4,1.55
stop2 R2 f=1.00,36.4,126.3,-42.7,-10.0,2.07
stop2 R3 f=1.33,48.4,183.6,-52.9,-13.3,2.07
stop2 R4 f=1.33,48.4,183.6,-52.9,-13.3,2.07
stop3 R2 f=0.67,22.8,67.7,-31.3,-10.0,1.71
stop3 R3 f=1.00,34.2,107.9,-44.0,-15.0,1.71
stop3 R4 f=1.33,45.5,149.7,-54.8,-20.0,1.71
stop4 R2 f=0.50,21.8,67.6,-18.4,-5.7,2.15
stop4 R3 f=0.75,32.7,111.6,-26.8,-8.6,2.15
stop4 R4 f=1.00,43.6,162.5,-34.7,-11.4,2.15
