date,seq,ret,outcome
2020-07-24,1,0.01,target
2020-07-24,2,0.01,target
2020-07-24,3,0.01,target
2020-07-24,4,0.01,target
2020-07-24,5,0.01,target
2020-07-27,1,0.01,target
2020-07-27,2,0.01,target
2020-07-28,1,-0.02308243727598569,eod
2020-07-29,1,0.01,target
2020-07-29,2,0.01,target
2020-07-29,3,-0.0012505049585900263,eod
2020-07-30,1,0.01,target
2020-07-30,2,0.01,target
2020-07-30,3,0.01,target
2020-07-30,4,0.01,target
2020-07-30,5,0.01,target
2020-07-31,1,0.01,target
2020-07-31,2,0.01,target
2020-07-31,3,0.0071561916614810706,eod
2020-08-13,1,0.01,target
2020-08-13,2,-0.023299897322486385,eod
2020-08-14,1,0.01,target
2020-08-14,2,-0.007353236629565885,eod
2020-08-17,1,0.01,target
2020-08-17,2,-0.003342584084810807,eod
2020-09-09,1,0.01,target
2020-09-09,2,0.01,target
2020-09-09,3,-0.01209287949619442,eod
2020-09-10,1,0.01,target
2020-09-10,2,-0.04,stop
2020-09-10,3,0.01,target
2020-09-10,4,0.01,target
2020-09-10,5,-0.04,stop
2020-09-11,1,-0.04,stop
2020-09-11,2,-0.0008174758163405071,eod
2020-09-14,1,-0.006931516077472888,eod
2020-09-15,1,0.01,target
2020-09-15,2,0.01,target
2020-09-15,3,-0.007736883800649963,eod
2020-09-16,1,-0.04,stop
2020-09-16,2,-0.010835720513139968,eod
2020-09-17,1,0.011466189998692089,target
2020-09-17,2,0.01,target
2020-09-17,3,-0.04,stop
2020-09-17,4,0.01,target
2020-09-17,5,0.01,target
2020-09-18,1,-0.04,stop
2020-09-18,2,0.01,target
2020-09-18,3,0.01,target
2020-09-18,4,-0.013557696499411409,eod
2020-09-22,1,0.01,target
2020-09-22,2,0.01,target
2020-09-22,3,0.01,target
2020-09-23,1,0.01,target
2020-09-23,2,-0.04,stop
2020-09-23,3,-0.027552674230145846,eod
2020-09-25,1,0.010177192185370165,target
2020-09-25,2,0.01,target
2020-09-25,3,0.01,target
2020-09-25,4,0.01,target
2020-09-25,5,0.01,target
2020-09-28,1,0.01,target
2020-09-28,2,0.01,target
2020-09-28,3,0.01,target
2020-09-28,4,0.01,target
2020-09-28,5,0.01,target
2020-09-29,1,-0.01609892346344377,eod
2020-09-30,1,-0.02155898783992871,eod
2020-10-01,1,0.01,target
2020-10-01,2,0.01,target
2020-10-01,3,0.01,target
2020-10-01,4,0.0014221423617397644,eod
2020-10-07,1,0.01,target
2020-10-07,2,0.01,target
2020-10-30,1,0.00508679854662919,eod
2020-11-02,1,-0.04,stop
2020-11-02,2,0.01,target
2020-11-02,3,0.01,target
2020-11-02,4,0.007799132545461829,eod
2020-11-03,1,-0.012026065695287969,eod
2020-11-04,1,0.01,target
2020-11-04,2,0.01,target
2020-11-04,3,0.01,target
2020-11-04,4,0.01,target
2020-11-04,5,0.010675949571720578,target
2020-11-05,1,0.01,target
2020-11-05,2,0.01,target
2020-11-05,3,0.003334468076442887,eod
2020-11-06,1,0.01,target
2020-11-06,2,0.01,target
2020-11-06,3,0.01,target
2020-11-06,4,0.01,target
2020-11-06,5,0.01,target
2020-11-09,1,-0.04,stop
2020-11-09,2,-0.04,stop
2020-11-09,3,0.01,target
2020-11-09,4,0.01,target
2020-11-09,5,-0.04,stop
2020-11-12,1,0.01,target
2020-11-12,2,-0.04,stop
2020-11-12,3,0.01,target
2020-11-12,4,-0.010408832465930717,eod
2020-11-13,1,-0.008604651162790633,eod
2020-11-16,1,0.009798007343684967,eod
2020-11-17,1,0.01,target
2020-11-17,2,-0.0064169945240311055,eod
2020-12-10,1,0.01,target
2020-12-10,2,-0.013269981011916454,eod
2020-12-11,1,-0.04,stop
2020-12-11,2,0.01,target
2020-12-11,3,0.01,target
2020-12-11,4,0.01,target
2020-12-11,5,0.00047309284447072386,eod
2020-12-14,1,0.01,target
2020-12-14,2,-0.006505254680437167,eod
2021-01-06,1,0.01,target
2021-01-06,2,0.010202717917642268,target
2021-01-06,3,0.01,target
2021-01-06,4,0.01,target
2021-01-06,5,0.01,target
2021-01-07,1,0.010063109046261731,target
2021-01-08,1,0.01,target
2021-01-08,2,0.01,target
2021-01-08,3,-0.040320816624134226,stop
2021-01-08,4,0.01,target
2021-01-08,5,0.01,target
2021-01-12,1,-0.01627301950670479,eod
2021-01-13,1,-0.01558058925476602,eod
2021-01-14,1,-0.020840099678273938,eod
2021-01-15,1,0.01,target
2021-01-15,2,0.01,target
2021-01-15,3,0.01,target
2021-01-15,4,-0.02109450337512042,eod
2021-01-19,1,0.01,target
2021-01-19,2,0.01,target
2021-01-21,1,0.01,target
2021-01-21,2,0.01,target
2021-01-21,3,0.0001516389384037531,eod
2021-01-22,1,-0.016079238487265224,eod
2021-01-26,1,-0.028096956852876054,eod
2021-01-28,1,0.01,target
2021-01-28,2,0.01,target
2021-01-28,3,0.01,target
2021-01-28,4,0.01,target
2021-01-28,5,-0.03263252934347993,eod
2021-01-29,1,-0.04,stop
2021-01-29,2,0.01,target
2021-01-29,3,-0.023905081047381538,eod
2021-02-01,1,0.01,target
2021-02-01,2,0.01,target
2021-02-02,1,0.01,target
2021-02-02,2,0.01,target
2021-02-02,3,0.01,target
2021-02-03,1,0.01,target
2021-02-03,2,-0.028697727875519274,eod
