week_end,trading_days,week_ret_%,open_equity,profit,swept_to_cash,trading_equity,cash_account,total_wealth
2021-01-10,3,-1.205,150000.0,-1807.8,0.0,148192.2,0.0,148192.2
2021-01-17,5,1.496,148192.2,2217.28,110.86,150298.62,110.86,150409.48
2021-01-24,4,-0.783,150298.62,-1177.25,0.0,149121.37,110.86,149232.23
2021-01-31,4,-5.466,149121.37,-8151.23,0.0,140970.14,110.86,141081.0
2021-02-07,5,-2.892,140970.14,-4076.52,0.0,136893.61,110.86,137004.48
2021-02-14,3,2.782,136893.61,3808.2,190.41,140511.41,301.27,140812.68
2021-02-21,4,3.608,140511.41,5070.23,253.51,145328.12,554.79,145882.91
2021-02-28,3,-4.689,145328.12,-6814.35,0.0,138513.78,554.79,139068.56
2021-03-07,5,6.955,138513.78,9633.4,481.67,147665.51,1036.46,148701.97
2021-03-14,4,7.19,147665.51,10617.16,530.86,157751.81,1567.31,159319.12
2021-03-21,4,5.07,157751.81,7998.58,399.93,165350.47,1967.24,167317.71
2021-03-28,5,9.317,165350.47,15405.51,770.28,179985.7,2737.52,182723.22
2021-04-04,4,5.786,179985.7,10413.27,520.66,189878.31,3258.18,193136.49
2021-04-11,4,0.83,189878.31,1576.66,78.83,191376.14,3337.02,194713.15
2021-04-18,0,0.0,191376.14,0.0,0.0,191376.14,3337.02,194713.15
2021-04-25,2,-0.235,191376.14,-450.43,0.0,190925.71,3337.02,194262.72
2021-05-02,3,0.513,190925.71,978.5,48.92,191855.28,3385.94,195241.22
2021-05-09,3,3.978,191855.28,7632.06,381.6,199105.74,3767.54,202873.28
2021-05-16,5,5.951,199105.74,11848.61,592.43,210361.92,4359.97,214721.89
2021-05-23,5,-0.098,210361.92,-206.65,0.0,210155.27,4359.97,214515.24
2021-05-30,3,1.355,210155.27,2847.38,142.37,212860.28,4502.34,217362.62
2021-06-06,0,0.0,212860.28,0.0,0.0,212860.28,4502.34,217362.62
2021-06-13,0,0.0,212860.28,0.0,0.0,212860.28,4502.34,217362.62
2021-06-20,0,0.0,212860.28,0.0,0.0,212860.28,4502.34,217362.62
2021-06-27,1,0.981,212860.28,2089.11,104.46,214844.93,4606.8,219451.73
2021-07-04,0,0.0,214844.93,0.0,0.0,214844.93,4606.8,219451.73
2021-07-11,0,0.0,214844.93,0.0,0.0,214844.93,4606.8,219451.73
2021-07-18,2,0.103,214844.93,220.26,11.01,215054.18,4617.81,219671.99
2021-07-25,5,0.04,215054.18,86.25,4.31,215136.11,4622.12,219758.24
2021-08-01,2,-0.734,215136.11,-1578.05,0.0,213558.07,4622.12,218180.19
2021-08-08,2,2.854,213558.07,6094.63,304.73,219347.96,4926.86,224274.82
2021-08-15,0,0.0,219347.96,0.0,0.0,219347.96,4926.86,224274.82
2021-08-22,0,0.0,219347.96,0.0,0.0,219347.96,4926.86,224274.82
2021-08-29,1,-0.389,219347.96,-852.37,0.0,218495.59,4926.86,223422.45
2021-09-05,0,0.0,218495.59,0.0,0.0,218495.59,4926.86,223422.45
2021-09-12,0,0.0,218495.59,0.0,0.0,218495.59,4926.86,223422.45
2021-09-19,0,0.0,218495.59,0.0,0.0,218495.59,4926.86,223422.45
2021-09-26,0,0.0,218495.59,0.0,0.0,218495.59,4926.86,223422.45
2021-10-03,0,0.0,218495.59,0.0,0.0,218495.59,4926.86,223422.45
2021-10-10,5,4.614,218495.59,10081.32,504.07,228072.85,5430.92,233503.77
2021-10-17,0,0.0,228072.85,0.0,0.0,228072.85,5430.92,233503.77
2021-10-24,0,0.0,228072.85,0.0,0.0,228072.85,5430.92,233503.77
2021-10-31,0,0.0,228072.85,0.0,0.0,228072.85,5430.92,233503.77
2021-11-07,0,0.0,228072.85,0.0,0.0,228072.85,5430.92,233503.77
2021-11-14,3,-3.429,228072.85,-7820.11,0.0,220252.74,5430.92,225683.66
2021-11-21,3,-1.761,220252.74,-3879.26,0.0,216373.47,5430.92,221804.39
2021-11-28,3,-4.2,216373.47,-9086.71,0.0,207286.76,5430.92,212717.68
2021-12-05,5,0.817,207286.76,1694.01,84.7,208896.07,5515.62,214411.69
2021-12-12,5,-1.099,208896.07,-2295.88,0.0,206600.19,5515.62,212115.81
2021-12-19,5,4.403,206600.19,9096.47,454.82,215241.83,5970.44,221212.28
2021-12-26,4,2.05,215241.83,4412.82,220.64,219434.01,6191.09,225625.09
2022-01-02,3,1.535,219434.01,3368.35,168.42,222633.94,6359.5,228993.44
2022-01-09,2,0.879,222633.94,1957.12,97.86,224493.2,6457.36,230950.55
2022-01-16,5,1.316,224493.2,2954.58,147.73,227300.05,6605.09,233905.14
2022-01-23,3,5.473,227300.05,12440.97,622.05,239118.97,7227.14,246346.1
2022-01-30,5,10.654,239118.97,25475.41,1273.77,263320.61,8500.91,271821.52
2022-02-06,3,0.045,263320.61,119.04,5.95,263433.7,8506.86,271940.56
2022-02-13,5,-2.255,263433.7,-5941.33,0.0,257492.37,8506.86,265999.23
2022-02-20,4,3.069,257492.37,7903.7,395.18,265000.88,8902.04,273902.93
2022-02-27,4,2.414,265000.88,6397.94,319.9,271078.92,9221.94,280300.86
2022-03-06,4,1.473,271078.92,3993.2,199.66,274872.47,9421.6,284294.07
2022-03-13,4,6.152,274872.47,16908.87,845.44,290935.89,10267.04,301202.94
2022-03-20,5,5.562,290935.89,16180.94,809.05,306307.78,11076.09,317383.87
2022-03-27,5,2.352,306307.78,7203.06,360.15,313150.69,11436.24,324586.94
2022-04-03,5,-3.297,313150.69,-10324.85,0.0,302825.84,11436.24,314262.09
2022-04-10,5,10.739,302825.84,32519.32,1625.97,333719.2,13062.21,346781.41
2022-04-17,3,-0.189,333719.2,-629.66,0.0,333089.53,13062.21,346151.74
2022-04-24,5,3.832,333089.53,12765.17,638.26,345216.44,13700.47,358916.91
2022-05-01,5,2.054,345216.44,7089.44,354.47,351951.41,14054.94,366006.35
2022-05-08,5,4.855,351951.41,17086.15,854.31,368183.25,14909.25,383092.5
2022-05-15,4,4.887,368183.25,17994.56,899.73,385278.08,15808.98,401087.06
2022-05-22,4,6.828,385278.08,26305.04,1315.25,410267.87,17124.23,427392.09
2022-05-29,4,-0.68,410267.87,-2790.19,0.0,407477.67,17124.23,424601.9
2022-06-05,4,4.151,407477.67,16916.24,845.81,423548.1,17970.04,441518.14
2022-06-12,5,-1.636,423548.1,-6930.84,0.0,416617.26,17970.04,434587.3
2022-06-19,5,10.651,416617.26,44371.93,2218.6,458770.6,20188.64,478959.23
2022-06-26,3,1.719,458770.6,7887.07,394.35,466263.31,20582.99,486846.3
2022-07-03,3,2.589,466263.31,12069.73,603.49,477729.55,21186.48,498916.03
2022-07-10,4,3.806,477729.55,18182.05,909.1,495002.5,22095.58,517098.08
2022-07-17,4,-1.657,495002.5,-8203.38,0.0,486799.12,22095.58,508894.7
2022-07-24,5,2.586,486799.12,12590.79,629.54,498760.37,22725.12,521485.49
2022-07-31,5,1.087,498760.37,5423.25,271.16,503912.46,22996.28,526908.74
2022-08-07,5,-0.652,503912.46,-3284.03,0.0,500628.42,22996.28,523624.7
2022-08-14,5,0.352,500628.42,1761.23,88.06,502301.59,23084.34,525385.93
2022-08-21,5,5.759,502301.59,28926.14,1446.31,529781.43,24530.65,554312.08
2022-08-28,5,-2.68,529781.43,-14198.11,0.0,515583.32,24530.65,540113.97
2022-09-04,5,9.182,515583.32,47339.5,2366.98,560555.85,26897.62,587453.47
2022-09-11,4,5.49,560555.85,30773.49,1538.67,589790.66,28436.3,618226.96
2022-09-18,5,5.507,589790.66,32477.29,1623.86,620644.09,30060.16,650704.25
2022-09-25,5,0.824,620644.09,5116.6,255.83,625504.86,30315.99,655820.85
2022-10-02,5,2.339,625504.86,14633.31,731.67,639406.51,31047.66,670454.17
2022-10-09,4,2.954,639406.51,18890.63,944.53,657352.6,31992.19,689344.79
2022-10-16,5,0.584,657352.6,3838.02,191.9,660998.72,32184.09,693182.81
2022-10-23,5,1.719,660998.72,11361.75,568.09,671792.38,32752.18,704544.56
2022-10-30,5,3.801,671792.38,25533.6,1276.68,696049.3,34028.86,730078.16
2022-11-06,5,0.639,696049.3,4448.54,222.43,700275.42,34251.29,734526.71
