variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe,trades_day
fixed 1/1 (baseline),65.6,350.2,-36.5,-8.0,3.09,
dip=0.15xOR,63.2,324.4,-39.6,-8.0,2.98,3.14
dip=0.2xOR,62.2,317.8,-35.7,-8.0,3.03,2.98
dip=0.25xOR,53.7,240.9,-32.3,-8.0,2.72,2.76
dip=0.15xATR,57.0,266.0,-36.6,-8.0,2.76,3.01
dip=0.2xATR,53.9,240.6,-33.9,-8.0,2.66,2.8
dip=0.25xATR,53.9,245.1,-33.5,-8.0,2.81,2.56
tgt=0.15xOR,70.1,394.2,-36.3,-8.0,3.08,3.12
tgt=0.2xOR,57.6,257.0,-41.2,-8.0,2.45,2.69
tgt=0.25xOR,50.7,198.6,-45.3,-8.0,2.12,2.42
tgt=0.15xATR,60.5,287.0,-33.5,-8.0,2.64,2.83
tgt=0.2xATR,45.7,164.4,-43.3,-8.0,1.93,2.4
tgt=0.25xATR,43.8,149.7,-45.2,-8.0,1.8,2.14
sym 0.15xOR stopfixed4,66.5,352.2,-38.8,-8.0,2.94,3.1
sym 0.15xOR stop4xtgt,65.3,335.5,-44.4,-14.1,2.82,3.08
sym 0.2xOR stopfixed4,50.0,200.9,-39.2,-8.0,2.25,2.54
sym 0.2xOR stop4xtgt,54.9,237.6,-36.6,-14.8,2.42,2.42
sym 0.15xATR stopfixed4,52.8,222.3,-38.3,-8.0,2.37,2.72
sym 0.15xATR stop4xtgt,55.3,236.0,-44.0,-20.0,2.34,2.63
sym 0.2xATR stopfixed4,35.6,108.7,-41.5,-8.0,1.59,2.13
sym 0.2xATR stop4xtgt,38.5,118.9,-44.6,-20.0,1.61,1.89
