variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe,trades_day
start 09:35,127.4,1979.1,-40.1,-8.0,5.73,4.18
start 10:00,59.9,280.8,-43.4,-8.0,2.62,3.8
start 10:15,50.8,209.4,-45.7,-8.0,2.36,3.62
start 10:30*,44.8,171.6,-34.1,-8.0,2.25,3.48
start 11:00,38.1,132.9,-36.5,-8.0,2.03,3.12
start 11:30,31.7,100.3,-31.0,-8.1,1.77,2.95
start 12:00,21.9,58.5,-29.1,-8.0,1.29,2.76
start 13:00,19.2,50.4,-27.6,-8.0,1.24,2.41
cutoff 14:00,126.1,1927.4,-38.7,-8.0,5.82,
cutoff 15:00,127.8,2004.4,-40.6,-8.0,5.78,
cutoff 15:30,126.8,1947.3,-40.7,-8.0,5.71,
cutoff none*,127.4,1979.1,-40.1,-8.0,5.73,
T3 conditional 10:00/11:00,37.8,130.0,-34.3,-8.0,1.97,
