variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe,days
pct60,60.6,311.8,-16.1,-8.0,3.3,444
pct70,61.8,319.3,-20.9,-8.0,3.18,552
pct75,61.2,310.0,-29.4,-8.0,3.08,599
pct80*,61.0,305.0,-32.1,-8.0,2.98,658
pct85,59.0,283.8,-28.6,-8.0,2.84,721
pct90,56.9,263.1,-30.7,-8.0,2.71,790
pct95,51.0,210.4,-33.3,-8.0,2.35,870
pct100,50.5,200.9,-33.3,-8.0,2.2,1010
abs OR30<4%,57.6,279.3,-23.0,-8.0,3.05,556
abs OR30<5%,58.9,281.8,-29.6,-8.0,2.81,782
abs OR30<6%,51.6,215.5,-36.7,-8.0,2.39,887
abs OR30<7%,46.6,176.4,-33.8,-8.0,2.12,944
rel OR30<0.5xATR5,51.4,210.5,-31.6,-8.0,2.31,605
rel OR30<0.65xATR5,52.3,219.1,-30.4,-8.0,2.37,859
rel OR30<0.8xATR5,50.6,203.9,-33.3,-8.0,2.25,962
rel OR30<1.0xATR5,51.0,205.0,-33.3,-8.0,2.23,991
T4 pct80 + readmit up-mornings,65.6,350.2,-36.5,-8.0,3.09,787
