sleeve,spread_cents,slippage_cents,cost_bp_per_ON_day,net_bp_per_ON_day,sharpe
SOXL,1.0,0.0,3.2,62.4,2.94
SOXL,1.0,1.0,3.8,61.8,2.91
SOXL,1.0,2.0,4.4,61.2,2.88
SOXL,2.0,0.0,3.5,62.1,2.93
SOXL,2.0,1.0,4.1,61.5,2.9
SOXL,2.0,2.0,4.6,61.0,2.87
SOXL,3.0,0.0,3.8,61.8,2.91
SOXL,3.0,1.0,4.4,61.2,2.88
SOXL,3.0,2.0,4.9,60.7,2.85
SOXL,5.0,0.0,4.4,61.2,2.88
SOXL,5.0,1.0,4.9,60.7,2.85
SOXL,5.0,2.0,5.5,60.1,2.82
SOXS,1.0,0.0,8.5,49.2,2.25
SOXS,1.0,1.0,10.3,47.4,2.16
SOXS,1.0,2.0,12.1,45.6,2.07
SOXS,2.0,0.0,9.4,48.3,2.21
SOXS,2.0,1.0,11.2,46.5,2.12
SOXS,2.0,2.0,13.1,44.6,2.03
SOXS,3.0,0.0,10.3,47.4,2.16
SOXS,3.0,1.0,12.1,45.6,2.07
SOXS,3.0,2.0,14.0,43.7,1.98
SOXS,5.0,0.0,12.1,45.6,2.07
SOXS,5.0,1.0,14.0,43.7,1.98
SOXS,5.0,2.0,15.8,41.9,1.89
