sleeve,variant,in_spec_literal,ON_days,bp_per_ON_day,d_bp_vs_baseline,sharpe,worst_day_%,total_%
SOXL,research-compat baseline,-,787,65.6,0.0,3.09,-8.0,516.2
SOXL,+ S1 thr80 recomputed monthly (§2.1),yes,767,67.2,1.6,3.17,-8.0,515.1
SOXL,+ S2 half-days OFF (§2.2),yes,779,66.0,0.4,3.1,-8.0,514.1
SOXL,+ S3 flatten at 15:55 (§2.8),yes,787,65.5,-0.1,3.13,-8.0,515.7
SOXL,+ S4 target live on entry bar (§2.6),no,787,65.1,-0.5,3.17,-8.0,512.1
SOXL,+ S5 round_to_tick (§2.5/§2.6),yes,787,69.9,4.3,3.26,-8.07,550.0
SOXL,+ S6 clock bar indexing (§2.1),yes,787,65.6,0.0,3.09,-8.0,516.2
SOXL,+ S7 whole-share sizing (§2.4),no,787,65.6,-0.0,3.09,-8.0,516.2
SOXL,+ S8 refuse incomplete sessions (§4),yes,787,65.6,0.0,3.09,-8.0,516.2
SOXL,"= SPEC_LITERAL (S1,S2,S3,S5,S6,S8)",-,759,71.4,5.8,3.37,-8.07,541.9
SOXS,research-compat baseline,-,801,57.7,0.0,2.63,-8.0,462.1
SOXS,+ S1 thr80 recomputed monthly (§2.1),yes,787,56.8,-0.9,2.57,-8.0,446.7
SOXS,+ S2 half-days OFF (§2.2),yes,793,58.8,1.2,2.67,-8.0,466.6
SOXS,+ S3 flatten at 15:55 (§2.8),yes,801,60.0,2.3,2.79,-8.0,480.6
SOXS,+ S4 target live on entry bar (§2.6),no,801,59.9,2.3,2.8,-8.0,480.2
SOXS,+ S5 round_to_tick (§2.5/§2.6),yes,801,58.2,0.5,2.65,-8.01,466.2
SOXS,+ S6 clock bar indexing (§2.1),yes,801,57.7,0.0,2.63,-8.0,462.1
SOXS,+ S7 whole-share sizing (§2.4),no,801,47.1,-10.6,2.54,-8.0,377.5
SOXS,+ S8 refuse incomplete sessions (§4),yes,801,57.7,0.0,2.63,-8.0,462.1
SOXS,"= SPEC_LITERAL (S1,S2,S3,S5,S6,S8)",-,779,61.2,3.5,2.81,-8.01,476.4
