week_start,week_end,begin_cash,begin_equity,spot,long_strike,long_exp,long_dte,long_px,long_n,unit_net_debit,short_strike,short_exp,short_px,short_n,short_credit,net_delta_per_unit,short_realized,settle_px,short_intrinsic,swept,action,week_realized,end_cash,end_sweep,end_equity,wealth,long_realized,long_close_px,margin_liquidated
2024-01-02,2024-01-05,150000.0,150000.0,28.04,28.0,2024-02-16,45.0,2.962,171.0,2.182,28.0,2024-01-05,0.78,171.0,13338.0,0.038,13338.0,25.94,0.0,3334.5,OK,13338.0,109131.0,3334.5,138714.0,142048.5,,,
2024-01-08,2024-01-12,109131.0,159063.0,28.43,,,,,,,28.0,2024-01-12,1.128,171.0,19288.8,-0.012,18091.799999999996,28.07,0.07,4522.95,OK,18091.8,122588.7,7857.45,166022.7,173880.15,,,
2024-01-16,2024-01-19,122588.7,177308.7,29.19,,,,,,,28.0,2024-01-19,1.562,171.0,26710.2,-0.099,-91279.79999999997,34.9,6.9,,OK,-91279.8,31197.75,7857.45,161157.75,169015.2,,,
2024-01-22,2024-01-26,31197.75,166287.75,35.26,35.0,2024-05-17,116.0,6.17,87.0,4.738,35.0,2024-01-26,1.432,87.0,12458.4,0.052,12458.4,34.01,0.0,24096.3,OK,96385.2,100233.6,31953.75,147866.1,179819.85,83926.79999999999,7.87,
2024-01-29,2024-02-02,100233.6,152868.6,35.04,,,,,,,35.0,2024-02-02,1.526,87.0,13276.2,0.07,13276.199999999999,33.68,0.0,3319.05,OK,13276.2,110134.2,35272.8,154286.7,189559.5,,,
2024-02-05,2024-02-09,110134.2,161681.7,35.1,,,,,,,35.0,2024-02-09,1.34,87.0,11658.0,0.064,-26187.000000000015,39.35,4.35,,OK,-26187.0,83890.65,35272.8,160015.65,195288.45,,,
2024-02-12,2024-02-16,83890.65,158928.15,39.15,,,,,,,35.0,2024-02-16,4.31,87.0,37497.0,-0.188,8612.999999999995,38.32,3.32,2153.25,OK,8613.0,90293.85,37426.05,162068.85,199494.9,,,
2024-02-20,2024-02-23,90293.85,148366.35,36.42,,,,,,,35.0,2024-02-23,2.872,87.0,24986.4,-0.005,-18948.599999999977,40.05,5.05,,OK,-18948.6,71288.7,37426.05,148066.2,185492.25,,,
2024-02-26,2024-03-01,71288.7,155243.7,41.21,,,,,,,35.0,2024-03-01,6.24,87.0,54288.0,-0.217,-61770.00000000003,48.34,13.34,,OK,-61770.0,9462.15,37426.05,136264.65,173690.7,,,
2024-03-04,2024-03-08,9462.15,154534.65,49.77,,,,,,,35.0,2024-03-08,14.87,87.0,129369.0,-0.081,9048.000000000007,48.83,13.83,2262.0,OK,9048.0,16191.6,39688.05,152346.6,192034.65,,,
2024-03-11,2024-03-15,16191.6,142124.1,46.77,,,,,,,35.0,2024-03-15,11.9,87.0,103530.0,-0.1,36800.99999999997,42.67,7.67,9200.25,OK,36801.0,43735.8,48888.3,140305.8,189194.1,,,
2024-03-18,2024-03-22,43735.8,136825.8,42.54,,,,,,,35.0,2024-03-22,7.57,87.0,65859.0,-0.189,-33407.99999999997,46.41,11.41,,OK,-33408.0,10271.25,48888.3,131201.25,180089.55,,,
2024-03-25,2024-03-28,10271.25,121631.25,45.89,,,,,,,35.0,2024-03-28,10.88,87.0,94656.0,-0.157,-5655.000000000018,46.53,11.53,,OK,-5655.0,4559.7,48888.3,116137.2,165025.5,,,
2024-04-01,2024-04-05,4559.7,129622.2,47.99,,,,,,,35.0,2024-04-05,13.14,87.0,114318.0,-0.06,38541.0,43.71,8.71,9635.25,OK,38541.0,33408.9,58523.55,127586.4,186109.95,,,
2024-04-08,2024-04-12,33408.9,128456.4,44.0,,,,,,,35.0,2024-04-12,8.97,87.0,78039.0,-0.163,22707.00000000001,41.36,6.36,5676.75,OK,22707.0,50382.6,64200.3,123462.6,187662.9,,,
2024-04-15,2024-04-19,50382.6,113022.6,39.78,,,,,,,35.0,2024-04-19,5.17,87.0,44979.0,-0.129,44979.0,30.69,0.0,11244.75,OK,44979.0,84060.3,75445.05,99415.8,174860.85,,,
2024-04-22,2024-04-26,84060.3,101547.3,32.07,32.0,2024-08-16,116.0,6.93,46.0,5.43,32.0,2024-04-26,1.5,46.0,6900.0,0.083,-28750.0,39.75,7.75,,OK,-65516.2,40228.75,75445.05,93243.75,168688.8,-36766.200000000004,1.944,
2024-04-29,2024-05-03,40228.75,97383.75,40.61,,,,,,,32.0,2024-05-03,8.66,46.0,39836.0,-0.176,7774.0000000000055,38.97,6.97,1943.5,OK,7774.0,46029.35,77388.55,94674.35,172062.9,,,
2024-05-06,2024-05-10,46029.35,100654.35,41.3,,,,,,,32.0,2024-05-10,8.75,46.0,40250.0,-0.19,-1242.0000000000143,41.02,9.02,,OK,-1242.0,44757.45,77388.55,99842.45,177231.0,,,
2024-05-13,2024-05-17,44757.45,99612.45,41.27,,,,,,,32.0,2024-05-17,9.45,46.0,43470.0,-0.094,-18308.000000000004,45.43,13.43,,OK,-18308.0,26419.55,77388.55,100594.55,177983.1,,,
2024-05-20,2024-05-24,26419.55,112669.55,48.25,,,,,,,32.0,2024-05-24,15.24,46.0,70104.0,-0.078,-19779.999999999996,51.54,19.54,,OK,-19780.0,6609.65,77388.55,101024.65,178413.2,,,
2024-05-28,2024-05-31,6609.65,108844.65,54.04,,,,,,,32.0,2024-05-31,21.53,46.0,99038.0,0.041,22908.00000000002,48.55,16.55,5727.0,OK,22908.0,23760.75,83115.55,108055.75,191171.3,,,
2024-06-03,2024-06-07,23760.75,107595.75,48.59,,,,,,,32.0,2024-06-07,16.07,46.0,73922.0,-0.087,-17663.999999999985,51.91,19.91,,OK,-17664.0,6066.85,83115.55,102781.85,185897.4,,,
2024-06-10,2024-06-14,6066.85,108991.85,53.95,,,,,,,32.0,2024-06-14,20.72,46.0,95312.0,-0.019,-33625.99999999999,60.03,28.03,,OK,-11538.0,2114.8,83115.55,101164.8,184280.35,22087.999999999996,,11.0
2024-06-17,2024-06-21,2114.8,112102.3,62.67,,,,,,,32.0,2024-06-21,29.85,35.0,104475.0,-0.021,13404.999999999995,58.02,26.02,3351.25,OK,13405.0,12145.8,86466.8,105070.8,191537.6,,,
2024-06-24,2024-06-28,12145.8,89845.8,53.22,,,,,,,32.0,2024-06-28,20.04,35.0,70140.0,-0.067,-11585.000000000007,55.35,23.35,,OK,-11585.0,538.05,86466.8,84888.05,171354.85,,,
2024-07-01,2024-07-05,538.05,82525.55,55.36,,,,,,,35.0,2024-07-05,19.27,35.0,67445.0,0.0,-22890.000000000007,60.81,25.81,,OK,-4089.0,2657.45,86466.8,78577.45,165044.25,18801.0,,9.0
2024-07-08,2024-07-12,2657.45,85077.45,64.31,,,,,,,35.0,2024-07-12,27.9,26.0,72540.0,0.0,-3067.99999999999,64.08,29.08,,OK,-662.0,2670.9,86466.8,82733.4,169200.2,2406.0,,1.0
