week_start,week_end,begin_cash,begin_equity,begin_sweep,spot_monday,long_action,long_strike,long_expiration,long_contracts,long_buy_price,long_cost,long_note,short_action,short_strike,short_expiration,short_contracts,short_credit_price,short_premium_received,short_note,short_realized_pnl,short_settle_price,short_settle_cost,short_outcome,spot_friday,week_realized,sweep_amount,end_cash,end_sweep,end_equity,end_total_wealth,long_realized_pnl,long_sell_price,long_roll_reason
2024-01-02,2024-01-05,150000.0,150000.0,0.0,28.04,BUY,23.0,2024-05-17,40,7.890000000000001,31560.0,REAL QUOTE bid=7.65 ask=7.95 delta=0.760 dte=136,SELL,30.0,2024-01-05,40,0.152,608.0,REAL QUOTE bid=0.15 ask=0.16 delta=0.160 dte=3,608.0,25.94,0.0,EXPIRED_WORTHLESS(close 25.94),25.93,608.0,152.0,118844.0,152.0,144044.0,144196.0,,,
2024-01-08,2024-01-12,118844.0,150744.0,152.0,28.43,HOLD,23.0,2024-05-17,40,,,,SELL,31.0,2024-01-12,40,0.154,616.0,REAL QUOTE bid=0.15 ask=0.17 delta=0.145 dte=4,616.0,28.07,0.0,EXPIRED_WORTHLESS(close 28.07),28.1,616.0,154.0,119280.0,306.0,149980.0,150286.0,,,
2024-01-16,2024-01-19,119280.0,153480.0,306.0,29.19,HOLD,23.0,2024-05-17,40,,,,SELL,31.0,2024-01-19,40,0.202,808.0,REAL QUOTE bid=0.20 ask=0.21 delta=0.193 dte=3,-14791.999999999993,34.9,15600.0,SETTLED_ITM(close 34.90),34.86,-14792.0,0.0,104462.0,306.0,157762.0,158068.0,,,
2024-01-22,2024-01-26,104462.0,158362.0,306.0,35.26,HOLD,23.0,2024-05-17,40,,,,SELL,39.0,2024-01-26,40,0.306,1224.0,REAL QUOTE bid=0.30 ask=0.33 delta=0.171 dte=4,1224.0,34.01,0.0,EXPIRED_WORTHLESS(close 34.01),34.01,1224.0,306.0,105354.0,612.0,155454.0,156066.0,,,
2024-01-29,2024-02-02,105354.0,159954.0,612.0,35.04,HOLD,23.0,2024-05-17,40,,,,SELL,39.0,2024-02-02,40,0.336,1344.0,REAL QUOTE bid=0.33 ask=0.36 delta=0.175 dte=4,1344.0,33.68,0.0,EXPIRED_WORTHLESS(close 33.68),33.65,1344.0,336.0,106336.0,948.0,157236.0,158184.0,,,
2024-02-05,2024-02-09,106336.0,159436.0,948.0,35.1,HOLD,23.0,2024-05-17,40,,,,SELL,39.0,2024-02-09,40,0.23600000000000002,944.0,REAL QUOTE bid=0.23 ask=0.26 delta=0.146 dte=4,-456.0000000000056,39.35,1400.0,SETTLED_ITM(close 39.35),39.32,-456.0,0.0,105854.0,948.0,170954.0,171902.0,,,
2024-02-12,2024-02-16,105854.0,174654.0,948.0,39.15,HOLD,23.0,2024-05-17,40,,,,SELL,43.0,2024-02-16,40,0.406,1624.0,REAL QUOTE bid=0.40 ask=0.43 delta=0.194 dte=4,1624.0,38.32,0.0,EXPIRED_WORTHLESS(close 38.32),38.33,1624.0,406.0,107046.0,1354.0,175046.0,176400.0,,,
2024-02-20,2024-02-23,107046.0,165146.0,1354.0,36.42,HOLD,23.0,2024-05-17,40,,,,SELL,42.0,2024-02-23,40,0.5,2000.0,REAL QUOTE bid=0.49 ask=0.54 delta=0.186 dte=3,2000.0,40.05,0.0,EXPIRED_WORTHLESS(close 40.05),40.17,2000.0,500.0,108520.0,1854.0,179320.0,181174.0,,,
2024-02-26,2024-03-01,108520.0,183620.0,1854.0,41.21,HOLD,23.0,2024-05-17,40,,,,SELL,45.0,2024-03-01,40,0.382,1528.0,REAL QUOTE bid=0.38 ask=0.39 delta=0.187 dte=4,-11832.000000000015,48.34,13360.0,SETTLED_ITM(close 48.34),48.33,-11832.0,0.0,96662.0,1854.0,199062.0,200916.0,,,
2024-03-04,2024-03-08,96662.0,205662.0,1854.0,49.77,HOLD,23.0,2024-05-17,40,,,,SELL,56.0,2024-03-08,40,0.526,2104.0,REAL QUOTE bid=0.52 ask=0.55 delta=0.176 dte=4,2104.0,48.83,0.0,EXPIRED_WORTHLESS(close 48.83),48.95,2104.0,526.0,98214.0,2380.0,205014.0,207394.0,,,
2024-03-11,2024-03-15,98214.0,195514.0,2380.0,46.77,HOLD,23.0,2024-05-17,40,,,,SELL,54.0,2024-03-15,40,0.464,1856.0,REAL QUOTE bid=0.45 ask=0.52 delta=0.156 dte=4,1856.0000000000002,42.67,0.0,EXPIRED_WORTHLESS(close 42.67),42.74,1856.0,464.0,99580.0,2844.0,185180.0,188024.0,,,
2024-03-18,2024-03-22,99580.0,181780.0,2844.0,42.54,HOLD,23.0,2024-05-17,40,,,,SELL,49.0,2024-03-22,40,0.498,1992.0,REAL QUOTE bid=0.49 ask=0.53 delta=0.172 dte=4,1992.0,46.41,0.0,EXPIRED_WORTHLESS(close 46.41),46.43,1992.0,498.0,101048.0,3342.0,196348.0,199690.0,,,
2024-03-25,2024-03-28,101048.0,196248.0,3342.0,45.89,HOLD,23.0,2024-05-17,40,,,,SELL,50.0,2024-03-28,40,0.376,1504.0,REAL QUOTE bid=0.37 ask=0.40 delta=0.179 dte=3,1504.0,46.53,0.0,EXPIRED_WORTHLESS(close 46.53),46.53,1504.0,376.0,102150.0,3718.0,196950.0,200668.0,,,
2024-04-01,2024-04-05,102150.0,200850.0,3718.0,47.99,HOLD,23.0,2024-05-17,40,,,,SELL,53.0,2024-04-05,40,0.406,1624.0,REAL QUOTE bid=0.40 ask=0.43 delta=0.170 dte=4,1624.0,43.71,0.0,EXPIRED_WORTHLESS(close 43.71),43.62,1624.0,406.0,103342.0,4124.0,186342.0,190466.0,,,
2024-04-08,2024-04-12,103342.0,191342.0,4124.0,44.0,ROLL_DTE(39d),36.0,2024-08-16,32,13.69,43808.0,REAL QUOTE bid=12.85 ask=13.90 delta=0.751 dte=130,SELL,48.0,2024-04-12,32,0.426,1363.2,REAL QUOTE bid=0.42 ask=0.45 delta=0.194 dte=4,1363.2,41.36,0.0,EXPIRED_WORTHLESS(close 41.36),41.51,55403.2,13850.8,132578.8,17974.8,167378.8,185353.6,54039.99999999999,21.4,ROLL_DTE(39d)
2024-04-15,2024-04-19,132578.8,164738.8,17974.8,39.78,HOLD,36.0,2024-08-16,32,,,,SELL,45.0,2024-04-19,32,0.334,1068.8,REAL QUOTE bid=0.33 ask=0.35 delta=0.153 dte=4,1068.8,30.69,0.0,EXPIRED_WORTHLESS(close 30.69),30.79,1068.8,267.2,133359.6,18242.0,147839.6,166081.6,,,
2024-04-22,2024-04-26,133359.6,150079.6,18242.0,32.07,HOLD,36.0,2024-08-16,32,,,,SELL,36.0,2024-04-26,32,0.256,819.2,REAL QUOTE bid=0.25 ask=0.28 delta=0.153 dte=4,-11180.8,39.75,12000.0,SETTLED_ITM(close 39.75),39.8,-11180.8,0.0,122158.0,18242.0,152398.0,170640.0,,,
2024-04-29,2024-05-03,122158.0,154318.0,18242.0,40.61,HOLD,36.0,2024-08-16,32,,,,SELL,46.0,2024-05-03,32,0.406,1299.2,REAL QUOTE bid=0.40 ask=0.43 delta=0.166 dte=4,1299.2,38.97,0.0,EXPIRED_WORTHLESS(close 38.97),38.97,1299.2,324.8,123111.6,18566.8,149911.6,168478.4,,,
2024-05-06,2024-05-10,123111.6,157911.6,18566.8,41.3,HOLD,36.0,2024-08-16,32,,,,SELL,45.0,2024-05-10,32,0.34400000000000003,1100.8,REAL QUOTE bid=0.34 ask=0.36 delta=0.182 dte=4,1100.8000000000002,41.02,0.0,EXPIRED_WORTHLESS(close 41.02),41.03,1100.8,275.2,123916.4,18842.0,153516.4,172358.4,,,
2024-05-13,2024-05-17,123916.4,151596.4,18842.0,41.27,HOLD,36.0,2024-08-16,32,,,,SELL,45.0,2024-05-17,32,0.366,1171.2,REAL QUOTE bid=0.36 ask=0.39 delta=0.186 dte=4,-204.7999999999991,45.43,1376.0,SETTLED_ITM(close 45.43),45.4,-204.8,0.0,123690.8,18842.0,164090.8,182932.8,,,
2024-05-20,2024-05-24,123690.8,169290.8,18842.0,48.25,HOLD,36.0,2024-08-16,32,,,,SELL,54.0,2024-05-24,32,0.562,1798.4,REAL QUOTE bid=0.55 ask=0.61 delta=0.192 dte=4,1798.4,51.54,0.0,EXPIRED_WORTHLESS(close 51.54),51.44,1798.4,449.6,125018.8,19291.6,178618.8,197910.4,,,
2024-05-28,2024-05-31,125018.8,189258.8,19291.6,54.04,HOLD,36.0,2024-08-16,32,,,,SELL,58.0,2024-05-31,32,0.376,1203.2,REAL QUOTE bid=0.36 ask=0.44 delta=0.186 dte=3,1203.2,48.55,0.0,EXPIRED_WORTHLESS(close 48.55),48.59,1203.2,300.8,125900.4,19592.4,174300.4,193892.8,,,
