entry_date,expiration,dte,spot_entry,S_exp,k_short,k_long,width,width_pct,short_delta,credit,credit_pct_width,max_loss_share,pnl_share,ror,breach,max_loss_hit,win,move_pct,year
2022-01-03,2022-02-04,32,72.10000000000001,43.46,73.0,74.0,1.0,0.013869625520110956,0.5199,0.28000000000000025,0.28000000000000025,0.7199999999999998,0.28000000000000025,0.3888888888888894,False,False,True,-0.39722607489597783,2022
2022-02-07,2022-03-11,32,43.41,30.69,44.0,45.0,1.0,0.023036166781847504,0.5437000000000001,0.21000000000000085,0.21000000000000085,0.7899999999999991,0.21000000000000085,0.26582278481012794,False,False,True,-0.2930200414651001,2022
2022-03-14,2022-04-14,31,27.91,25.610000000000003,28.0,29.0,1.0,0.03582945180938732,0.5726,0.35000000000000053,0.35000000000000053,0.6499999999999995,0.35000000000000053,0.5384615384615398,False,False,True,-0.08240773916159072,2022
2022-04-18,2022-05-20,32,26.98,20.36,27.0,28.0,1.0,0.037064492216456635,0.5628000000000001,0.36599999999999966,0.36599999999999966,0.6340000000000003,0.36599999999999966,0.577287066246056,False,False,True,-0.245366938472943,2022
2022-05-23,2022-06-24,32,20.630000000000003,15.81,21.0,22.0,1.0,0.04847309743092583,0.5465,0.246,0.246,0.754,0.246,0.32625994694960214,False,False,True,-0.2336403296170626,2022
2022-06-27,2022-07-29,32,15.8,19.83,16.0,17.0,1.0,0.06329113924050632,0.5507000000000001,0.34999999999999987,0.34999999999999987,0.6500000000000001,-0.6500000000000001,-1.0,True,True,False,0.2550632911392403,2022
2022-08-01,2022-09-02,32,20.01,12.86,21.0,22.0,1.0,0.04997501249375312,0.4994,0.32200000000000006,0.32200000000000006,0.6779999999999999,0.32200000000000006,0.4749262536873158,False,False,True,-0.35732133933033494,2022
2022-09-06,2022-10-07,31,12.42,9.21,13.0,14.0,1.0,0.08051529790660225,0.5193,0.3420000000000001,0.3420000000000001,0.6579999999999999,0.3420000000000001,0.5197568389057753,False,False,True,-0.25845410628019316,2022
2022-10-10,2022-11-11,32,8.280000000000001,13.22,9.0,10.0,1.0,0.12077294685990336,0.4972,0.30800000000000005,0.30800000000000005,0.692,-0.692,-1.0,True,True,False,0.5966183574879225,2022
2022-11-14,2022-12-16,32,12.77,11.11,13.0,14.0,1.0,0.07830853563038372,0.5479,0.3760000000000001,0.3760000000000001,0.6239999999999999,0.3760000000000001,0.6025641025641029,False,False,True,-0.12999216914643696,2022
2022-12-19,2023-01-20,32,10.69,12.79,11.0,12.0,1.0,0.09354536950420955,0.5223,0.3400000000000001,0.3400000000000001,0.6599999999999999,-0.6599999999999999,-1.0,True,True,False,0.19644527595883998,2022
2023-01-23,2023-02-24,32,14.74,14.31,15.0,16.0,1.0,0.06784260515603799,0.5342,0.3839999999999999,0.3839999999999999,0.6160000000000001,0.3839999999999999,0.6233766233766231,False,False,True,-0.02917232021709637,2023
2023-02-27,2023-03-31,32,14.5,18.3,15.0,16.0,1.0,0.06896551724137931,0.5162,0.3679999999999999,0.3679999999999999,0.6320000000000001,-0.6320000000000001,-1.0,True,True,False,0.26206896551724146,2023
2023-04-03,2023-05-05,32,17.810000000000002,14.47,18.0,19.0,1.0,0.056148231330713075,0.5413,0.3959999999999999,0.3959999999999999,0.6040000000000001,0.3959999999999999,0.6556291390728475,False,False,True,-0.1875350926445818,2023
2023-05-08,2023-06-09,32,14.65,22.4,15.0,16.0,1.0,0.06825938566552901,0.5098,0.3959999999999999,0.3959999999999999,0.6040000000000001,-0.6040000000000001,-1.0,True,True,False,0.5290102389078497,2023
2023-06-12,2023-07-14,32,24.6,26.23,25.0,26.0,1.0,0.04065040650406504,0.5254,0.3780000000000001,0.3780000000000001,0.6219999999999999,-0.6219999999999999,-1.0,True,True,False,0.06626016260162593,2023
2023-07-17,2023-08-18,32,28.06,20.15,29.0,30.0,1.0,0.03563791874554526,0.4945,0.3660000000000001,0.3660000000000001,0.6339999999999999,0.3660000000000001,0.5772870662460571,False,False,True,-0.28189593727726303,2023
2023-08-21,2023-09-22,32,21.880000000000003,17.84,22.0,23.0,1.0,0.04570383912248628,0.5501,0.41600000000000015,0.41600000000000015,0.5839999999999999,0.41600000000000015,0.7123287671232881,False,False,True,-0.1846435100548447,2023
2023-09-25,2023-10-27,32,18.22,15.1,19.0,20.0,1.0,0.054884742041712405,0.4822,0.3380000000000001,0.3380000000000001,0.6619999999999999,0.3380000000000001,0.5105740181268884,False,False,True,-0.17124039517014267,2023
2023-10-30,2023-12-01,32,14.53,23.07,15.0,16.0,1.0,0.06882312456985547,0.5143,0.3899999999999999,0.3899999999999999,0.6100000000000001,-0.6100000000000001,-1.0,True,True,False,0.5877494838265658,2023
2023-12-04,2024-01-05,32,22.31,25.93,23.0,24.0,1.0,0.04482294935006724,0.4835,0.32999999999999985,0.32999999999999985,0.6700000000000002,-0.6700000000000002,-1.0,True,True,False,0.16225907664724337,2023
2024-01-08,2024-02-09,32,28.43,39.32,29.0,30.0,1.0,0.035174111853675694,0.512,0.3939999999999999,0.3939999999999999,0.6060000000000001,-0.6060000000000001,-1.0,True,True,False,0.38304607808652835,2024
2024-02-12,2024-03-15,32,39.15,42.74,40.0,41.0,1.0,0.02554278416347382,0.5237,0.33999999999999986,0.33999999999999986,0.6600000000000001,-0.6600000000000001,-1.0,True,True,False,0.09169859514687118,2024
2024-03-18,2024-04-19,32,42.54,30.790000000000003,43.0,44.0,1.0,0.023507287259050307,0.5467000000000001,0.3799999999999999,0.3799999999999999,0.6200000000000001,0.3799999999999999,0.6129032258064513,False,False,True,-0.276210625293841,2024
2024-04-22,2024-05-24,32,32.07,51.440000000000005,33.0,34.0,1.0,0.031181789834736514,0.5332,0.20399999999999974,0.20399999999999974,0.7960000000000003,-0.7960000000000003,-1.0,True,True,False,0.6039912690988465,2024
2024-05-28,2024-06-28,31,54.04,55.36,55.0,56.0,1.0,0.018504811250925242,0.5261,0.08400000000000052,0.08400000000000052,0.9159999999999995,-0.2759999999999989,-0.30131004366812125,True,False,False,0.024426350851221246,2024
2024-07-05,2024-08-02,28,60.81,29.34,61.0,62.0,1.0,0.0164446637066272,0.5466,0.2599999999999998,0.2599999999999998,0.7400000000000002,0.2599999999999998,0.351351351351351,False,False,True,-0.517513566847558,2024
2024-08-05,2024-09-06,32,27.89,25.96,28.0,29.0,1.0,0.035855145213338116,0.5958,0.10000000000000053,0.10000000000000053,0.8999999999999995,0.10000000000000053,0.11111111111111177,False,False,True,-0.0692004302617425,2024
2024-09-09,2024-10-11,32,27.43,38.67,28.0,29.0,1.0,0.03645643456069996,0.5398000000000001,0.16000000000000014,0.16000000000000014,0.8399999999999999,-0.8399999999999999,-1.0,True,True,False,0.4097703244622677,2024
2024-10-14,2024-11-15,32,40.82,26.66,41.0,42.0,1.0,0.02449779519843214,0.5532,0.35000000000000053,0.35000000000000053,0.6499999999999995,0.35000000000000053,0.5384615384615398,False,False,True,-0.34688878000979917,2024
2024-11-18,2024-12-20,32,27.67,27.3,28.0,29.0,1.0,0.03614022406938923,0.5453,0.38800000000000034,0.38800000000000034,0.6119999999999997,0.38800000000000034,0.6339869281045761,False,False,True,-0.013371882905674037,2024
2024-12-23,2025-01-24,32,29.590000000000003,32.65,30.0,31.0,1.0,0.03379520108144643,0.53427,0.3119999999999994,0.3119999999999994,0.6880000000000006,-0.6880000000000006,-1.0,True,True,False,0.10341331530922582,2024
2025-01-28,2025-02-28,31,25.37,22.73,26.0,27.0,1.0,0.039416633819471816,0.5265,0.2719999999999998,0.2719999999999998,0.7280000000000002,0.2719999999999998,0.37362637362637324,False,False,True,-0.10405991328340558,2025
2025-03-05,2025-04-04,30,21.95,8.73,22.0,23.0,1.0,0.04555808656036447,0.5607,0.2919999999999998,0.2919999999999998,0.7080000000000002,0.2919999999999998,0.4124293785310731,False,False,True,-0.6022779043280182,2025
2025-04-07,2025-05-09,32,9.15,14.11,10.0,11.0,1.0,0.1092896174863388,0.5539,0.3819999999999999,0.3819999999999999,0.6180000000000001,-0.6180000000000001,-1.0,True,True,False,0.5420765027322403,2025
2025-05-12,2025-06-13,32,17.13,20.04,18.0,19.0,1.0,0.05837711617046118,0.4908,0.274,0.274,0.726,-0.726,-1.0,True,True,False,0.16987740805604212,2025
2025-06-16,2025-07-18,32,21.9,27.33,22.0,23.0,1.0,0.04566210045662101,0.5492,0.34799999999999964,0.34799999999999964,0.6520000000000004,-0.6520000000000004,-1.0,True,True,False,0.24794520547945198,2025
2025-07-21,2025-08-22,32,27.5,27.45,28.0,29.0,1.0,0.03636363636363636,0.5278,0.39400000000000013,0.39400000000000013,0.6059999999999999,0.39400000000000013,0.6501650165016505,False,False,True,-0.0018181818181818299,2025
2025-08-26,2025-09-26,31,27.94,34.02,28.0,29.0,1.0,0.03579098067287043,0.5502,0.42799999999999994,0.42799999999999994,0.5720000000000001,-0.5720000000000001,-1.0,True,True,False,0.21760916249105233,2025
2025-10-01,2025-10-31,30,36.86,47.78,37.0,38.0,1.0,0.02712967986977754,0.5483,0.1419999999999999,0.1419999999999999,0.8580000000000001,-0.8580000000000001,-1.0,True,True,False,0.29625610417797077,2025
2025-11-03,2025-12-05,32,48.58,46.5,49.0,50.0,1.0,0.02058460271716756,0.5517,0.1200000000000001,0.1200000000000001,0.8799999999999999,0.1200000000000001,0.1363636363636365,False,False,True,-0.04281597365170853,2025
2025-12-09,2026-01-09,31,47.79,53.95,48.0,49.0,1.0,0.02092487968194183,0.5528,0.09999999999999964,0.09999999999999964,0.9000000000000004,-0.9000000000000004,-1.0,True,True,False,0.12889725884076175,2025
2026-01-26,2026-02-27,32,60.7,62.77,61.0,62.0,1.0,0.016474464579901153,0.5561,0.27999999999999936,0.27999999999999936,0.7200000000000006,-0.7200000000000006,-1.0,True,True,False,0.03410214168039549,2026
2026-03-06,2026-04-02,27,47.89,52.75,50.0,51.0,1.0,0.02088118605136772,0.5337000000000001,0.05999999999999961,0.05999999999999961,0.9400000000000004,-0.9400000000000004,-1.0,True,True,False,0.10148256420964707,2026
2026-04-08,2026-05-08,30,67.5,176.94,70.0,75.0,5.0,0.07407407407407407,0.523,1.4400000000000004,0.2880000000000001,3.5599999999999996,-3.5599999999999996,-1.0,True,True,False,1.6213333333333333,2026
2026-05-22,2026-06-18,27,190.56,279.29,195.0,200.0,5.0,0.026238455079764904,0.5523,0.6099999999999994,0.12199999999999989,4.390000000000001,-4.390000000000001,-1.0,True,True,False,0.46562762384550815,2026
2026-07-01,2026-07-31,30,217.55,181.47,220.0,225.0,5.0,0.022983222247759134,0.5961000000000001,0.7700000000000031,0.15400000000000064,4.229999999999997,0.7700000000000031,0.18203309692671482,False,False,True,-0.16584693173983,2026
