structure,entry_date,expiration,dte,spot_entry,exit_date,S_exit,exit_kind,k_lo,k_hi,width,width_pct,primary_delta,net,net_pct_width,max_loss_share,pnl_share,ror,win,move_pct,year
long_put,2022-01-03,2022-01-07,4,72.10000000000001,2022-01-07,59.74,expiry,69.0,69.0,,,-0.2776,-1.048,,1.048,8.211999999999998,7.835877862595417,True,-0.17142857142857149,2022
long_put,2022-01-10,2022-01-14,4,60.0,2022-01-14,64.48,expiry,57.0,57.0,,,-0.3163,-1.814,,1.814,-1.814,-1.0,False,0.07466666666666666,2022
long_put,2022-01-18,2022-01-28,10,55.98,2022-01-28,38.41,expiry,51.0,51.0,,,-0.2868,-2.314,,2.314,10.276000000000003,4.440795159896285,True,-0.31386209360485895,2022
long_put,2022-01-31,2022-02-04,4,44.580000000000005,2022-02-04,43.46,expiry,42.0,42.0,,,-0.3099,-1.378,,1.378,-1.378,-1.0,False,-0.025123373710184027,2022
long_put,2022-02-07,2022-02-11,4,43.41,2022-02-11,39.54,expiry,41.0,41.0,,,-0.3095,-1.268,,1.268,0.19200000000000084,0.15141955835962212,True,-0.08914996544574982,2022
long_put,2022-02-14,2022-02-18,4,39.59,2022-02-18,39.63,expiry,37.0,37.0,,,-0.3213,-1.734,,1.734,-1.734,-1.0,False,0.0010103561505430125,2022
long_put,2022-02-22,2022-03-04,10,38.61,2022-03-04,34.77,expiry,35.0,35.0,,,-0.2923,-1.888,,1.888,-1.658000000000003,-0.8781779661016965,False,-0.09945609945609934,2022
long_put,2022-03-07,2022-03-11,4,29.58,2022-03-11,30.69,expiry,27.0,27.0,,,-0.2894,-1.238,,1.238,-1.238,-1.0,False,0.03752535496957421,2022
long_put,2022-03-14,2022-03-18,4,27.91,2022-03-18,39.17,expiry,26.0,26.0,,,-0.3191,-1.236,,1.236,-1.236,-1.0,False,0.4034396273737013,2022
long_put,2022-03-21,2022-03-25,4,39.0,2022-03-25,42.010000000000005,expiry,37.0,37.0,,,-0.3218,-1.236,,1.236,-1.236,-1.0,False,0.0771794871794873,2022
long_put,2022-03-28,2022-04-01,4,42.71,2022-04-01,36.29,expiry,41.0,41.0,,,-0.3316,-1.092,,1.092,3.6180000000000008,3.313186813186814,True,-0.15031608522594242,2022
long_put,2022-04-04,2022-04-08,4,37.96,2022-04-08,28.290000000000003,expiry,36.0,36.0,,,-0.286,-0.772,,0.772,6.937999999999997,8.987046632124349,True,-0.25474183350895674,2022
long_put,2022-04-11,2022-04-14,3,26.49,2022-04-14,25.610000000000003,expiry,25.0,25.0,,,-0.3193,-0.882,,0.882,-0.882,-1.0,False,-0.033220083050207405,2022
long_put,2022-04-18,2022-04-22,4,26.98,2022-04-22,24.450000000000003,expiry,25.0,25.0,,,-0.2615,-0.624,,0.624,-0.07400000000000284,-0.11858974358974814,False,-0.09377316530763524,2022
long_put,2022-04-25,2022-04-29,4,25.67,2022-04-29,22.24,expiry,24.0,24.0,,,-0.3078,-0.9179999999999999,,0.9179999999999999,0.8420000000000016,0.9172113289760367,True,-0.13361901051811464,2022
long_put,2022-05-02,2022-05-06,4,24.5,2022-05-06,23.35,expiry,23.0,23.0,,,-0.3314,-1.1199999999999999,,1.1199999999999999,-1.1199999999999999,-1.0,False,-0.04693877551020398,2022
long_put,2022-05-09,2022-05-13,4,19.72,2022-05-13,22.49,expiry,18.0,18.0,,,-0.2952,-0.9,,0.9,-0.9,-1.0,False,0.1404665314401623,2022
long_put,2022-05-16,2022-05-20,4,21.37,2022-05-20,20.36,expiry,20.0,20.0,,,-0.3128,-0.796,,0.796,-0.796,-1.0,False,-0.04726251754796451,2022
long_put,2022-05-23,2022-05-27,4,20.630000000000003,2022-05-27,25.26,expiry,19.0,19.0,,,-0.2866,-0.738,,0.738,-0.738,-1.0,False,0.2244304411051865,2022
long_put,2022-05-31,2022-06-10,10,24.86,2022-06-10,18.81,expiry,23.0,23.0,,,-0.3117,-1.146,,1.146,3.0440000000000014,2.6561954624781863,True,-0.24336283185840712,2022
long_put,2022-06-13,2022-06-17,4,15.55,2022-06-17,13.7,expiry,14.0,14.0,,,-0.2724,-0.63,,0.63,-0.3299999999999993,-0.5238095238095227,False,-0.11897106109324762,2022
long_put,2022-06-21,2022-07-01,10,14.8,2022-07-01,11.6,expiry,13.0,13.0,,,-0.2471,-0.58,,0.58,0.8200000000000004,1.4137931034482767,True,-0.21621621621621623,2022
long_put,2022-07-05,2022-07-15,10,11.85,2022-07-15,15.11,expiry,11.0,11.0,,,-0.3278,-0.67,,0.67,-0.67,-1.0,False,0.27510548523206757,2022
long_put,2022-07-18,2022-07-22,4,14.92,2022-07-22,17.650000000000002,expiry,14.0,14.0,,,-0.298,-0.434,,0.434,-0.434,-1.0,False,0.1829758713136731,2022
long_put,2022-07-25,2022-07-29,4,17.3,2022-07-29,19.83,expiry,16.0,16.0,,,-0.2825,-0.528,,0.528,-0.528,-1.0,False,0.14624277456647383,2022
long_put,2022-08-01,2022-08-05,4,20.01,2022-08-05,21.56,expiry,19.0,19.0,,,-0.3218,-0.596,,0.596,-0.596,-1.0,False,0.07746126936531716,2022
long_put,2022-08-08,2022-08-12,4,20.540000000000003,2022-08-12,21.6,expiry,19.0,19.0,,,-0.2561,-0.458,,0.458,-0.458,-1.0,False,0.05160662122687443,2022
long_put,2022-08-15,2022-08-19,4,21.78,2022-08-19,19.17,expiry,21.0,21.0,,,-0.3465,-0.592,,0.592,1.2379999999999982,2.091216216216213,True,-0.11983471074380159,2022
long_put,2022-08-22,2022-08-26,4,17.04,2022-08-26,15.98,expiry,16.0,16.0,,,-0.3038,-0.524,,0.524,-0.5040000000000004,-0.9618320610687031,False,-0.062206572769953006,2022
long_put,2022-08-29,2022-09-02,4,15.05,2022-09-02,12.86,expiry,14.0,14.0,,,-0.2842,-0.434,,0.434,0.7060000000000006,1.6267281105990798,True,-0.14551495016611304,2022
long_put,2022-09-06,2022-09-16,10,12.42,2022-09-16,12.06,expiry,11.0,11.0,,,-0.2599,-0.516,,0.516,-0.516,-1.0,False,-0.02898550724637672,2022
long_put,2022-09-19,2022-09-23,4,12.26,2022-09-23,10.03,expiry,11.0,11.0,,,-0.2256,-0.288,,0.288,0.6820000000000006,2.368055555555558,True,-0.18189233278955963,2022
long_put,2022-09-26,2022-09-30,4,9.55,2022-09-30,8.860000000000001,expiry,9.0,9.0,,,-0.3299,-0.388,,0.388,-0.24800000000000122,-0.6391752577319619,False,-0.07225130890052345,2022
long_put,2022-10-03,2022-10-07,4,9.7,2022-10-07,9.21,expiry,9.0,9.0,,,-0.2772,-0.266,,0.266,-0.266,-1.0,False,-0.050515463917525594,2022
long_put,2022-10-10,2022-10-14,4,8.280000000000001,2022-10-14,6.930000000000001,expiry,8.0,8.0,,,-0.3896,-0.478,,0.478,0.5919999999999994,1.2384937238493712,True,-0.16304347826086962,2022
long_put,2022-10-17,2022-10-21,4,7.33,2022-10-21,8.58,expiry,7.0,7.0,,,-0.3556,-0.318,,0.318,-0.318,-1.0,False,0.17053206002728505,2022
long_put,2022-10-24,2022-10-28,4,8.68,2022-10-28,9.5,expiry,8.0,8.0,,,-0.2742,-0.258,,0.258,-0.258,-1.0,False,0.09447004608294929,2022
long_put,2022-10-31,2022-11-04,4,8.92,2022-11-04,8.99,expiry,8.0,8.0,,,-0.2314,-0.228,,0.228,-0.228,-1.0,False,0.007847533632286963,2022
long_put,2022-11-07,2022-11-11,4,9.59,2022-11-11,13.22,expiry,9.0,9.0,,,-0.3173,-0.358,,0.358,-0.358,-1.0,False,0.37851929092805014,2022
long_put,2022-11-14,2022-11-18,4,12.77,2022-11-18,12.49,expiry,12.0,12.0,,,-0.3002,-0.368,,0.368,-0.368,-1.0,False,-0.02192638997650742,2022
long_put,2022-11-21,2022-11-25,4,11.89,2022-11-25,12.86,expiry,11.0,11.0,,,-0.1952,-0.138,,0.138,-0.138,-1.0,False,0.08158116063919252,2022
long_put,2022-11-28,2022-12-02,4,11.84,2022-12-02,13.03,expiry,11.0,11.0,,,-0.2548,-0.248,,0.248,-0.248,-1.0,False,0.1005067567567568,2022
long_put,2022-12-05,2022-12-09,4,12.59,2022-12-09,12.32,expiry,12.0,12.0,,,-0.3093,-0.296,,0.296,-0.296,-1.0,False,-0.02144559173947569,2022
