date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2022-01-03,101396.45229268735,3298.4523360795306,1300,72.05,71.0,68.0,3431.999981403351,7864.999938011169
2022-01-04,101324.9524011678,3298.4523360795306,1300,71.02,71.0,68.0,2619.500058889389,8320.000123977661
2022-01-05,98893.95284090107,3298.4523360795306,1300,63.95,71.0,68.0,344.4999910891056,12805.000495910645
2022-01-06,100434.45258422857,3298.4523360795306,1300,65.51,71.0,68.0,116.9999998062849,12090.000247955322
2022-01-07,96703.45233607953,3298.4523360795306,1300,59.6,,68.0,0.0,15925.0
2022-01-10,96830.85271042427,3412.8523379101384,1300,59.93,71.0,68.0,188.4999994188547,15697.500371932983
2022-01-11,97974.85245646378,3412.8523379101384,1300,63.32,71.0,68.0,299.0000054240227,12545.000123977661
2022-01-12,98403.85221722563,3412.8523379101384,1300,64.5,71.0,68.0,201.49999670684338,11342.499876022339
2022-01-13,96628.94553018801,3412.8523379101384,1300,60.19,71.0,68.0,13.406311811489552,14982.499504089355
2022-01-14,98650.85258586545,3412.8523379101384,1300,64.46,,68.0,0.0,11440.000247955322
2022-01-18,95190.31746021798,3637.8173349811664,1300,55.86,71.0,68.0,110.49999874085188,19045.00012397766
2022-01-19,93077.81758351764,3637.8173349811664,1300,50.77,71.0,68.0,25.999999418854713,23465.000247955322
2022-01-20,91700.17213663484,3637.8173349811664,1300,45.95,71.0,68.0,12.645446301665334,28340.000247955322
2022-01-21,92226.31683907053,3637.8173349811664,1300,43.62,,68.0,0.0,31882.499504089355
2022-01-24,93788.72208688007,3666.222334157393,1300,45.44,71.0,68.0,84.49999932199717,31134.999752044678
2022-01-25,92065.6478854779,3666.222334157393,1300,40.12,71.0,68.0,26.57395276885179,36269.999504089355
2022-01-26,92795.55336239733,3666.222334157393,1300,42.03,71.0,68.0,24.669219715382457,34515.00024795532
2022-01-27,91962.22283006803,3666.222334157393,1300,36.32,71.0,68.0,4.13870191841442e-143,41080.000495910645
2022-01-28,92599.2225821127,3666.222334157393,1300,38.36,,68.0,0.0,39065.00024795532
2022-01-31,92252.92700054136,3664.71906612467,1300,44.68,71.0,68.0,13.292561493961774,30517.500495910645
2022-02-01,92363.65658147706,3664.71906612467,1300,45.86,71.0,68.0,39.06198873697227,29119.999504089355
2022-02-02,92305.8678586933,3664.71906612467,1300,49.28,71.0,68.0,25.351455386696507,24602.500247955322
2022-02-03,92487.21807430338,3664.71906612467,1300,42.65,71.0,68.0,9.506052467031652e-83,33377.49900817871
2022-02-04,92032.21906612467,3664.71906612467,1300,43.35,,68.0,0.0,32012.5
2022-02-07,92386.33956192198,3680.839065575488,1300,43.4,71.0,68.0,19.499999564141035,32305.000495910645
2022-02-08,91997.04402085864,3680.839065575488,1300,46.52,71.0,68.0,12.29529267217405,27852.500247955322
2022-02-09,92243.33956148614,3680.839065575488,1300,51.15,71.0,68.0,1.3500254141231524e-16,22067.500495910645
2022-02-10,92392.83980944146,3680.839065575488,1300,46.34,71.0,68.0,5.958923279419895e-58,28470.000743865967
2022-02-11,91833.83856966483,3680.839065575488,1300,39.41,,68.0,0.0,36919.999504089355
2022-02-14,92402.65791360926,3826.567128610663,1300,39.55,71.0,68.0,51.409215001403865,37212.5
2022-02-15,92228.48427229375,3826.567128610663,1300,46.06,71.0,68.0,238.58285631691191,28762.5
2022-02-16,92188.9349803107,3826.567128610663,1300,46.04,71.0,68.0,24.631900344648233,28534.999752044678
2022-02-17,91936.60685186408,3826.567128610663,1300,40.81,71.0,68.0,205.46027674658168,35262.5
2022-02-18,92220.06712861067,92220.06712861067,0,39.54,,,0.0,0.0
2022-02-22,91676.73143150962,3773.2315991178716,1900,38.61,42.0,39.0,1320.499986410141,15864.99981880188
2022-02-23,89947.7314210341,3773.2315991178716,1900,35.87,42.0,39.0,218.4999968856573,18239.99981880188
2022-02-24,93434.23168858445,3773.2315991178716,1900,39.88,42.0,39.0,741.0000011324883,14630.00009059906
2022-02-25,95771.231780316,3773.2315991178716,1900,41.77,,39.0,0.0,12635.00018119812
2022-02-28,95010.37649642384,7154.376573433038,1900,41.01,42.0,39.0,3457.999986410141,13394.99990940094
2022-03-01,93357.37604003107,7154.376573433038,1900,36.56,42.0,39.0,693.4999898076057,17432.49945640564
2022-03-02,95694.37636279022,7154.376573433038,1900,40.14,42.0,39.0,1453.5000294446945,13727.49981880188
2022-03-03,94221.87675250774,7154.376573433038,1900,37.5,42.0,39.0,142.50000212341547,15960.00018119812
2022-03-04,91827.8771170274,7154.376573433038,1900,34.74,,39.0,0.0,18667.50054359436
