date,equity
2022-01-03,103907.81999999999
2022-01-04,102422.56
2022-01-05,92227.62000000001
2022-01-06,94477.14000000001
2022-01-07,85954.92
2022-01-10,86430.78
2022-01-11,91319.16
2022-01-12,93020.72
2022-01-13,86805.7
2022-01-14,92963.04
2022-01-18,80561.84
2022-01-19,73222.06000000001
2022-01-20,66271.62000000001
2022-01-21,62911.759999999995
2022-01-24,65536.2
2022-01-25,57864.759999999995
2022-01-26,60618.98
2022-01-27,52385.16
2022-01-28,55326.840000000004
2022-01-31,64440.28
2022-02-01,66141.84
2022-02-02,71073.48
2022-02-03,61513.02
2022-02-04,62522.420000000006
2022-02-07,62594.52
2022-02-08,67093.56000000001
2022-02-09,73770.02
2022-02-10,66834.0
2022-02-11,56840.939999999995
2022-02-14,57042.82
2022-02-15,66430.24
2022-02-16,66401.4
2022-02-17,58859.740000000005
2022-02-18,57028.4
2022-02-22,55687.340000000004
2022-02-23,51736.259999999995
2022-02-24,57518.68000000001
2022-02-25,60244.060000000005
2022-02-28,59148.14
2022-03-01,52731.240000000005
2022-03-02,57893.6
2022-03-03,54086.72
2022-03-04,50106.8
2022-03-07,42565.14000000001
2022-03-08,44886.76
2022-03-09,50452.88
2022-03-10,47179.54
2022-03-11,44136.920000000006
2022-03-14,40128.16
2022-03-15,45449.14000000001
2022-03-16,52486.1
2022-03-17,53351.3
2022-03-18,56552.54
2022-03-21,56134.36
2022-03-22,57158.18000000001
2022-03-23,52817.759999999995
2022-03-24,60864.12
2022-03-25,60503.62
2022-03-28,61671.64
2022-03-29,65925.54000000001
2022-03-30,59580.740000000005
2022-03-31,55571.98
2022-04-01,52255.38
2022-04-04,54807.72
2022-04-05,47280.48
2022-04-06,43920.62
2022-04-07,43992.72
2022-04-08,40748.22
2022-04-11,38167.04
2022-04-12,37792.12
2022-04-13,40474.24
2022-04-14,36926.920000000006
2022-04-18,38960.14000000001
2022-04-19,41512.48
2022-04-20,41036.62
2022-04-21,37734.44
2022-04-22,35210.94
2022-04-25,37085.54
2022-04-26,32240.420000000002
2022-04-27,31577.100000000002
2022-04-28,36970.18
2022-04-29,32052.96
2022-05-02,35355.14000000001
2022-05-03,36220.340000000004
2022-05-04,40445.4
2022-05-05,34590.880000000005
2022-05-06,33610.32
2022-05-09,28347.02
2022-05-10,30466.760000000002
2022-05-11,27597.18
2022-05-12,28087.46
2022-05-13,32528.820000000003
2022-05-16,30827.260000000002
2022-05-17,35513.76
2022-05-18,30019.739999999998
2022-05-19,29543.88
2022-05-20,29342.0
2022-05-23,29760.18
2022-05-24,27525.079999999998
2022-05-25,29168.96
2022-05-26,32528.820000000003
2022-05-27,36479.9
2022-05-31,35845.420000000006
2022-06-01,34143.86
2022-06-02,37878.64000000001
2022-06-03,34461.1
2022-06-06,34461.1
2022-06-07,35456.08
2022-06-08,33047.94
2022-06-09,30351.4
2022-06-10,27049.22
2022-06-13,22362.72
2022-06-14,22766.48
2022-06-15,23992.18
2022-06-16,19507.56
2022-06-17,19738.280000000002
2022-06-21,21367.74
2022-06-22,20589.06
2022-06-23,20185.300000000003
2022-06-24,22853.0
2022-06-27,22780.9
2022-06-28,20978.4
2022-06-29,19550.820000000003
2022-06-30,18873.08
2022-07-01,16738.920000000002
2022-07-05,17142.680000000004
2022-07-06,17459.920000000002
2022-07-07,19781.54
2022-07-08,20069.940000000002
2022-07-11,18599.100000000002
2022-07-12,18728.88
2022-07-13,19161.48
2022-07-14,20315.08
2022-07-15,21829.180000000004
2022-07-18,21483.100000000002
2022-07-19,24468.04
2022-07-20,26284.96
2022-07-21,27525.079999999998
2022-07-22,25419.760000000002
2022-07-25,24943.9
2022-07-26,23660.52
2022-07-27,27034.8
2022-07-28,27943.260000000002
2022-07-29,28621.0
2022-08-01,28851.72
2022-08-02,28707.52
2022-08-03,31101.239999999998
2022-08-04,31894.34
2022-08-05,31072.4
2022-08-08,29587.140000000003
2022-08-09,25491.860000000004
2022-08-10,28808.46
2022-08-11,28520.06
2022-08-12,31158.920000000002
2022-08-15,31404.06
2022-08-16,30423.5
2022-08-17,28145.140000000003
2022-08-18,30178.360000000004
2022-08-19,27626.02
2022-08-22,24496.88
2022-08-23,25016.0
2022-08-24,25088.100000000002
2022-08-25,27885.579999999998
2022-08-26,23026.04
2022-08-29,21656.14
2022-08-30,20920.72
2022-08-31,20214.14
2022-09-01,19060.54
2022-09-02,18498.16
2022-09-06,17906.940000000002
2022-09-07,18772.14
2022-09-08,19738.280000000002
2022-09-09,21165.86
2022-09-12,21338.9
2022-09-13,17402.24
2022-09-14,18022.300000000003
2022-09-15,17157.100000000002
2022-09-16,17402.24
2022-09-19,17719.48
2022-09-20,16868.7
2022-09-21,16421.680000000004
2022-09-22,15037.36
2022-09-23,14374.040000000003
2022-09-26,13753.98
2022-09-27,14186.580000000002
2022-09-28,14720.12
2022-09-29,13335.800000000001
2022-09-30,12658.060000000001
2022-10-03,14013.540000000003
2022-10-04,15960.240000000002
2022-10-05,16421.680000000004
2022-10-06,16090.020000000002
2022-10-07,13220.44
2022-10-10,11864.960000000003
2022-10-11,10869.980000000001
2022-10-12,10552.74
2022-10-13,11490.04
2022-10-14,9975.94
2022-10-17,10624.840000000002
2022-10-18,10711.36
2022-10-19,10942.080000000002
2022-10-20,11158.380000000001
2022-10-21,12412.92
2022-10-24,12557.12
2022-10-25,13379.060000000001
2022-10-26,12975.300000000001
2022-10-27,12297.560000000001
2022-10-28,13739.560000000001
2022-10-31,12831.100000000002
2022-11-01,13148.34
2022-11-02,11864.960000000003
2022-11-03,11389.1
2022-11-04,13018.560000000001
2022-11-07,13854.92
2022-11-08,14676.86
2022-11-09,13292.540000000003
2022-11-10,17474.34
2022-11-11,19031.7
2022-11-14,18411.64
2022-11-15,20055.52
2022-11-16,17445.5
2022-11-17,17950.2
2022-11-18,18036.72
2022-11-21,17113.84
2022-11-22,18656.780000000002
2022-11-23,19248.0
2022-11-25,18527.0
2022-11-28,17085.0
2022-11-29,16926.38
2022-11-30,19983.420000000002
2022-12-01,19435.460000000003
2022-12-02,18800.98
2022-12-05,18166.5
2022-12-06,16911.960000000003
2022-12-07,16897.54
2022-12-08,18267.440000000002
2022-12-09,17762.74
2022-12-12,18757.72
2022-12-13,19680.600000000002
2022-12-14,18714.460000000003
2022-12-15,16421.680000000004
2022-12-16,16017.92
2022-12-19,15412.28
2022-12-20,15051.78
2022-12-21,16118.86
2022-12-22,14100.060000000001
2022-12-23,14100.060000000001
2022-12-27,13350.220000000001
2022-12-28,12787.84
2022-12-29,14013.540000000003
2022-12-30,13970.28
2023-01-03,13494.42
2023-01-04,14604.76
2023-01-05,13797.240000000002
2023-01-06,15715.100000000002
2023-01-09,16652.4
2023-01-10,17286.88
2023-01-11,17921.36
2023-01-12,18527.0
2023-01-13,18700.04
2023-01-17,18858.66
2023-01-18,18498.16
2023-01-19,16955.22
2023-01-20,18527.0
2023-01-23,21295.64
2023-01-24,20790.940000000002
2023-01-25,20978.4
2023-01-26,22016.64
2023-01-27,21584.04
2023-01-30,19868.06
2023-01-31,20992.820000000003
2023-02-01,24266.16
2023-02-02,25895.62
2023-02-03,24395.940000000002
2023-02-06,23184.66
2023-02-07,25419.760000000002
2023-02-08,23747.04
2023-02-09,23920.079999999998
2023-02-10,22737.64
2023-02-13,23747.04
2023-02-14,25030.420000000002
2023-02-15,25362.079999999998
2023-02-16,23487.480000000003
2023-02-17,22348.300000000003
2023-02-21,20185.300000000003
2023-02-22,19896.9
2023-02-23,21800.34
2023-02-24,20603.48
2023-02-27,20963.98
2023-02-28,21137.02
2023-03-01,21194.7
2023-03-02,21670.56
2023-03-03,22636.7
2023-03-06,21872.440000000002
2023-03-07,21180.280000000002
2023-03-08,22853.0
2023-03-09,21483.100000000002
2023-03-10,20257.4
2023-03-13,20228.56
2023-03-14,22016.64
2023-03-15,21209.12
2023-03-16,23689.360000000004
2023-03-17,23242.34
2023-03-20,23977.760000000002
2023-03-21,24035.440000000002
2023-03-22,23386.54
2023-03-23,25246.72
2023-03-24,23891.239999999998
2023-03-27,23040.460000000003
2023-03-28,22521.34
2023-03-29,24713.18
2023-03-30,25895.62
2023-03-31,26371.480000000003
2023-04-03,25664.9
2023-04-04,24208.480000000003
2023-04-05,22939.52
2023-04-06,22593.440000000002
2023-04-10,23732.62
2023-04-11,23386.54
2023-04-12,22074.320000000003
2023-04-13,22622.280000000002
2023-04-14,22478.08
2023-04-17,22478.08
2023-04-18,22766.48
2023-04-19,22002.22
2023-04-20,21958.960000000003
2023-04-21,21425.420000000002
2023-04-24,21151.440000000002
2023-04-25,19017.280000000002
2023-04-26,19320.100000000002
2023-04-27,19521.98
2023-04-28,20574.64
2023-05-01,21122.600000000002
2023-05-02,20675.58
2023-05-03,19954.58
2023-05-04,19608.5
2023-05-05,20906.300000000003
2023-05-08,21151.440000000002
2023-05-09,20084.36
2023-05-10,20661.16
2023-05-11,20271.820000000003
2023-05-12,20214.14
2023-05-15,21829.180000000004
2023-05-16,21699.4
2023-05-17,23328.860000000004
2023-05-18,25506.280000000002
2023-05-19,25059.260000000002
2023-05-22,25304.4
2023-05-23,24367.100000000002
2023-05-24,23098.140000000003
