date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2022-01-03,103058.65002002715,5884.65,1400,72.05,71.0,,3695.9999799728394,0.0
2022-01-04,102491.64993658065,5884.65,1400,71.02,71.0,,2821.000063419342,0.0
2022-01-05,95043.65000959634,5884.65,1400,63.95,71.0,,370.9999904036522,0.0
2022-01-06,97472.65000020861,5884.65,1400,65.51,71.0,,125.99999979138374,0.0
2022-01-07,89324.65,5884.65,1400,59.6,,,0.0,0.0
2022-01-10,90120.65000278279,443.15000211223924,1500,59.93,71.0,,217.49999932944775,0.0
2022-01-11,95078.14999585375,443.15000211223924,1500,63.32,71.0,,345.0000062584877,0.0
2022-01-12,96960.65000591203,443.15000211223924,1500,64.5,71.0,,232.4999962002039,0.0
2022-01-13,90712.68118079129,443.15000211223924,1500,60.19,71.0,,15.468821320949482,0.0
2022-01-14,97133.15000211222,443.15000211223924,1500,64.46,,,0.0,0.0
2022-01-18,84365.22500018551,702.7249987326559,1500,55.86,71.0,,127.49999854713678,0.0
2022-01-19,76827.7249994032,702.7249987326559,1500,50.77,71.0,,29.999999329447746,0.0
2022-01-20,69613.1340991538,702.7249987326559,1500,45.95,71.0,,14.590899578844615,0.0
2022-01-21,66132.72499873265,702.7249987326559,1500,43.62,,,0.0,0.0
2022-01-24,68797.99999856445,735.4999977821481,1500,45.44,71.0,,97.49999921768904,0.0
2022-01-25,60884.83774458731,735.4999977821481,1500,40.12,71.0,,30.66225319482899,0.0
2022-01-26,63752.03551349517,735.4999977821481,1500,42.03,71.0,,28.464484286979758,0.0
2022-01-27,55215.49999778215,735.4999977821481,1500,36.32,71.0,,4.775425290478177e-143,0.0
2022-01-28,58275.49999778215,735.4999977821481,1500,38.36,,,0.0,0.0
2022-01-31,67738.42788678982,733.7654577443909,1500,44.68,71.0,,15.337570954571278,0.0
2022-02-01,69478.69393227865,733.7654577443909,1500,45.86,71.0,,45.071525465737224,0.0
2022-02-02,74624.51377845205,733.7654577443909,1500,49.28,71.0,,29.251679292342125,0.0
2022-02-03,64708.76545774439,733.7654577443909,1500,42.65,71.0,,1.0968522077344214e-82,0.0
2022-02-04,65758.76545774439,733.7654577443909,1500,43.35,,,0.0,0.0
2022-02-07,65829.86545761363,752.365457110719,1500,43.4,71.0,,22.49999949708581,0.0
2022-02-08,70518.17858095052,752.365457110719,1500,46.52,71.0,,14.186876160200827,0.0
2022-02-09,77477.36545711072,752.365457110719,1500,51.15,71.0,,1.5577216316805605e-16,0.0
2022-02-10,70262.36545711072,752.365457110719,1500,46.34,71.0,,6.875680707022955e-58,0.0
2022-02-11,59867.36545711071,752.365457110719,1500,39.41,,,0.0,0.0
2022-02-14,60186.194897149675,920.513222151306,1500,39.55,71.0,,59.31832500161985,0.0
2022-02-15,69735.2253110164,920.513222151306,1500,46.06,71.0,,275.28791113489837,0.0
2022-02-16,69952.09179867672,920.513222151306,1500,46.04,71.0,,28.421423474594114,0.0
2022-02-17,61898.4436720591,920.513222151306,1500,40.81,71.0,,237.06955009220965,0.0
2022-02-18,60230.513222151305,920.513222151306,1500,39.54,,,0.0,0.0
2022-02-22,58896.499840234384,995.7880920021297,1500,38.61,71.0,,14.288251767739776,0.0
2022-02-23,54785.963232605114,995.7880920021297,1500,35.87,71.0,,14.824859397005952,0.0
2022-02-24,60355.54726152905,995.7880920021297,1500,39.88,71.0,,460.2408304730865,0.0
2022-02-25,63650.788092002134,995.7880920021297,1500,41.77,,,0.0,0.0
2022-02-28,62515.21309168529,1000.2130916852938,1500,41.01,71.0,,2.1724391560453495e-23,0.0
2022-03-01,55840.21309168529,1000.2130916852938,1500,36.56,71.0,,1.9728654943453817e-46,0.0
2022-03-02,61134.176018116836,1000.2130916852938,1500,40.14,71.0,,76.03707356845312,0.0
2022-03-03,57236.20441571248,1000.2130916852938,1500,37.5,71.0,,14.00867597281638,0.0
2022-03-04,53110.21309168529,1000.2130916852938,1500,34.74,,,0.0,0.0
2022-03-07,47018.56312776994,3428.563132240294,1500,29.51,35.0,,675.0000044703484,0.0
2022-03-08,49261.06313581657,3428.563132240294,1500,31.12,35.0,,847.4999964237213,0.0
2022-03-09,53536.06315012168,3428.563132240294,1500,34.98,35.0,,2362.4999821186066,0.0
2022-03-10,52186.06312374663,3428.563132240294,1500,32.71,35.0,,307.5000084936619,0.0
2022-03-11,49328.56313224029,3428.563132240294,1500,30.6,,,0.0,0.0
2022-03-14,45323.583131601335,1091.5831268329607,1600,27.82,35.0,,279.9999952316284,0.0
2022-03-15,50595.583138277056,1091.5831268329607,1600,31.51,35.0,,911.9999885559082,0.0
2022-03-16,55667.58317260933,1091.5831268329607,1600,36.39,35.0,,3647.999954223633,0.0
2022-03-17,56603.58300476265,1091.5831268329607,1600,36.99,35.0,,3672.0001220703125,0.0
2022-03-18,57083.583126832964,57083.583126832964,0,39.21,,,0.0,0.0
2022-03-21,58092.333262373926,1752.333194424631,1500,38.92,40.0,,2039.999932050705,0.0
2022-03-22,59157.333172966966,1752.333194424631,1500,39.63,40.0,,2040.0000214576721,0.0
2022-03-23,56254.8331774373,1752.333194424631,1500,36.62,40.0,,427.50001698732376,0.0
2022-03-24,61317.33318011952,1752.333194424631,1500,42.2,40.0,,3735.0000143051147,0.0
2022-03-25,61744.83319442463,61744.83319442463,0,41.95,,,0.0,0.0
2022-03-28,62054.02315957737,4752.023219658853,1400,42.76,42.5,,2562.000060081482,0.0
2022-03-29,63601.02328641605,4752.023219658853,1400,45.71,42.5,,5144.999933242798,0.0
2022-03-30,61417.023249699596,4752.023219658853,1400,41.31,42.5,,1168.999969959259,0.0
2022-03-31,58610.0232215364,4752.023219658853,1400,38.53,42.5,,83.99999812245369,0.0
2022-04-01,55474.02321965885,4752.023219658853,1400,36.23,,,0.0,0.0
2022-04-04,58010.47321160776,1302.9732120547906,1500,38.0,42.5,,292.50000044703484,0.0
2022-04-05,50352.973211943034,1302.9732120547906,1500,32.78,42.5,,120.00000011175871,0.0
2022-04-06,46949.85989397228,1302.9732120547906,1500,30.45,42.5,,28.113318082515132,0.0
2022-04-07,47052.97321205479,1302.9732120547906,1500,30.5,42.5,,4.5966378057591863e-35,0.0
2022-04-08,43677.97321205479,1302.9732120547906,1500,28.25,,,0.0,0.0
2022-04-11,40951.813853260865,1307.3982117379546,1500,26.46,42.5,,45.5843584770915,0.0
2022-04-12,40584.89821224087,1307.3982117379546,1500,26.2,42.5,,22.49999949708581,0.0
2022-04-13,43382.329358407726,1307.3982117379546,1500,28.06,42.5,,15.068853330228713,0.0
