date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2022-01-03,102072.7772740907,542.7773360795309,1300,72.05,,68.0,0.0,7864.999938011169
2022-01-04,101188.77746005719,542.7773360795309,1300,71.02,,68.0,0.0,8320.000123977661
2022-01-05,96482.77783199017,542.7773360795309,1300,63.95,,68.0,0.0,12805.000495910645
2022-01-06,97795.77758403485,542.7773360795309,1300,65.51,,68.0,0.0,12090.000247955322
2022-01-07,93947.77733607953,542.7773360795309,1300,59.6,,68.0,0.0,15925.0
2022-01-10,94149.27770801251,542.7773360795309,1300,59.93,,68.0,0.0,15697.500371932983
2022-01-11,95403.77746005719,542.7773360795309,1300,63.32,,68.0,0.0,12545.000123977661
2022-01-12,95735.27721210186,542.7773360795309,1300,64.5,,68.0,0.0,11342.499876022339
2022-01-13,93772.27684016888,542.7773360795309,1300,60.19,,68.0,0.0,14982.499504089355
2022-01-14,95780.77758403483,542.7773360795309,1300,64.46,,68.0,0.0,11440.000247955322
2022-01-18,92205.77746005719,542.7773360795309,1300,55.86,,68.0,0.0,19045.00012397766
2022-01-19,90008.77758403485,542.7773360795309,1300,50.77,,68.0,0.0,23465.000247955322
2022-01-20,88617.77758403486,542.7773360795309,1300,45.95,,68.0,0.0,28340.000247955322
2022-01-21,89131.2768401689,542.7773360795309,1300,43.62,,68.0,0.0,31882.499504089355
2022-01-24,90749.77708812422,542.7773360795309,1300,45.44,,68.0,0.0,31134.999752044678
2022-01-25,88968.7768401689,542.7773360795309,1300,40.12,,68.0,0.0,36269.999504089355
2022-01-26,89696.77758403486,542.7773360795309,1300,42.03,,68.0,0.0,34515.00024795532
2022-01-27,88838.77783199018,542.7773360795309,1300,36.32,,68.0,0.0,41080.000495910645
2022-01-28,89475.77758403486,542.7773360795309,1300,38.36,,68.0,0.0,39065.00024795532
2022-01-31,89144.27783199018,542.7773360795309,1300,44.68,,68.0,0.0,30517.500495910645
2022-02-01,89280.7768401689,542.7773360795309,1300,45.86,,68.0,0.0,29119.999504089355
2022-02-02,89209.27758403486,542.7773360795309,1300,49.28,,68.0,0.0,24602.500247955322
2022-02-03,89365.27634425825,542.7773360795309,1300,42.65,,68.0,0.0,33377.49900817871
2022-02-04,88910.27733607954,542.7773360795309,1300,43.35,,68.0,0.0,32012.5
2022-02-07,89267.77783199018,542.7773360795309,1300,43.4,,68.0,0.0,32305.000495910645
2022-02-08,88871.27758403486,542.7773360795309,1300,46.52,,68.0,0.0,27852.500247955322
2022-02-09,89105.27783199017,542.7773360795309,1300,51.15,,68.0,0.0,22067.500495910645
2022-02-10,89254.7780799455,542.7773360795309,1300,46.34,,68.0,0.0,28470.000743865967
2022-02-11,88695.77684016888,542.7773360795309,1300,39.41,,68.0,0.0,36919.999504089355
2022-02-14,89170.27733607953,542.7773360795309,1300,39.55,,68.0,0.0,37212.5
2022-02-15,89183.27733607954,542.7773360795309,1300,46.06,,68.0,0.0,28762.5
2022-02-16,88929.77708812422,542.7773360795309,1300,46.04,,68.0,0.0,28534.999752044678
2022-02-17,88858.27733607954,542.7773360795309,1300,40.81,,68.0,0.0,35262.5
2022-02-18,88936.27733607953,88936.27733607953,0,39.54,,,0.0,0.0
2022-02-22,86741.50820929676,2213.5083809581392,1800,38.61,,39.0,0.0,15029.999828338623
2022-02-23,84059.50820929675,2213.5083809581392,1800,35.87,,39.0,0.0,17279.999828338623
2022-02-24,87857.50846678883,2213.5083809581392,1800,39.88,,39.0,0.0,13860.000085830688
2022-02-25,89369.50855261952,2213.5083809581392,1800,41.77,,39.0,0.0,11970.000171661377
2022-02-28,88721.50829512745,2213.5083809581392,1800,41.01,,39.0,0.0,12689.999914169312
2022-03-01,84536.50786597401,2213.5083809581392,1800,36.56,,39.0,0.0,16514.99948501587
2022-03-02,87470.50820929676,2213.5083809581392,1800,40.14,,39.0,0.0,13004.999828338623
2022-03-03,84833.50855261952,2213.5083809581392,1800,37.5,,39.0,0.0,15120.000171661377
2022-03-04,82430.50889594227,2213.5083809581392,1800,34.74,,39.0,0.0,17685.00051498413
2022-03-07,78551.50855261952,2213.5083809581392,1800,29.51,,39.0,0.0,23220.000171661377
2022-03-08,79379.50838095814,2213.5083809581392,1800,31.12,,39.0,0.0,21150.0
2022-03-09,82142.5087242809,2213.5083809581392,1800,34.98,,39.0,0.0,16965.000343322754
2022-03-10,79721.50820929676,2213.5083809581392,1800,32.71,,39.0,0.0,18629.999828338623
2022-03-11,78308.5087242809,2213.5083809581392,1800,30.6,,39.0,0.0,21015.000343322754
