cfg,start,cagr,final,dd
2 strikes (as specified),2022-01-03,0.043915547859394666,122993.6701967351,-0.6281866800114861
6 listed strikes,2022-01-03,0.17571143746770335,212150.32198338988,-0.7585187328640752
10% fixed OTM,2022-01-03,0.23227490695874753,260071.83165971853,-0.6281616071129537
0.20 delta,2022-01-03,0.15748963540528815,196305.06589099506,-0.5867745322792046
2 strikes (as specified),2022-01-10,0.04612120666861719,123537.55176750966,-0.6153451448565836
6 listed strikes,2022-01-10,0.23191107692169988,260585.53718133934,-0.7081693051403375
10% fixed OTM,2022-01-10,0.2731975641670721,303424.75596971024,-0.5871647200371513
0.20 delta,2022-01-10,0.1551198851017317,197606.38023820182,-0.5946751303474807
2 strikes (as specified),2022-01-24,0.042972920937878634,123025.1570796601,-0.6513220636879319
6 listed strikes,2022-01-24,0.2426673618808146,278203.5505727822,-0.7290305144355924
10% fixed OTM,2022-01-24,0.2913619882666607,321050.0505002006,-0.6011435979558502
0.20 delta,2022-01-24,0.12849447262666036,182583.25279055673,-0.6342361644433474
2 strikes (as specified),2022-01-31,0.04565320471688317,123387.2968608684,-0.6441798560271821
6 listed strikes,2022-01-31,0.22797211972702258,255963.511108615,-0.7241771134568484
10% fixed OTM,2022-01-31,0.2803826808231027,306488.9771732275,-0.6035438981169492
0.20 delta,2022-01-31,0.12448458437327226,175501.94518787405,-0.624529611583104
2 strikes (as specified),2022-02-07,0.05191376637981526,123555.18480624148,-0.6176440095013991
6 listed strikes,2022-02-07,0.2339483671929259,248608.95298392445,-0.7173227553244121
10% fixed OTM,2022-02-07,0.25198038816431323,264441.9495441403,-0.6122278242185748
0.20 delta,2022-02-07,0.17077033563212107,197569.52557986262,-0.5762854452021227
2 strikes (as specified),2022-02-14,0.0618954006974779,128450.46560282828,-0.6106865497596025
6 listed strikes,2022-02-14,0.23310253213664334,246129.14929761036,-0.7281853196688368
10% fixed OTM,2022-02-14,0.27744831420299354,288137.8481623205,-0.5942689252468957
0.20 delta,2022-02-14,0.17193375547381762,197557.44486989174,-0.5716595359468633
2 strikes (as specified),2022-02-28,0.05073272286614383,123510.54144599731,-0.616067538210991
6 listed strikes,2022-02-28,0.23150729239351575,246450.9024868368,-0.7204353760491162
10% fixed OTM,2022-02-28,0.27397276788528924,285098.6115829664,-0.5925355999347504
0.20 delta,2022-02-28,0.15884185189099487,189326.12884251183,-0.5736004983375544
2 strikes (as specified),2022-03-07,0.04701844351892648,118267.84746168091,-0.6594507201987577
6 listed strikes,2022-03-07,0.2559163249638816,253055.44427327023,-0.7576223949588966
10% fixed OTM,2022-03-07,0.2869159225410882,285119.95732413785,-0.6396301449661352
0.20 delta,2022-03-07,0.14712882761018653,175469.518756386,-0.6253120662786574
2 strikes (as specified),2022-03-14,0.017697230336033654,106802.4719959337,-0.6923211417937276
6 listed strikes,2022-03-14,0.20626574145733656,217060.97894385929,-0.7887994680154381
10% fixed OTM,2022-03-14,0.24899858361289007,255835.76034052187,-0.6752078588196304
0.20 delta,2022-03-14,0.12999363263545738,166311.0351015971,-0.6701447992382372
2 strikes (as specified),2022-03-21,0.049270748656541796,123570.2190083384,-0.6217978069655066
6 listed strikes,2022-03-21,0.2464927175441991,259904.92393367938,-0.7187133907785663
10% fixed OTM,2022-03-21,0.2931194600763922,303435.5711282703,-0.5954082438546577
0.20 delta,2022-03-21,0.16970686684874337,197497.14861991076,-0.58310724927
2 strikes (as specified),2022-03-28,0.0623939675804559,127798.20549802887,-0.5953590340008026
6 listed strikes,2022-03-28,0.24054098924617584,251519.03145395717,-0.7110771850857086
10% fixed OTM,2022-03-28,0.27828702441575714,285040.3528336431,-0.595659701870039
0.20 delta,2022-03-28,0.1725748017312363,197610.45045625477,-0.5718080366606646
2 strikes (as specified),2022-04-04,0.061795452347387814,128485.9086521513,-0.5958274412262317
6 listed strikes,2022-04-04,0.24768281156332073,255885.99482763882,-0.7042040206976217
10% fixed OTM,2022-04-04,0.2987968237123455,302627.1387616335,-0.573860090206959
0.20 delta,2022-04-04,0.17480821259506096,197628.26003647325,-0.5607626089813652
2 strikes (as specified),2022-04-11,0.14075687935121484,170400.13220981392,-0.4943056448052512
6 listed strikes,2022-04-11,0.28019006736592855,278800.42883598147,-0.6830145888767316
10% fixed OTM,2022-04-11,0.3569875920067984,353462.94780987175,-0.5051250117601882
0.20 delta,2022-04-11,0.24758449189290999,247813.26245236048,-0.5475961166796416
2 strikes (as specified),2022-04-18,0.19993137691258345,217951.74760242912,-0.47863956358301474
6 listed strikes,2022-04-18,0.30484118570995555,313659.71416538,-0.6565539223020838
10% fixed OTM,2022-04-18,0.4399004185323483,470169.8595627786,-0.47287453155942316
0.20 delta,2022-04-18,0.2645233929699564,272492.3933702124,-0.5493735959003103
