date,act,qty,px,spot,cash,K,exp,dte,otm_pct,src,itm_at_write,sticky_write,itm
2022-01-03,BUY_SHARES,1300,69.34,69.34,9851.5,,,,,,,,
2022-01-03,BUY_PUT,13,7.154055895323437,69.34,542.7773360795309,68.0,2022-02-18,46.0,1.9325064897606048,,,,
2022-01-03,SELL_CALL,13,2.1262499999999998,69.34,3298.4523360795306,71.0,2022-01-07,4.0,2.394000576867604,print,0.0,0.0,
2022-01-07,CALL_EXPIRED,13,59.6,59.6,3298.4523360795306,71.0,,,,,,,
2022-01-10,SELL_CALL,13,0.09450000140815973,55.73,3412.8523379101384,71.0,2022-01-14,4.0,27.39996411268617,print_near,0.0,1.0,
2022-01-14,CALL_EXPIRED,13,64.46,64.46,3412.8523379101384,71.0,,,,,,,
2022-01-18,SELL_CALL,13,0.1795499977469444,59.52,3637.8173349811664,71.0,2022-01-21,3.0,19.287634408602145,print,0.0,1.0,
2022-01-21,CALL_EXPIRED,13,43.62,43.62,3637.8173349811664,71.0,,,,,,,
2022-01-24,SELL_CALL,13,0.028349999366328118,39.84,3666.222334157393,71.0,2022-01-28,4.0,78.21285140562247,print_near,0.0,1.0,
2022-01-28,CALL_EXPIRED,13,38.36,38.36,3666.222334157393,71.0,,,,,,,
2022-01-31,SELL_CALL,13,0.00534363997482854,40.93,3664.71906612467,71.0,2022-02-04,4.0,73.46689469826534,model,0.0,1.0,
2022-02-04,CALL_EXPIRED,13,43.35,43.35,3664.71906612467,71.0,,,,,,,
2022-02-07,SELL_CALL,13,0.01889999957755208,45.03,3680.839065575488,71.0,2022-02-11,4.0,57.67266266933156,print_near,0.0,1.0,
2022-02-11,CALL_EXPIRED,13,39.41,39.41,3680.839065575488,71.0,,,,,,,
2022-02-14,SELL_CALL,13,0.11859851002705794,41.01,3826.567128610663,71.0,2022-02-18,4.0,73.12850524262376,model,0.0,1.0,
2022-02-18,CALL_EXPIRED,13,39.54,39.54,3826.567128610663,71.0,,,,,,,
2022-02-18,PUT_EXERCISED,13,39.54,39.54,92220.06712861067,68.0,,,,,,,
2022-02-22,BUY_SHARES,1900,40.54,40.54,15184.567128610666,,,,,,,,
2022-02-22,BUY_PUT,19,7.627816086178547,40.54,679.3665648714268,39.0,2022-05-20,87.0,3.798717316230881,,,,
2022-02-22,SELL_CALL,19,1.6348500180244445,40.54,3773.2315991178716,42.0,2022-02-25,3.0,3.6013813517513587,print,0.0,0.0,
2022-02-25,CALL_EXPIRED,19,41.77,41.77,3773.2315991178716,42.0,,,,,,,
2022-02-28,SELL_CALL,19,1.7860499864816666,41.21,7154.376573433038,42.0,2022-03-04,4.0,1.91701043436059,print,0.0,1.0,
2022-03-04,CALL_EXPIRED,19,34.74,34.74,7154.376573433038,42.0,,,,,,,
2022-03-07,BUY_SHARES,100,33.38,33.38,3815.8765734330377,,,,,,,,
2022-03-07,ADD_PUT,1,10.675494279457723,,2727.3937063562958,39.0,2022-05-20,,,,,,
2022-03-07,SELL_CALL,20,0.1701000067591667,33.38,3054.593719874629,42.0,2022-03-11,4.0,25.823846614739356,print,0.0,1.0,
2022-03-11,CALL_EXPIRED,20,30.6,30.6,3054.593719874629,42.0,,,,,,,
2022-03-14,SELL_CALL,20,0.047250000704079864,29.46,3136.093721282789,42.0,2022-03-18,4.0,42.56619144602851,print_near,0.0,1.0,
2022-03-18,CALL_EXPIRED,20,39.21,39.21,3136.093721282789,42.0,,,,,,,
2022-03-21,SELL_CALL,20,0.633150015771389,38.01,4389.3937528255665,42.0,2022-03-25,4.0,10.49723756906078,print,0.0,1.0,
2022-03-25,CALL_EXPIRED,20,41.95,41.95,4389.3937528255665,42.0,,,,,,,
2022-03-28,SELL_CALL,20,1.4647499549388885,41.86,7305.893662703344,42.0,2022-04-01,4.0,0.33444816053511844,print,0.0,1.0,
2022-04-01,CALL_EXPIRED,20,36.23,36.23,7305.893662703344,42.0,,,,,,,
2022-04-04,BUY_SHARES,100,37.79,37.79,3526.3936627033436,,,,,,,,
2022-04-04,ADD_PUT,1,5.266537134446189,,2989.083528703277,39.0,2022-05-20,,,,,,
2022-04-04,SELL_CALL,21,0.29295000225305556,37.79,3590.6285334346935,42.0,2022-04-08,4.0,11.140513363323635,print,0.0,1.0,
2022-04-08,CALL_EXPIRED,21,28.25,28.25,3590.6285334346935,42.0,,,,,,,
2022-04-11,SELL_CALL,21,0.00944999978877604,27.21,3596.823532991123,42.0,2022-04-14,3.0,54.35501653803748,print_near,0.0,1.0,
2022-04-14,CALL_EXPIRED,21,25.6,25.6,3596.823532991123,42.0,,,,,,,
