cfg,start,cagr,final,dd
2 strikes STICKY (spec),2022-01-03,0.043915547859394666,122993.6701967351,-0.6281866800114861
2 strikes RESET (new rule),2022-01-03,-0.2566347649654235,26752.139523336406,-0.8493870840033639
6 strikes RESET,2022-01-03,-0.0010014887510999548,102056.46113215256,-0.6880792436931908
10% OTM RESET,2022-01-03,-0.06868424034308418,73912.75275554566,-0.7272306723617572
6 strikes STICKY,2022-01-03,0.17571143746770335,212150.32198338988,-0.7585187328640752
10% OTM STICKY,2022-01-03,0.23227490695874753,260071.83165971853,-0.6281616071129537
2 strikes STICKY (spec),2022-01-10,0.04612120666861719,123537.55176750966,-0.6153451448565836
2 strikes RESET (new rule),2022-01-10,-0.2405713488226655,29480.63064726983,-0.8490086034905172
6 strikes RESET,2022-01-10,0.045560389906423415,125109.78625264645,-0.6461276548278241
10% OTM RESET,2022-01-10,-0.057616272219493836,78974.74969890247,-0.7160527758099058
6 strikes STICKY,2022-01-10,0.23191107692169988,260585.53718133934,-0.7081693051403375
10% OTM STICKY,2022-01-10,0.2731975641670721,303424.75596971024,-0.5871647200371513
2 strikes STICKY (spec),2022-01-24,0.042972920937878634,123025.1570796601,-0.6513220636879319
2 strikes RESET (new rule),2022-01-24,-0.24428205856257335,29473.649325637092,-0.855217771746549
6 strikes RESET,2022-01-24,0.02561925933718512,118739.67107150446,-0.6938598335127648
10% OTM RESET,2022-01-24,-0.061606528738137545,77903.70473629881,-0.7470289953252096
6 strikes STICKY,2022-01-24,0.2426673618808146,278203.5505727822,-0.7290305144355924
10% OTM STICKY,2022-01-24,0.2913619882666607,321050.0505002006,-0.6011435979558502
2 strikes STICKY (spec),2022-01-31,0.04565320471688317,123387.2968608684,-0.6441798560271821
2 strikes RESET (new rule),2022-01-31,-0.2451836904326069,29253.636301494513,-0.8477836147761676
6 strikes RESET,2022-01-31,0.02365212382034465,114588.87571924202,-0.6875164731212833
10% OTM RESET,2022-01-31,-0.05996091941690218,78305.83096780005,-0.7372538918055704
6 strikes STICKY,2022-01-31,0.22797211972702258,255963.511108615,-0.7241771134568484
10% OTM STICKY,2022-01-31,0.2803826808231027,306488.9771732275,-0.6035438981169492
2 strikes STICKY (spec),2022-02-07,0.05191376637981526,123555.18480624148,-0.6176440095013991
2 strikes RESET (new rule),2022-02-07,-0.2422244990234732,29211.630983914958,-0.8468290601743187
6 strikes RESET,2022-02-07,0.03563298156124106,115065.47065316803,-0.6567530272711846
10% OTM RESET,2022-02-07,-0.06315191106996776,73896.6682124749,-0.7317883306895638
6 strikes STICKY,2022-02-07,0.2339483671929259,248608.95298392445,-0.7173227553244121
10% OTM STICKY,2022-02-07,0.25198038816431323,264441.9495441403,-0.6122278242185748
2 strikes STICKY (spec),2022-02-14,0.0618954006974779,128450.46560282828,-0.6106865497596025
2 strikes RESET (new rule),2022-02-14,-0.2411416829990538,29506.597442401686,-0.8447136917159888
6 strikes RESET,2022-02-14,0.02533351150169394,109736.31811705806,-0.6683613580702259
10% OTM RESET,2022-02-14,-0.06445439872624514,73684.3854536821,-0.7308464707102269
6 strikes STICKY,2022-02-14,0.23310253213664334,246129.14929761036,-0.7281853196688368
10% OTM STICKY,2022-02-14,0.27744831420299354,288137.8481623205,-0.5942689252468957
2 strikes STICKY (spec),2022-02-28,0.05073272286614383,123510.54144599731,-0.616067538210991
2 strikes RESET (new rule),2022-02-28,-0.28668523661760703,23001.348044354603,-0.8503000819355105
6 strikes RESET,2022-02-28,0.028131291492133226,112606.74750508748,-0.654771091597692
10% OTM RESET,2022-02-28,-0.06663002456603462,73909.81454564916,-0.721131591994566
6 strikes STICKY,2022-02-28,0.23150729239351575,246450.9024868368,-0.7204353760491162
10% OTM STICKY,2022-02-28,0.27397276788528924,285098.6115829664,-0.5925355999347504
2 strikes STICKY (spec),2022-03-07,0.04701844351892648,118267.84746168091,-0.6594507201987577
2 strikes RESET (new rule),2022-03-07,-0.2838316518425371,22923.193490168695,-0.8529804349821362
6 strikes RESET,2022-03-07,0.03093830303174916,107855.5331204818,-0.7055136229224602
10% OTM RESET,2022-03-07,-0.058088434311212245,74037.21839431848,-0.7357542315486633
6 strikes STICKY,2022-03-07,0.2559163249638816,253055.44427327023,-0.7576223949588966
10% OTM STICKY,2022-03-07,0.2869159225410882,285119.95732413785,-0.6396301449661352
2 strikes STICKY (spec),2022-03-14,0.017697230336033654,106802.4719959337,-0.6923211417937276
2 strikes RESET (new rule),2022-03-14,-0.2936410587865641,22204.768079761954,-0.8654896712614615
6 strikes RESET,2022-03-14,0.01718959936547715,104260.29458111557,-0.7440706962308763
10% OTM RESET,2022-03-14,-0.0594628500885408,75529.76750815318,-0.7634839565933876
6 strikes STICKY,2022-03-14,0.20626574145733656,217060.97894385929,-0.7887994680154381
10% OTM STICKY,2022-03-14,0.24899858361289007,255835.76034052187,-0.6752078588196304
2 strikes STICKY (spec),2022-03-21,0.049270748656541796,123570.2190083384,-0.6217978069655066
2 strikes RESET (new rule),2022-03-21,-0.24902944829470297,29504.668962138818,-0.8515577106283317
6 strikes RESET,2022-03-21,0.037852283903711426,118621.53267023437,-0.6652829921814376
10% OTM RESET,2022-03-21,-0.055730812618082215,78956.9354587009,-0.7267440007169407
6 strikes STICKY,2022-03-21,0.2464927175441991,259904.92393367938,-0.7187133907785663
10% OTM STICKY,2022-03-21,0.2931194600763922,303435.5711282703,-0.5954082438546577
2 strikes STICKY (spec),2022-03-28,0.0623939675804559,127798.20549802887,-0.5953590340008026
2 strikes RESET (new rule),2022-03-28,-0.24875429860066745,29171.11021452935,-0.8531884840999238
6 strikes RESET,2022-03-28,0.040276980718181976,118747.78271622986,-0.6466220812112495
10% OTM RESET,2022-03-28,-0.04869730274800976,80899.09061399322,-0.7105240807231741
6 strikes STICKY,2022-03-28,0.24054098924617584,251519.03145395717,-0.7110771850857086
10% OTM STICKY,2022-03-28,0.27828702441575714,285040.3528336431,-0.595659701870039
2 strikes STICKY (spec),2022-04-04,0.061795452347387814,128485.9086521513,-0.5958274412262317
2 strikes RESET (new rule),2022-04-04,-0.2730065287091962,25747.085363635942,-0.8523129197461943
6 strikes RESET,2022-04-04,0.041169448832713895,118731.85358439868,-0.644644150404623
10% OTM RESET,2022-04-04,-0.053675407539135356,78958.48211518358,-0.716508960245752
6 strikes STICKY,2022-04-04,0.24768281156332073,255885.99482763882,-0.7042040206976217
10% OTM STICKY,2022-04-04,0.2987968237123455,302627.1387616335,-0.573860090206959
2 strikes STICKY (spec),2022-04-11,0.14075687935121484,170400.13220981392,-0.4943056448052512
2 strikes RESET (new rule),2022-04-11,-0.2282885797639248,32689.659165351146,-0.8075395847410923
6 strikes RESET,2022-04-11,0.06477411969531999,128015.17689441952,-0.6245487427011761
10% OTM RESET,2022-04-11,0.010743387728236353,101831.50029224122,-0.6102960055518716
6 strikes STICKY,2022-04-11,0.28019006736592855,278800.42883598147,-0.6830145888767316
10% OTM STICKY,2022-04-11,0.3569875920067984,353462.94780987175,-0.5051250117601882
2 strikes STICKY (spec),2022-04-18,0.19993137691258345,217951.74760242912,-0.47863956358301474
2 strikes RESET (new rule),2022-04-18,-0.2341420129949845,32982.605167412534,-0.8128827974458175
6 strikes RESET,2022-04-18,0.09658265006603584,150968.79003682564,-0.6164695708389255
10% OTM RESET,2022-04-18,0.02204968883997016,111236.20597961807,-0.6363861468896185
6 strikes STICKY,2022-04-18,0.30484118570995555,313659.71416538,-0.6565539223020838
10% OTM STICKY,2022-04-18,0.4399004185323483,470169.8595627786,-0.47287453155942316
