label,final,cagr,maxdd,calls,puts,shares,assigned,med_otm,prem%
A  sticky 2 strikes (the spec),122993.6701967351,0.043915547859394666,-0.6281866800114861,-35263.921342287314,-42119.90846097761,100377.5,47,13.895216400911169,0.5095865990388457
B  reset to 2 strikes weekly (literal idea),26752.139523336406,-0.2566347649654235,-0.8493870840033639,-52519.03411118593,-11470.326365477726,-9258.499999999996,95,3.378719112455884,3.0664118834727425
C  restrike when >10% OTM -> 5% OTM,28653.11993632524,-0.24518930729645294,-0.8270509218631186,-50793.15533511281,-14851.224728561967,-5702.499999999961,98,4.3083900226757335,3.054016568489022
C  restrike when >10% OTM -> 10% OTM,38486.21736326322,-0.19395802045385013,-0.8002986568994973,-51014.98827832171,-10275.294358415142,-223.50000000000364,87,5.87102983638113,2.5160991130598562
C  restrike when >10% OTM -> 15% OTM,57596.357804892825,-0.11828395553616278,-0.7733156934687453,-59319.76342782785,-18659.878767279395,35576.00000000003,78,6.382978723404258,1.947784343973053
C  restrike when >15% OTM -> 5% OTM,31611.126272722893,-0.22850165191546956,-0.8305476449910822,-58966.96580785665,-11501.407919420457,2079.5000000000437,94,4.505341384115183,2.9700500001129804
C  restrike when >15% OTM -> 10% OTM,46540.625347179004,-0.1591349002490119,-0.7931838494591299,-58034.35309834548,-14783.02155447557,19358.000000000015,85,5.87102983638113,2.510940989467195
C  restrike when >15% OTM -> 15% OTM,57481.52862818384,-0.11867552106263124,-0.7754624820360334,-57082.64695081951,-19779.824420996687,34344.0,81,6.382978723404254,1.9887983859677907
C  restrike when >20% OTM -> 5% OTM,47851.20110289512,-0.15392131449572577,-0.7546189501688891,-64957.94403449075,-19368.854862614113,32178.000000000022,84,4.8296518157993225,2.708930440879578
C  restrike when >20% OTM -> 10% OTM,53198.45985803223,-0.13373511139606997,-0.7785323589585289,-58378.483757780356,-16098.056384187457,27675.000000000007,84,5.932203389830511,2.4500000104308124
C  restrike when >20% OTM -> 15% OTM,58320.51021723438,-0.11582849249257765,-0.7754252573186124,-53668.82987005491,-18183.659912710784,30173.000000000015,80,6.382978723404254,1.961557622052474
C  restrike when >30% OTM -> 5% OTM,27907.013805934326,-0.24960898368939244,-0.8393940148116005,-53589.24581241494,-1262.240381650773,-17241.49999999999,85,5.021332458155567,2.539687542244792
C  restrike when >30% OTM -> 10% OTM,35376.83918947543,-0.20893095871877043,-0.8123042403459677,-54067.24988743783,-4643.410923086741,-5912.499999999974,80,6.609808102345407,2.164805066355337
C  restrike when >30% OTM -> 15% OTM,47569.344942726246,-0.15503310712587948,-0.7941360193606902,-52167.480076081956,-10494.17498119182,10231.000000000042,76,6.820049301561216,1.8819915206503057
