label,final,cagr,maxdd,bh_cagr,bh_final,excess,assigned,shares,calls,puts
start 2022-01-03 (+0w),122993.6701967351,0.043915547859394666,-0.6281866800114861,0.22758185326386093,261056.98,-0.18366630540446627,47,100377.5,-35263.921342287314,-42119.90846097761
start 2022-01-10 (+1w),123537.55176750966,0.04612120666861719,-0.6153451448565836,0.28028432653462576,324788.2,-0.23416311986600857,48,134386.5,-49812.090353159,-61036.85787933135
start 2022-01-24 (+2w),123025.1570796601,0.042972920937878634,-0.6513220636879319,0.3656743260015636,454386.89999999997,-0.32270140506368494,48,133985.5,-36811.90756815387,-74148.43535218606
start 2022-01-31 (+3w),123387.2968608684,0.04565320471688317,-0.6441798560271821,0.37274172221344837,442264.3,-0.3270885174965652,48,135635.5,-41725.26291375479,-70522.94022537685
start 2022-02-07 (+4w),123555.18480624148,0.05191376637981526,-0.6176440095013991,0.3836903005564698,401920.0,-0.33177653417665454,47,133362.5,-43731.16579618673,-66076.14939757185
start 2022-02-14 (+5w),128450.46560282828,0.0618954006974779,-0.6106865497596025,0.4154145852442066,441368.76,-0.3535191845467287,47,141783.0,-39975.681410168705,-73356.85298700309
start 2022-02-28 (+6w),123510.54144599731,0.05073272286614383,-0.616067538210991,0.40793850415377353,439203.32,-0.3572057812876297,47,135018.49999999994,-43551.57484811735,-67956.38370588535
start 2022-03-07 (+7w),118267.84746168091,0.04701844351892648,-0.6594507201987577,0.5216589380758814,542211.75,-0.4746404945569549,49,141527.50000000006,-47829.54192710543,-75430.11061121368
start 2022-03-14 (+8w),106802.4719959337,0.017697230336033654,-0.6923211417937276,0.5456050959333003,614428.58,-0.5279078655972667,49,139854.50000000006,-56973.916569602756,-76078.11143446362
start 2022-03-21 (+9w),123570.2190083384,0.049270748656541796,-0.6217978069655066,0.43178264219985074,476142.60000000003,-0.38251189354330895,48,139314.5,-46733.70646602387,-69010.57452563778
start 2022-03-28 (+10w),127798.20549802887,0.0623939675804559,-0.5953590340008026,0.40277721931206,432337.96,-0.3403832517316041,47,139126.5,-44575.09534960977,-66753.19915236141
start 2022-04-04 (+11w),128485.9086521513,0.061795452347387814,-0.5958274412262317,0.44461949984177673,479013.04000000004,-0.3828240474943889,47,143860.49999999997,-45050.55550733333,-70324.03584051543
start 2022-04-11 (+12w),170400.13220981392,0.14075687935121484,-0.4943056448052512,0.5764908713071815,665288.5,-0.4357339919559666,48,229689.49999999994,-55489.56994333126,-103799.79784685485
start 2022-04-18 (+13w),217951.74760242912,0.19993137691258345,-0.47863956358301474,0.572058430754194,692261.12,-0.3721270538416106,48,303255.0,-59606.79024080457,-125696.46215676639
