w,start,cagr,final,dd
0.25,2022-01-03,0.1752297026029126,206561.0602815998,-0.37801969352051934
0.25,2022-01-10,0.18739178069903506,215629.15666892662,-0.36286092053660224
0.25,2022-01-24,0.20667865599382118,230083.16965325322,-0.34101267929793433
0.25,2022-01-31,0.20880926950725098,231049.26473025075,-0.3410126792979341
0.25,2022-02-07,0.21178813930211415,232715.98620711407,-0.3410126792979341
0.25,2022-02-14,0.21903662314498962,237994.08073964628,-0.34101267929793466
0.25,2022-02-28,0.2185116238406426,235753.05150854998,-0.34101267929793455
0.25,2022-03-07,0.24027162936137092,253526.48858963262,-0.341012679297934
0.25,2022-03-14,0.24563147108575212,257208.99624512473,-0.3410126792979342
0.25,2022-03-21,0.21947537819360052,233879.8586546612,-0.3410126792979342
0.25,2022-03-28,0.2136067801945607,228249.8520270667,-0.3410126792979341
0.25,2022-04-04,0.22277390592546942,234783.8266220198,-0.3410126792979341
0.25,2022-04-11,0.2469802260952283,254073.34220808098,-0.34101267929793466
0.25,2022-04-18,0.24669770519649448,252759.869718049,-0.3410126792979342
0.35,2022-01-03,0.22812564500482968,251739.41885798879,-0.4955019975645598
0.35,2022-01-10,0.2459936885866012,267487.9826675033,-0.4778763169529189
0.35,2022-01-24,0.27440633011694326,293139.36452200345,-0.45287168489505414
0.35,2022-01-31,0.27744527308324374,294865.46960375103,-0.4528716848950539
0.35,2022-02-07,0.2817436463970824,297851.98910055147,-0.4528716848950538
0.35,2022-02-14,0.2924151194426916,307396.14355778927,-0.4528716848950539
0.35,2022-02-28,0.2914215798734472,303374.47248691984,-0.45287168489505436
0.35,2022-03-07,0.32417433388183614,336390.080213292,-0.4528716848950538
0.35,2022-03-14,0.3320881311053101,343270.61455795524,-0.45287168489505425
0.35,2022-03-21,0.29369635966001884,301207.64854131296,-0.4528716848950538
0.35,2022-03-28,0.28492086831080754,291153.4293966792,-0.452871684895054
0.35,2022-04-04,0.29847965131093934,302957.1382927429,-0.45287168489505414
0.35,2022-04-11,0.3350642072350227,338987.9937317595,-0.4528716848950539
0.35,2022-04-18,0.33452128108127566,336539.62345529796,-0.452871684895054
0.45,2022-01-03,0.2685499147642423,291166.60679532244,-0.5954767208267264
