date,kind,qty,strike,spot,dte,px,otm_pct
2024-01-02,BUY_SHARES,3100,,29.2,,,
2024-01-02,BUY_PUT,31,29.0,29.2,45.0,2.84,-0.6849315068493178
2024-01-05,CALL_EXPIRED,31,29.5,25.94,,,
2024-01-12,CALL_ASSIGNED,3100,28.0,28.07,,,
2024-01-16,BUY_SHARES,3200,,28.24,,,
2024-01-16,BUY_PUT,1,28.0,28.24,122.0,4.5,-0.8498583569405027
2024-01-19,CALL_ASSIGNED,3200,28.5,34.9,,,
2024-01-22,BUY_SHARES,2600,,35.67,,,
2024-01-26,CALL_EXPIRED,26,36.0,34.01,,,
2024-01-29,BUY_SHARES,100,,33.85,,,
2024-02-02,CALL_EXPIRED,27,34.0,33.68,,,
2024-02-05,BUY_SHARES,100,,35.06,,,
2024-02-09,CALL_ASSIGNED,2800,35.5,39.35,,,
2024-02-12,BUY_SHARES,2500,,40.13,,,
2024-02-16,CALL_EXPIRED,25,41.0,38.32,,,
2024-02-16,PUT_EXPIRED,31,29.0,38.32,,,
2024-02-20,SELL_SHARES,200,,36.09,,,
2024-02-20,BUY_PUT,22,36.0,36.09,87.0,6.05,-0.24937655860349794
2024-02-23,CALL_ASSIGNED,2300,36.5,40.05,,,
2024-02-26,BUY_SHARES,2100,,40.93,,,
2024-03-01,CALL_ASSIGNED,2100,41.0,48.34,,,
2024-03-04,BUY_SHARES,1800,,49.4,,,
2024-03-08,CALL_EXPIRED,18,50.0,48.83,,,
2024-03-11,BUY_SHARES,100,,45.62,,,
2024-03-15,CALL_EXPIRED,19,46.0,42.67,,,
2024-03-18,BUY_SHARES,100,,44.15,,,
2024-03-22,CALL_ASSIGNED,2000,45.0,46.41,,,
2024-03-25,BUY_SHARES,2100,,45.43,,,
2024-03-28,CALL_ASSIGNED,2100,46.0,46.53,,,
2024-04-01,BUY_SHARES,2000,,49.74,,,
2024-04-05,CALL_EXPIRED,20,50.0,43.71,,,
2024-04-12,CALL_EXPIRED,20,44.5,41.36,,,
2024-04-15,BUY_SHARES,100,,43.34,,,
2024-04-19,CALL_EXPIRED,21,43.5,30.69,,,
2024-04-22,BUY_SHARES,100,,31.7,,,
2024-04-26,CALL_ASSIGNED,2200,32.0,39.75,,,
2024-04-29,BUY_SHARES,1900,,39.45,,,
2024-05-03,CALL_EXPIRED,19,39.5,38.97,,,
2024-05-06,BUY_SHARES,100,,40.98,,,
2024-05-10,CALL_ASSIGNED,2000,41.0,41.02,,,
2024-05-13,BUY_SHARES,2000,,41.85,,,
2024-05-17,CALL_ASSIGNED,2000,42.0,45.43,,,
2024-05-17,PUT_EXPIRED,1,28.0,45.43,,,
2024-05-17,PUT_EXPIRED,22,36.0,45.43,,,
2024-05-20,BUY_SHARES,1600,,47.96,,,
2024-05-20,BUY_PUT,16,47.0,47.96,88.0,6.742107577562276,-2.0016680567139344
2024-05-24,CALL_ASSIGNED,1600,48.0,51.54,,,
2024-05-28,BUY_SHARES,1500,,52.88,,,
2024-05-31,CALL_EXPIRED,15,53.0,48.55,,,
2024-06-03,BUY_SHARES,100,,49.58,,,
2024-06-07,CALL_ASSIGNED,1600,50.0,51.91,,,
2024-06-10,BUY_SHARES,1600,,51.57,,,
2024-06-14,CALL_ASSIGNED,1600,52.0,60.03,,,
2024-06-17,BUY_SHARES,1400,,60.27,,,
2024-06-21,CALL_EXPIRED,14,61.0,58.02,,,
2024-06-28,CALL_EXPIRED,14,57.0,55.35,,,
2024-07-01,BUY_SHARES,100,,53.9,,,
2024-07-05,CALL_ASSIGNED,1500,54.0,60.81,,,
2024-07-08,BUY_SHARES,1300,,64.0,,,
2024-07-12,CALL_ASSIGNED,1300,64.0,64.08,,,
2024-07-15,BUY_SHARES,1300,,64.61,,,
2024-07-19,CALL_EXPIRED,13,65.0,47.0,,,
2024-07-22,BUY_SHARES,100,,50.55,,,
2024-07-26,CALL_EXPIRED,14,51.0,41.99,,,
2024-07-29,BUY_SHARES,100,,44.62,,,
2024-08-02,CALL_EXPIRED,15,45.0,29.32,,,
2024-08-05,BUY_SHARES,100,,28.05,,,
2024-08-09,CALL_EXPIRED,16,31.0,30.96,,,
2024-08-12,BUY_SHARES,100,,30.77,,,
2024-08-12,BUY_PUT,1,30.0,30.77,95.0,6.3500000000000005,-2.5024374390640203
2024-08-16,CALL_ASSIGNED,1700,32.0,39.72,,,
2024-08-16,PUT_CASH_SETTLED,16,47.0,39.72,,,
2024-08-19,BUY_SHARES,1500,,38.5,,,
2024-08-19,BUY_PUT,14,38.0,38.5,88.0,7.05,-1.2987012987012991
2024-08-23,CALL_ASSIGNED,1500,39.0,40.39,,,
2024-08-26,BUY_SHARES,1500,,39.27,,,
2024-08-30,CALL_EXPIRED,15,40.5,38.92,,,
2024-09-03,BUY_SHARES,100,,34.33,,,
2024-09-03,BUY_PUT,1,34.0,34.33,73.0,6.07,-0.9612583745994718
2024-09-06,CALL_EXPIRED,16,35.0,25.95,,,
2024-09-09,BUY_SHARES,100,,27.38,,,
2024-09-09,BUY_PUT,1,27.0,27.38,67.0,4.88,-1.3878743608473298
2024-09-13,CALL_ASSIGNED,1700,27.5,33.44,,,
2024-09-16,BUY_SHARES,1500,,32.32,,,
2024-09-20,CALL_ASSIGNED,1500,32.5,33.55,,,
2024-09-23,BUY_SHARES,1500,,33.7,,,
2024-09-27,CALL_ASSIGNED,1500,34.0,37.64,,,
2024-09-30,BUY_SHARES,1500,,36.6,,,
2024-10-04,CALL_EXPIRED,15,37.0,36.71,,,
2024-10-11,CALL_ASSIGNED,1500,36.5,38.65,,,
2024-10-14,BUY_SHARES,1400,,40.9,,,
2024-10-18,CALL_EXPIRED,14,41.0,35.28,,,
2024-10-21,BUY_SHARES,100,,35.19,,,
2024-10-25,CALL_EXPIRED,15,35.5,35.31,,,
2024-11-01,CALL_EXPIRED,15,36.0,30.89,,,
2024-11-04,BUY_SHARES,100,,30.89,,,
2024-11-08,CALL_ASSIGNED,1600,31.0,35.42,,,
2024-11-11,BUY_SHARES,1700,,32.04,,,
2024-11-15,CALL_EXPIRED,17,32.5,26.66,,,
2024-11-15,PUT_EXERCISED,100,30.0,26.66,,,
2024-11-15,PUT_EXERCISED,1400,38.0,26.66,,,
2024-11-15,PUT_EXERCISED,100,34.0,26.66,,,
2024-11-15,PUT_EXERCISED,100,27.0,26.66,,,
2024-11-18,BUY_SHARES,2000,,26.59,,,
2024-11-18,BUY_PUT,20,26.0,26.59,95.0,4.511777397626567,-2.218879277924035
2024-11-22,CALL_ASSIGNED,2000,27.0,28.48,,,
2024-11-25,BUY_SHARES,2000,,29.02,,,
2024-11-29,CALL_EXPIRED,20,29.5,28.08,,,
2024-12-06,CALL_EXPIRED,20,30.0,29.65,,,
2024-12-09,BUY_SHARES,100,,30.03,,,
2024-12-09,BUY_PUT,1,30.0,30.03,74.0,4.480813320787927,-0.09990009990010762
2024-12-13,CALL_ASSIGNED,2100,30.5,30.79,,,
2024-12-16,BUY_SHARES,2000,,32.11,,,
2024-12-20,CALL_EXPIRED,20,32.5,27.35,,,
2024-12-23,BUY_SHARES,100,,29.17,,,
2024-12-27,CALL_ASSIGNED,2100,29.5,29.72,,,
2024-12-30,BUY_SHARES,2300,,27.51,,,
2024-12-30,BUY_PUT,2,27.0,27.51,53.0,3.3483005024344195,-1.853871319520184
2024-12-31,EOY_CLOSE_CALL,23,28.0,27.3,,0.0,
2024-12-31,EOY_SELL_PUT,20,26.0,27.3,,0.0,
2024-12-31,EOY_SELL_PUT,1,30.0,27.3,,2.6999999999999993,
2024-12-31,EOY_SELL_PUT,2,27.0,27.3,,0.0,
2024-12-31,EOY_SELL_SHARES,2300,,27.3,,,
