week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
1,2024-01-02,29.2,31,3100,29.5,2024-01-05,0.76,31,2356.0,print_1000,0.7367,2.6027397260273974,1.0273972602739656,3.6301369863013724,False,29.0,2024-02-16,31,45,2976.2000000000003,96875.2
2,2024-01-08,27.74,31,3100,28.0,2024-01-12,0.8200000000000001,31,2542.0,print_1000,0.7636000000000001,2.956020187454939,0.9372746935832899,3.893294881038218,False,29.0,2024-02-16,31,39,92282.55,101241.55
3,2024-01-16,28.24,32,3200,28.5,2024-01-19,0.75,32,2400.0,print_1000,0.7765000000000001,2.6558073654390935,0.9206798866855603,3.5764872521246516,False,29.0,2024-02-16,32,31,95011.1,97851.6
4,2024-01-22,35.67,26,2600,36.0,2024-01-26,1.06,26,2756.0,print_1000,0.9148,2.971684889262686,0.925147182506314,3.896832071768989,False,29.0,2024-02-16,32,25,4995.200000000006,96102.70000000001
5,2024-01-29,33.85,27,2700,34.0,2024-02-02,1.38,27,3725.9999999999995,print_1000,1.0496,4.076809453471196,0.4431314623338123,4.519940915805018,False,29.0,2024-02-16,32,18,5318.150000000005,97828.15000000001
6,2024-02-05,35.06,28,2800,35.5,2024-02-09,0.98,28,2744.0,print_1000,0.9031,2.7952082144894463,1.2549914432401499,4.0501996577296,False,29.0,2024-02-16,32,11,103923.45000000001,104241.95000000001
7,2024-02-12,40.13,25,2500,41.0,2024-02-16,1.23,25,3075.0,print_1000,0.9769,3.065038624470471,2.167954149015694,5.232992773486163,False,29.0,2024-02-16,32,4,6644.700000000012,102624.70000000001
8,2024-02-20,36.09,23,2300,36.5,2024-02-23,1.66,23,3818.0,print_1000,1.5882,4.599612080908838,1.1360487669714425,5.73566084788029,True,28.0,2024-05-17,23,87,88278.95000000001,98247.95000000001
9,2024-02-26,40.93,21,2100,41.0,2024-03-01,1.66,21,3486.0,print_1000,0.875,4.055704861959443,0.17102369899828496,4.226728560957733,False,28.0,2024-05-17,23,81,91877.30000000002,96284.30000000002
10,2024-03-04,49.4,18,1800,50.0,2024-03-08,2.23,18,4014.0,print_1000,1.0566,4.51417004048583,1.2145748987854255,5.728744939271258,True,28.0,2024-05-17,23,74,6950.600000000018,100571.60000000002
11,2024-03-11,45.62,19,1900,46.0,2024-03-15,2.2,19,4180.0,print_1000,1.256,4.822446295484437,0.8329679964927728,5.655414291977209,True,28.0,2024-05-17,23,67,6555.750000000017,95628.75000000001
12,2024-03-18,44.15,20,2000,45.0,2024-03-22,2.04,20,4080.0,print_1000,1.2505000000000002,4.620611551528879,1.925254813137034,6.545866364665915,True,28.0,2024-05-17,23,60,96197.25000000001,100632.25000000001
13,2024-03-25,45.43,21,2100,46.0,2024-03-28,1.53,21,3213.0,print_1000,0.9417,3.3678186220559105,1.2546775258639675,4.622496147919878,False,28.0,2024-05-17,23,53,100572.60000000002,104392.10000000002
14,2024-04-01,49.74,20,2000,50.0,2024-04-05,1.55,20,3100.0,print_1000,0.8914000000000001,3.116204262163249,0.5227181342983389,3.638922396461596,False,28.0,2024-05-17,23,46,4169.60000000002,95630.60000000002
15,2024-04-08,44.13,20,2000,44.5,2024-04-12,1.51,20,3020.0,print_1000,0.875,3.4217085882619536,0.8384319057330503,4.260140493995008,False,28.0,2024-05-17,23,39,7176.60000000002,94638.10000000002
16,2024-04-15,43.34,21,2100,43.5,2024-04-19,1.63,21,3423.0,print_1000,1.0812000000000002,3.7609598523304104,0.369173973234882,4.13013382556529,False,28.0,2024-05-17,23,32,6251.450000000021,85593.45000000003
17,2024-04-22,31.7,22,2200,32.0,2024-04-26,1.43,22,3146.0,print_1000,1.1111,4.511041009463723,0.9463722397476282,5.457413249211358,True,28.0,2024-05-17,23,25,76601.65000000002,80391.15000000002
18,2024-04-29,39.45,19,1900,39.5,2024-05-03,1.77,19,3363.0,print_1000,1.1986,4.486692015209125,0.12674271229402567,4.613434727503161,False,28.0,2024-05-17,23,18,4987.800000000023,81838.30000000002
19,2024-05-06,40.98,20,2000,41.0,2024-05-10,1.49,20,2980.0,print_1000,0.8632000000000001,3.6359199609565644,0.048804294777937685,3.6847242557345123,False,28.0,2024-05-17,23,11,85846.30000000002,86344.80000000002
20,2024-05-13,41.85,20,2000,42.0,2024-05-17,1.62,20,3240.0,print_1000,0.896,3.870967741935484,0.35842293906809264,4.229390681003581,False,28.0,2024-05-17,23,4,89353.30000000002,89353.30000000002
21,2024-05-20,47.96,16,1600,48.0,2024-05-24,2.25,16,3600.0,print_1000,1.1849,4.691409507923269,0.08340283569641116,4.774812343619681,True,47.0,2024-08-16,16,88,82193.12787590038,90033.12787590038
22,2024-05-28,52.88,15,1500,53.0,2024-05-31,1.65,15,2475.0,print_1000,0.8339000000000001,3.1202723146747346,0.22692889561271024,3.347201210287438,False,47.0,2024-08-16,16,80,5330.877875900376,87875.87787590038
23,2024-06-03,49.58,16,1600,50.0,2024-06-07,1.44,16,2304.0,print_1000,0.9441,2.9043969342476808,0.8471157724889045,3.7515127067365905,False,47.0,2024-08-16,16,74,82657.97787590038,90217.97787590038
24,2024-06-10,51.57,16,1600,52.0,2024-06-14,2.19,16,3504.0,print_1000,1.0765,4.2466550319953456,0.8338181113050291,5.0804731433003685,False,47.0,2024-08-16,16,67,86823.57787590039,90839.57787590039
25,2024-06-17,60.27,14,1400,61.0,2024-06-21,1.64,14,2296.0,print_1000,0.7472000000000001,2.721088435374149,1.2112161937945842,3.9323046291687347,False,47.0,2024-08-16,16,60,4725.4778759003875,90961.47787590038
26,2024-06-24,56.39,14,1400,57.0,2024-06-28,2.19,14,3066.0,print_1000,0.9207,3.8836673169001594,1.0817520837027805,4.965419400602943,False,47.0,2024-08-16,16,53,7782.377875900387,89920.37787590039
27,2024-07-01,53.9,15,1500,54.0,2024-07-05,1.6,15,2400.0,print_1000,0.6539,2.9684601113172544,0.18552875695732052,3.1539888682745856,False,47.0,2024-08-16,16,46,85774.62787590039,88166.62787590039
28,2024-07-08,64.0,13,1300,64.0,2024-07-12,2.06,13,2678.0,print_1000,0.7589,3.21875,0.0,3.21875,False,47.0,2024-08-16,16,39,88431.1778759004,90007.1778759004
29,2024-07-15,64.61,13,1300,65.0,2024-07-19,2.76,13,3587.9999999999995,print_1000,0.8937,4.271784553474694,0.6036217303822866,4.8754062838569885,False,47.0,2024-08-16,16,32,8011.227875900393,77351.2278759004
