week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
1,2024-01-02,29.2,31,3100,29.5,2024-01-05,0.76,31.0,2356.0,print_1000,0.7367,2.6027397260273974,1.0273972602739656,3.6301369863013724,False,29.0,2024-02-16,31,45,2976.2000000000003,96875.2
2,2024-01-08,27.74,31,3100,28.0,2024-01-12,0.8200000000000001,31.0,2542.0,print_1000,0.7636000000000001,2.956020187454939,0.9372746935832899,3.893294881038218,False,29.0,2024-02-16,31,39,7736.25,101216.75
3,2024-01-16,28.24,33,3300,,,,,,,,,,,,29.0,2024-02-16,33,31,82831.84999999999,99606.84999999999
4,2024-01-22,35.67,27,2700,,,,,,,,,,,,29.0,2024-02-16,33,25,779.3499999999913,95582.34999999999
5,2024-01-29,33.85,27,2700,34.0,2024-02-02,1.38,27.0,3725.9999999999995,print_1000,1.0496,4.076809453471196,0.4431314623338123,4.519940915805018,False,29.0,2024-02-16,33,18,4487.79999999999,97254.29999999999
6,2024-02-05,35.06,28,2800,35.5,2024-02-09,0.98,28.0,2744.0,print_1000,0.9031,2.7952082144894463,1.2549914432401499,4.0501996577296,False,29.0,2024-02-16,33,11,49937.89999999999,103579.4
7,2024-02-12,40.13,26,2600,,,,,,,,,,,,29.0,2024-02-16,33,4,1775.899999999987,101767.9
8,2024-02-20,36.09,22,2200,36.5,2024-02-23,1.66,22.0,3652.0,print_1000,1.5882,4.599612080908838,1.1360487669714425,5.73566084788029,True,28.0,2024-05-17,22,87,2744.9999999999945,97264.0
9,2024-02-26,40.93,22,2200,,,,,,,,,,,,28.0,2024-05-17,22,81,69715.0,96998.5
10,2024-03-04,49.4,19,1900,,,,,,,,,,,,28.0,2024-05-17,22,74,548.0,98635.0
11,2024-03-11,45.62,19,1900,46.0,2024-03-15,2.2,19.0,4180.0,print_1000,1.256,4.822446295484437,0.8329679964927728,5.655414291977209,True,28.0,2024-05-17,22,67,4715.65,93208.65
12,2024-03-18,44.15,20,2000,45.0,2024-03-22,2.04,20.0,4080.0,print_1000,1.2505000000000002,4.620611551528879,1.925254813137034,6.545866364665915,True,28.0,2024-05-17,22,60,5041.150000000007,98435.15000000001
13,2024-03-25,45.43,21,2100,,,,,,,,,,,,28.0,2024-05-17,22,53,497.6500000000069,101721.65000000001
14,2024-04-01,49.74,21,2100,50.0,2024-04-05,1.55,21.0,3255.0,print_1000,0.8914000000000001,3.116204262163249,0.5227181342983389,3.638922396461596,False,28.0,2024-05-17,22,46,3739.000000000007,99256.0
15,2024-04-08,44.13,21,2100,44.5,2024-04-12,1.51,21.0,3171.0,print_1000,0.875,3.4217085882619536,0.8384319057330503,4.260140493995008,False,28.0,2024-05-17,22,39,6896.350000000007,98123.35
16,2024-04-15,43.34,22,2200,43.5,2024-04-19,1.63,22.0,3585.9999999999995,print_1000,1.0812000000000002,3.7609598523304104,0.369173973234882,4.13013382556529,False,28.0,2024-05-17,22,32,6133.550000000007,87417.55
17,2024-04-22,31.7,23,2300,32.0,2024-04-26,1.43,23.0,3289.0,print_1000,1.1111,4.511041009463723,0.9463722397476282,5.457413249211358,True,28.0,2024-05-17,23,25,45142.75000000001,82940.75
18,2024-04-29,39.45,20,2000,,,,,,,,,,,,28.0,2024-05-17,23,18,1742.2500000000073,82564.25
19,2024-05-06,40.98,20,2000,41.0,2024-05-10,1.49,20.0,2980.0,print_1000,0.8632000000000001,3.6359199609565644,0.048804294777937685,3.6847242557345123,False,28.0,2024-05-17,23,11,7273.250000000007,87115.25
20,2024-05-13,41.85,21,2100,,,,,,,,,,,,28.0,2024-05-17,23,4,8303.350000000008,90667.85
21,2024-05-20,47.96,18,1800,,,,,,,,,,,,31.0,2024-08-16,18,88,73329.61711814413,91786.11711814413
22,2024-05-28,52.88,15,1500,,,,,,,,,,,,31.0,2024-08-16,18,80,4579.117118144131,87870.61711814413
23,2024-06-03,49.58,15,1500,50.0,2024-06-07,1.44,15.0,2160.0,print_1000,0.9441,2.9043969342476808,0.8471157724889045,3.7515127067365905,False,31.0,2024-08-16,18,74,7017.367118144131,89273.86711814413
24,2024-06-10,51.57,16,1600,,,,,,,,,,,,31.0,2024-08-16,18,67,68126.76711814413,90096.76711814413
25,2024-06-17,60.27,14,1400,,,,,,,,,,,,31.0,2024-08-16,18,60,1824.2671181441256,88417.26711814413
26,2024-06-24,56.39,14,1400,57.0,2024-06-28,2.19,14.0,3066.0,print_1000,0.9207,3.8836673169001594,1.0817520837027805,4.965419400602943,False,31.0,2024-08-16,18,53,4881.167118144125,87340.66711814412
27,2024-07-01,53.9,14,1400,54.0,2024-07-05,1.6,14.0,2240.0,print_1000,0.6539,2.9684601113172544,0.18552875695732052,3.1539888682745856,False,31.0,2024-08-16,18,46,485.867118144125,85004.36711814413
28,2024-07-08,64.0,14,1400,,,,,,,,,,,,31.0,2024-08-16,18,39,54934.867118144124,87558.36711814412
29,2024-07-15,64.61,13,1300,,,,,,,,,,,,31.0,2024-08-16,18,32,3242.867118144124,73163.36711814412
30,2024-07-22,50.55,13,1300,51.0,2024-07-26,2.13,13.0,2769.0,print_1000,0.9664,4.213649851632048,0.8902077151335286,5.103857566765584,False,31.0,2024-08-16,18,25,6003.417118144124,72398.41711814413
31,2024-07-29,44.62,14,1400,45.0,2024-08-02,2.18,14.0,3052.0,print_1000,1.2929000000000002,4.885701479157329,0.8516360376512822,5.737337516808613,True,31.0,2024-08-16,18,18,4583.817118144125,76185.31711814413
32,2024-08-05,28.05,15,1500,31.0,2024-08-09,1.78,15.0,2670.0,print_1000,2.1376,6.3458110516934045,10.516934046345817,16.862745098039213,False,31.0,2024-08-16,18,11,4438.567118144125,78246.56711814413
33,2024-08-12,30.77,16,1600,32.0,2024-08-16,1.42,16.0,2272.0,print_1000,1.4378,4.614884627884303,3.99740006499838,8.61228469288268,True,31.0,2024-08-16,18,4,68397.86711814413,67182.86711814413
34,2024-08-19,38.5,15,1500,,,,,,,,,,,,38.0,2024-11-15,15,88,986.8171181441313,69746.81711814413
35,2024-08-26,39.27,15,1500,,,,,,,,,,,,38.0,2024-11-15,15,81,986.8171181441313,68516.81711814413
36,2024-09-03,34.33,15,1500,35.0,2024-09-06,1.3,15.0,1950.0,print_1000,1.3914,3.7867754150888437,1.9516457908534957,5.73842120594233,False,38.0,2024-11-15,15,73,2927.067118144131,61914.56711814413
37,2024-09-09,27.38,15,1500,27.5,2024-09-13,1.56,15.0,2340.0,print_1000,1.2191,5.6975894813732655,0.43827611395179655,6.1358655953250585,False,38.0,2024-11-15,15,67,11269.017118144131,59552.51711814413
38,2024-09-16,32.32,14,1400,,,,,,,,,,,,38.0,2024-11-15,15,60,1571.517118144131,60541.517118144126
39,2024-09-23,33.7,14,1400,34.0,2024-09-27,1.4,14.0,1959.9999999999998,print_1000,0.9746,4.154302670623144,0.8902077151335286,5.044510385756667,False,38.0,2024-11-15,15,53,494.2171181441304,59100.21711814413
40,2024-09-30,36.6,14,1400,,,,,,,,,,,,38.0,2024-11-15,15,46,494.2171181441304,60138.21711814413
41,2024-10-07,36.27,14,1400,36.5,2024-10-11,1.4,14.0,1959.9999999999998,print_1000,0.9898,3.859939343810311,0.6341328921974032,4.494072236007711,False,38.0,2024-11-15,15,39,1488.9171181441325,60014.417118144134
