week,monday,spot_1000_high,lots,shares,put_strike,put_expiry,put_qty,put_dte,cash_after,equity,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit
1,2026-01-02,47.78,18,1800,47.0,2026-02-20,18,49,2833.2999999999993,99664.3,,,,,,,,,,,
2,2026-01-05,50.05,18,1800,47.0,2026-02-20,18,46,97420.6,104350.6,51.0,2026-01-09,1.56,18.0,2808.0,print_1000,0.991,3.116883116883117,1.8981018981019115,5.0149850149850215,False
3,2026-01-12,54.12,17,1700,47.0,2026-02-20,18,39,101540.55,105410.55,54.5,2026-01-16,2.06,17.0,3502.0,print_near,0.9453,3.8063562453806354,0.7021433850702197,4.5084996304508556,False
4,2026-01-20,60.54,16,1600,47.0,2026-02-20,18,31,105834.15000000001,108813.15000000001,61.0,2026-01-23,2.24,16.0,3584.0000000000005,print_1000,1.1958,3.70003303600925,0.7598282127519118,4.459861248761151,False
5,2026-01-26,61.74,17,1700,47.0,2026-02-20,18,25,5089.600000000009,112652.6,62.0,2026-01-30,2.49,17.0,4233.0,print_1000,1.122,4.033041788143829,0.421120829284094,4.4541626174279205,False
6,2026-02-02,62.96,17,1700,47.0,2026-02-20,18,18,11368.550000000008,118439.55,63.0,2026-02-06,3.7,17.0,6290.0,print_1000,1.2799,5.876747141041932,0.06353240152476847,5.940279542566708,False
7,2026-02-09,62.65,18,1800,47.0,2026-02-20,18,11,124512.35,125133.35,63.5,2026-02-13,2.85,18.0,5130.0,print_1000,1.2533,4.549082202713488,1.3567438148443856,5.905826017557864,True
8,2026-02-17,60.05,20,2000,47.0,2026-02-20,20,3,129614.05,131689.05,60.5,2026-02-20,3.45,20.0,6900.0,print_1000,1.4939,5.745212323064114,0.7493755203996644,6.494587843463785,False
9,2026-02-23,67.07,16,1600,60.0,2026-05-15,16,81,6290.550000000019,130417.55000000002,68.0,2026-02-27,3.1,16.0,4960.0,print_1000,1.3695000000000002,4.622036678097511,1.3866110034292722,6.0086476815267735,True
10,2026-03-02,60.58,16,1600,60.0,2026-05-15,16,74,11880.15000000002,124878.15000000002,61.0,2026-03-06,3.5,16.0,5600.0,print_1000,1.3503,5.7774843182568505,0.6932981181908326,6.470782436447675,False
11,2026-03-09,45.45,18,1800,60.0,2026-05-15,18,67,90137.15000000002,123477.15000000002,46.5,2026-03-13,3.1,18.0,5580.0,print_1000,1.4925000000000002,6.820682068206821,2.310231023102305,9.130913091309123,False
12,2026-03-16,55.26,16,1600,60.0,2026-05-15,18,60,5990.750000000024,120119.75000000003,56.0,2026-03-20,2.68,16.0,4288.0,print_1000,1.4693,4.849800941006153,1.3391241404270726,6.188925081433229,True
13,2026-03-23,55.89,17,1700,60.0,2026-05-15,18,53,4810.2000000000235,119970.20000000003,56.5,2026-03-27,2.6,17.0,4420.0,print_1000,1.31074,4.651994990159242,1.0914295938450502,5.743424584004293,True
14,2026-03-30,43.89,18,1800,60.0,2026-05-15,18,46,84118.00000000003,113363.00000000003,44.0,2026-04-02,2.51,18.0,4518.0,print_1000,1.3162,5.718842560947824,0.25062656641603454,5.969469127363863,False
15,2026-04-06,55.0,15,1500,60.0,2026-05-15,18,39,89043.25000000003,98739.25000000003,55.5,2026-04-10,2.8000000000000003,15.0,4200.0,print_1000,1.3134,5.090909090909091,0.9090909090909038,6.000000000000001,True
16,2026-04-13,77.28,11,1100,60.0,2026-05-15,18,32,93689.10000000003,97684.10000000003,78.0,2026-04-17,3.52,11.0,3872.0,print_1000,1.2379,4.554865424430641,0.9316770186335477,5.48654244306418,True
17,2026-04-20,95.12,9,900,60.0,2026-05-15,18,25,98435.25000000003,99938.25000000003,96.0,2026-04-24,4.41,9.0,3969.0,print_1000,1.189,4.636248948696384,0.925147182506314,5.561396131202686,True
18,2026-04-27,124.2,7,700,60.0,2026-05-15,18,18,105563.70000000003,106000.70000000003,128.0,2026-05-01,6.4,7.0,4480.0,print_1000,1.4953,5.152979066022544,3.059581320450877,8.212560386473427,True
19,2026-05-04,133.2,7,700,60.0,2026-05-15,18,11,111565.15000000004,111657.171320064,135.0,2026-05-08,6.79,7.0,4753.0,print_1000,1.2895,5.0975975975975985,1.3513513513513598,6.448948948948957,True
20,2026-05-11,181.59,6,600,60.0,2026-05-15,18,4,8904.250000000038,107442.25000000004,187.0,2026-05-15,10.5,6.0,6300.0,print_1000,1.5209,5.78225673219891,2.979238944875817,8.761495677074727,False
21,2026-05-18,158.58,5,500,155.0,2026-08-21,5,95,94777.75000000004,109902.75000000004,168.0,2026-05-22,8.6,5.0,4300.0,print_1000,1.7923,5.423130281246058,5.940219447597417,11.363349728843477,True
22,2026-05-26,219.84,4,400,155.0,2026-08-21,5,87,10877.150000000043,113301.15000000004,227.5,2026-05-29,10.1,4.0,4040.0,print_near,1.7497,4.594250363901018,3.484352256186307,8.078602620087336,True
23,2026-06-01,212.46,4,400,155.0,2026-08-21,5,81,15386.550000000043,107205.55000000005,222.5,2026-06-05,11.28,4.0,4512.0,print_1000,1.6053000000000002,5.309234679469077,4.725595406194105,10.03483008566318,True
24,2026-06-08,203.37,4,400,155.0,2026-08-21,5,74,108393.95000000004,122106.45000000004,222.5,2026-06-12,10.03,4.0,4011.9999999999995,print_1000,1.988,4.931897526675518,9.406500467128875,14.338397993804394,True
25,2026-06-15,265.98,4,400,155.0,2026-08-21,5,67,117595.35000000003,127632.85000000003,275.0,2026-06-18,14.0,4.0,5600.0,print_1000,1.8663,5.263553650650424,3.3912324234904867,8.654786074140905,True
26,2026-06-22,298.7,3,300,155.0,2026-08-21,5,60,32331.900000000034,110986.90000000004,325.0,2026-06-26,14.5,3.0,4350.0,print_1000,2.0106,4.854368932038835,8.804820890525612,13.65918982256445,True
27,2026-06-29,209.15,4,400,155.0,2026-08-21,5,53,16221.800000000034,104908.80000000003,220.0,2026-07-02,12.02,4.0,4808.0,print_1000,1.9229,5.747071479799186,5.187664355725552,10.934735835524739,False
