week,monday,spot_1000_high,lots,shares,put_strike,put_expiry,put_qty,put_dte,cash_after,equity,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit
1,2026-01-02,47.78,18,1800,47.0,2026-02-20,18,49,2833.2999999999993,99664.3,,,,,,,,,,,
2,2026-01-05,50.05,18,1800,47.0,2026-02-20,18,46,4679.199999999999,104129.2,51.0,2026-01-09,1.56,18.0,2808.0,print_1000,0.991,3.116883116883117,1.8981018981019115,5.0149850149850215,False
3,2026-01-12,54.12,18,1800,47.0,2026-02-20,18,39,43492.2,105602.2,,,,,,,,,,,
4,2026-01-20,60.54,17,1700,47.0,2026-02-20,18,31,2852.699999999997,107466.7,,,,,,,,,,,
5,2026-01-26,61.74,17,1700,47.0,2026-02-20,18,25,2852.699999999997,110415.7,,,,,,,,,,,
6,2026-02-02,62.96,17,1700,47.0,2026-02-20,18,18,9131.649999999998,116202.65,63.0,2026-02-06,3.7,17.0,6290.0,print_1000,1.2799,5.876747141041932,0.06353240152476847,5.940279542566708,False
7,2026-02-09,62.65,18,1800,47.0,2026-02-20,18,11,11777.049999999992,122882.04999999999,63.5,2026-02-13,2.85,18.0,5130.0,print_1000,1.2533,4.549082202713488,1.3567438148443856,5.905826017557864,True
8,2026-02-17,60.05,19,1900,47.0,2026-02-20,19,3,8429.499999999993,130811.0,,,,,,,,,,,
9,2026-02-23,67.07,16,1600,60.0,2026-05-15,16,81,6099.249999999989,130618.74999999999,,,,,,,,,,,
10,2026-03-02,60.58,16,1600,60.0,2026-05-15,16,74,11688.84999999999,125191.84999999999,61.0,2026-03-06,3.5,16.0,5600.0,print_1000,1.3503,5.7774843182568505,0.6932981181908326,6.470782436447675,False
11,2026-03-09,45.45,18,1800,60.0,2026-05-15,18,67,3198.4499999999953,123833.95,46.5,2026-03-13,3.1,18.0,5580.0,print_1000,1.4925000000000002,6.820682068206821,2.310231023102305,9.130913091309123,False
12,2026-03-16,55.26,18,1800,60.0,2026-05-15,18,60,3198.4499999999953,128047.95,,,,,,,,,,,
13,2026-03-23,55.89,18,1800,60.0,2026-05-15,18,53,7866.749999999995,128149.25,56.5,2026-03-27,2.6,18.0,4680.0,print_1000,1.31074,4.651994990159242,1.0914295938450502,5.743424584004293,True
14,2026-03-30,43.89,19,1900,60.0,2026-05-15,19,46,30857.149999999998,121336.65,44.0,2026-04-02,2.51,19.0,4769.0,print_1000,1.3162,5.718842560947824,0.25062656641603454,5.969469127363863,False
15,2026-04-06,55.0,17,1700,60.0,2026-05-15,19,39,61447.85,116915.85,,,,,,,,,,,
16,2026-04-13,77.28,13,1300,60.0,2026-05-15,19,32,6245.049999999999,133046.55,,,,,,,,,,,
17,2026-04-20,95.12,13,1300,60.0,2026-05-15,19,25,3656.249999999999,171304.25,,,,,,,,,,,
18,2026-04-27,124.2,13,1300,60.0,2026-05-15,19,18,3656.249999999999,173537.25000000003,,,,,,,,,,,
19,2026-05-04,133.2,13,1300,60.0,2026-05-15,19,11,137411.4,188103.91165560667,135.0,2026-05-08,6.79,13.0,8827.0,print_1000,1.2895,5.0975975975975985,1.3513513513513598,6.448948948948957,True
20,2026-05-11,181.59,10,1000,60.0,2026-05-15,19,4,10294.899999999994,174524.9,,,,,,,,,,,
21,2026-05-18,158.58,8,800,155.0,2026-08-21,8,95,9141.099999999984,178229.09999999998,168.0,2026-05-22,8.6,8.0,6880.0,print_1000,1.7923,5.423130281246058,5.940219447597417,11.363349728843477,True
22,2026-05-26,219.84,8,800,155.0,2026-08-21,8,87,20006.999999999985,189611.5,,,,,,,,,,,
23,2026-06-01,212.46,7,700,155.0,2026-08-21,8,81,20006.999999999985,177844.0,,,,,,,,,,,
24,2026-06-08,203.37,7,700,155.0,2026-08-21,8,74,26174.349999999988,203937.84999999998,222.5,2026-06-12,10.03,7.0,7021.0,print_1000,1.988,4.931897526675518,9.406500467128875,14.338397993804394,True
25,2026-06-15,265.98,7,700,155.0,2026-08-21,8,67,23963.74999999997,225975.25,,,,,,,,,,,
26,2026-06-22,298.7,7,700,155.0,2026-08-21,8,60,23963.74999999997,197133.74999999997,,,,,,,,,,,
27,2026-06-29,209.15,8,800,155.0,2026-08-21,8,53,12659.04999999997,183523.04999999996,220.0,2026-07-02,12.02,8.0,9616.0,print_1000,1.9229,5.747071479799186,5.187664355725552,10.934735835524739,False
