mode,year,ret,premium,med_prem,dead_weeks,med_otm,max_otm,assigned,pnl_sh,pnl_c,pnl_p
re-strike every Monday (the rule),2022,-39.70876807876566,142660.0,4.745173211643349,0.0,2.164192457384506,6.995884773662553,20,-88753.0,9082.999999999998,41972.831921234334
re-strike every Monday (the rule),2023,-16.567748373770144,171750.0,3.271295139466485,0.0,1.3787676847572539,4.166666666666674,23,113894.00000000001,-62670.000000000015,-64495.14837377015
re-strike every Monday (the rule),2024,-33.52815164404295,145636.96670787546,3.870967741935484,0.0,0.9206798866855603,10.516934046345817,25,9778.99999999997,-15859.033292124512,-26196.668351918448
re-strike every Monday (the rule),2025,-37.61822200960031,116971.24535668042,3.9095907147220528,0.0,0.917431192660545,46.1988304093567,25,-16940.0,9487.245356680452,-28750.067366280717
re-strike every Monday (the rule),2026,-11.368199999999973,121009.0,5.011403308792304,0.0,1.3540475830978727,9.406500467128875,15,106157.00000000006,-62172.000000000015,-54935.0
sticky strike,2022,-50.844991446532006,26586.646131871184,0.18930430667297682,66.66666666666666,39.551964744766806,151.93798449612405,5,-100926.0,8057.64613187119,43115.31242159682
sticky strike,2023,38.27825450950547,92322.0,1.4521984671238404,48.78048780487805,7.34220695577501,47.80835881753311,10,132173.0,-18213.00000000003,-73069.44549049456
sticky strike,2024,-23.057096473966368,75896.0,1.1896178803172315,47.05882352941176,10.0594320933304,131.72905525846704,8,-2624.9999999999854,5194.999999999998,-24516.796473966348
sticky strike,2025,5.7433106345214355,55740.03029873074,0.8897213767267619,53.333333333333336,11.30899376669634,75.80144777662876,8,25931.0,17688.03029873073,-36657.76966420929
sticky strike,2026,18.432700000000025,115025.0,4.583598113061292,23.076923076923077,3.225406871970682,55.39086779823093,13,134017.00000000003,-53865.000000000015,-61290.0
sticky + combo roll,2022,-53.07887630131813,19157.646131871184,0.17458130806750982,76.47058823529412,45.242891747883235,151.93798449612405,1,-104165.0,9007.146131871184,43090.177566810686
sticky + combo roll,2023,0.2790536079525907,53472.0,0.7402422611036339,57.57575757575758,10.14686248331107,42.6220515633571,9,134773.0,-64588.000000000044,-67459.69639204736
sticky + combo roll,2024,-26.194375484138575,49300.0,0.5637982195845697,58.536585365853654,15.366866635902166,103.20855614973263,4,9804.0,-12302.0,-22671.925484138577
sticky + combo roll,2025,13.144926819144786,38396.65952839725,0.5700894976297977,58.333333333333336,11.60813144957703,180.11204481792714,4,43343.0,10785.659528397264,-39757.63270925248
sticky + combo roll,2026,43.35655,56479.0,4.505314966259714,28.57142857142857,6.161599085500836,43.540669856459324,5,183457.0,-77653.00000000003,-62087.0
