final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
449245.0,199.5,27.7,-86.8,88.1,2449,445,0.0,1.0,1,none,half_cash
185995.0,24.0,4.9,-91.3,100.0,2449,445,0.0,1.0,1,stop,full
151716.0,1.1,0.3,-80.3,87.8,2346,419,-97300.0,1.0,1,soxs_recover,half_cash
337653.0,125.1,19.8,-76.4,88.4,2409,438,-137030.0,1.0,1,soxs_fixed5,half_cash
145133.0,-3.2,-0.7,-50.1,91.4,1851,312,-279155.0,1.0,1,soxs_lot,half_cash
384569.0,156.4,23.3,-83.2,81.7,1882,243,0.0,1.0,2,none,half_cash
171106.0,14.1,3.0,-93.5,100.0,1882,243,0.0,1.0,2,stop,full
204070.0,36.0,7.1,-76.2,81.9,1874,240,-93249.0,1.0,2,soxs_recover,half_cash
294125.0,96.1,16.2,-74.1,81.9,1884,242,-103328.0,1.0,2,soxs_fixed5,half_cash
102767.0,-31.5,-8.1,-60.2,86.8,1524,195,-149670.0,1.0,2,soxs_lot,half_cash
400078.0,166.7,24.4,-82.1,76.2,1609,157,0.0,1.0,3,none,half_cash
228303.0,52.2,9.8,-91.5,100.0,1609,157,0.0,1.0,3,stop,full
183346.0,22.2,4.6,-77.9,76.8,1604,157,-68644.0,1.0,3,soxs_recover,half_cash
283751.0,89.2,15.2,-70.1,76.6,1613,157,-80608.0,1.0,3,soxs_fixed5,half_cash
78774.0,-47.5,-13.4,-66.3,83.6,1498,146,-140549.0,1.0,3,soxs_lot,half_cash
540103.0,260.1,33.0,-76.7,71.8,1519,121,0.0,1.0,4,none,half_cash
143574.0,-4.3,-1.0,-93.7,100.0,1519,121,0.0,1.0,4,stop,full
195583.0,30.4,6.1,-71.7,71.9,1514,121,-99042.0,1.0,4,soxs_recover,half_cash
250247.0,66.8,12.1,-68.4,73.4,1519,121,-135963.0,1.0,4,soxs_fixed5,half_cash
79883.0,-46.7,-13.1,-60.2,79.8,1483,116,-191943.0,1.0,4,soxs_lot,half_cash
356329.0,137.6,21.2,-76.5,68.7,1363,97,0.0,1.0,5,none,half_cash
231750.0,54.5,10.2,-91.4,100.0,1363,97,0.0,1.0,5,stop,full
86382.0,-42.4,-11.6,-84.9,69.3,1363,97,-64192.0,1.0,5,soxs_recover,half_cash
246302.0,64.2,11.7,-64.9,69.6,1363,97,-97656.0,1.0,5,soxs_fixed5,half_cash
99860.0,-33.4,-8.7,-60.8,76.7,1352,96,-133715.0,1.0,5,soxs_lot,half_cash
287453.0,91.6,15.6,-80.5,65.1,1128,76,0.0,1.0,7,none,half_cash
229496.0,53.0,9.9,-91.4,100.0,1128,76,0.0,1.0,7,stop,full
277017.0,84.7,14.6,-72.8,64.6,1125,76,-39230.0,1.0,7,soxs_recover,half_cash
492642.0,228.4,30.3,-59.4,64.4,1128,76,-71728.0,1.0,7,soxs_fixed5,half_cash
142972.0,-4.7,-1.1,-60.1,72.5,1121,75,-139872.0,1.0,7,soxs_lot,half_cash
440957.0,194.0,27.1,-87.1,88.4,1993,468,0.0,1.25,1,none,half_cash
225512.0,50.3,9.5,-90.5,100.0,1993,468,0.0,1.25,1,stop,full
156556.0,4.4,1.0,-81.4,88.1,1921,437,-91024.0,1.25,1,soxs_recover,half_cash
347251.0,131.5,20.5,-75.4,88.7,1937,453,-138082.0,1.25,1,soxs_fixed5,half_cash
186866.0,24.6,5.0,-43.5,91.5,1432,297,-347295.0,1.25,1,soxs_lot,half_cash
373378.0,148.9,22.5,-82.6,81.8,1568,248,0.0,1.25,2,none,half_cash
229475.0,53.0,9.9,-91.3,100.0,1568,248,0.0,1.25,2,stop,full
167774.0,11.8,2.5,-80.3,81.8,1547,248,-88544.0,1.25,2,soxs_recover,half_cash
