variant,total_pnl,cycle_wins,cycle_win_pnl,stalls,hedged_lot_pnl,put_spend,put_pnl,max_open_hedged,avg_open_hedged,max_capital,max_dd_$,ret_on_max_cap,final_liq_pnl,params
1pct/5d cc justOTM 30d,17315.0,1363,88128.0,97,-61915.0,0.0,35721.0,4,1.8,81849.0,-12917.0,21.2,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc'}"
2pct/5d cc justOTM 30d,22293.0,730,88401.0,100,-57210.0,0.0,37877.0,4,1.85,81849.0,-13177.0,27.2,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc'}"
1pct/5d cc ITM5 30d,17476.0,1363,88128.0,97,-61754.0,0.0,43053.0,4,1.8,81849.0,-12115.0,21.4,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.05}"
1pct/5d cc ITM10 30d,17084.0,1363,88128.0,97,-62146.0,0.0,50706.0,4,1.8,81849.0,-11715.0,20.9,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1}"
1pct/5d cc ITM20 30d,14449.0,1363,88128.0,97,-64781.0,0.0,68881.0,4,1.8,81849.0,-10734.0,17.7,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.2}"
1pct/5d cc ITM10 7d,4706.0,1363,88128.0,97,-74524.0,0.0,37790.0,2,0.58,54566.0,-14356.0,8.6,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}"
1pct/5d cc ITM20 7d,4662.0,1363,88128.0,97,-74568.0,0.0,61012.0,2,0.58,54566.0,-12656.0,8.5,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.2, 'dte_target': 7}"
1pct/5d cc justOTM 7d,6235.0,1363,88128.0,97,-72995.0,0.0,20446.0,2,0.58,54566.0,-15501.0,11.4,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'dte_target': 7}"
2pct/5d cc ITM10 7d,7629.0,730,88401.0,100,-71874.0,0.0,40176.0,2,0.59,54566.0,-14616.0,14.0,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}"
2pct/5d cc ITM20 7d,7231.0,730,88401.0,100,-72272.0,0.0,64894.0,2,0.59,54566.0,-12916.0,13.3,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.2, 'dte_target': 7}"
3pct/5d cc ITM10 7d,6589.0,509,85841.0,106,-70817.0,0.0,41527.0,2,0.64,54566.0,-14472.0,12.1,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}"
1pct/5d cc @entry 30d,14229.0,1363,88128.0,97,-65001.0,0.0,16130.0,4,1.8,81849.0,-21822.0,17.4,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'strike_ref': 'entry'}"
2pct/5d cc @entry 30d,18440.0,730,88401.0,100,-61063.0,0.0,18642.0,4,1.85,81849.0,-22067.0,22.5,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc', 'strike_ref': 'entry'}"
