variant,total_pnl,cycle_wins,cycle_win_pnl,stalls,hedged_lot_pnl,put_spend,put_pnl,max_open_hedged,avg_open_hedged,max_capital,max_dd_$,ret_on_max_cap,final_liq_pnl,params,target,stall,mode
t1_s3_none,44894.0,1609,95812.0,157,-42020.0,0.0,0.0,6,2.86,90300.0,-32808.0,49.7,-8898.0,"{'target': 0.01, 'stall_days': 3, 'mode': 'none'}",1.0,3,none
t1_s3_stop,10161.0,1609,95812.0,157,-76753.0,0.0,0.0,0,0.0,30089.0,-12065.0,33.8,-8898.0,"{'target': 0.01, 'stall_days': 3, 'mode': 'stop'}",1.0,3,stop
t1_s3_put_30d,29907.0,1615,95826.0,156,-57021.0,64532.0,-53285.0,6,2.93,90300.0,-29673.0,33.1,-8898.0,"{'target': 0.01, 'stall_days': 3, 'mode': 'put'}",1.0,3,put_30d
t1_s3_cc_otm30,19710.0,1609,95812.0,157,-67204.0,0.0,58128.0,6,2.95,90300.0,-15994.0,21.8,-8898.0,"{'target': 0.01, 'stall_days': 3, 'mode': 'cc'}",1.0,3,cc_otm30
t1_s3_cc_itm10_7d,7458.0,1609,95812.0,157,-79456.0,0.0,61649.0,3,0.96,54566.0,-15388.0,13.7,-8898.0,"{'target': 0.01, 'stall_days': 3, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",1.0,3,cc_itm10_7d
t1_s5_none,24450.0,1363,88128.0,97,-54780.0,0.0,0.0,4,1.76,81849.0,-30062.0,29.9,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'none'}",1.0,5,none
t1_s5_stop,8297.0,1363,88128.0,97,-70933.0,0.0,0.0,0,0.0,30089.0,-12528.0,27.6,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'stop'}",1.0,5,stop
t1_s5_put_30d,17119.0,1363,88128.0,97,-62111.0,40387.0,-31670.0,4,1.8,81849.0,-27152.0,20.9,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'put'}",1.0,5,put_30d
t1_s5_cc_otm30,17315.0,1363,88128.0,97,-61915.0,0.0,35721.0,4,1.8,81849.0,-12917.0,21.2,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc'}",1.0,5,cc_otm30
t1_s5_cc_itm10_7d,4706.0,1363,88128.0,97,-74524.0,0.0,37790.0,2,0.58,54566.0,-14356.0,8.6,-8898.0,"{'target': 0.01, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",1.0,5,cc_itm10_7d
t1_s10_none,4892.0,975,61039.0,54,-44310.0,0.0,0.0,3,0.98,60178.0,-23972.0,8.1,-11837.0,"{'target': 0.01, 'stall_days': 10, 'mode': 'none'}",1.0,10,none
t1_s10_stop,9099.0,975,61039.0,54,-40103.0,0.0,0.0,0,0.0,30089.0,-11986.0,30.2,-11837.0,"{'target': 0.01, 'stall_days': 10, 'mode': 'stop'}",1.0,10,stop
