variant,total_pnl,cycle_wins,cycle_win_pnl,stalls,hedged_lot_pnl,put_spend,put_pnl,max_open_hedged,avg_open_hedged,max_capital,max_dd_$,ret_on_max_cap,final_liq_pnl
USER_SPEC 1%/5d/putOTM0,17119.0,1363.0,88128.0,97.0,-62111.0,40387.0,-31670.0,4.0,1.8,81849.0,-27152.0,20.9,-8898.0
no_hedge control,24450.0,1363.0,88128.0,97.0,-54780.0,0.0,0.0,4.0,1.76,81849.0,-30062.0,29.9,-8898.0
stop_reset control,8297.0,1363.0,88128.0,97.0,-70933.0,0.0,0.0,0.0,0.0,30089.0,-12528.0,27.6,-8898.0
early_unwind,13210.0,1363.0,88128.0,97.0,-66020.0,40387.0,-26077.0,4.0,1.12,54566.0,-16176.0,24.2,-8898.0
put 5% OTM,17069.0,1363.0,88128.0,97.0,-62161.0,32232.0,-24826.0,4.0,1.8,81849.0,-27692.0,20.9,-8898.0
put 10% OTM,17180.0,1363.0,88128.0,97.0,-62050.0,26233.0,-19859.0,4.0,1.8,81849.0,-28102.0,21.0,-8898.0
target 2%,29556.0,730.0,88401.0,100.0,-49947.0,42736.0,-34019.0,4.0,1.85,81849.0,-27412.0,36.1,-8898.0
target 3%,23355.0,509.0,85841.0,106.0,-54051.0,44178.0,-35473.0,4.0,1.98,81849.0,-27268.0,28.5,-8435.0
stall 3d,29907.0,1615.0,95826.0,156.0,-57021.0,64532.0,-53285.0,6.0,2.93,90300.0,-29673.0,33.1,-8898.0
stall 10d,4780.0,975.0,61039.0,54.0,-44422.0,21391.0,-15812.0,3.0,1.0,60178.0,-20742.0,7.9,-11837.0
2%/10d,4645.0,516.0,60379.0,54.0,-44138.0,21106.0,-15528.0,3.0,1.0,60178.0,-20742.0,7.7,-11596.0
stop_reset 2%/10d,10246.0,516.0,60379.0,54.0,-38537.0,0.0,0.0,0.0,0.0,30089.0,-11986.0,34.1,-11596.0
covered_call justOTM,17315.0,1363.0,88128.0,97.0,-61915.0,0.0,35721.0,4.0,1.8,81849.0,-12917.0,21.2,-8898.0
covered_call 5% OTM,16078.0,1363.0,88128.0,97.0,-63152.0,0.0,29503.0,4.0,1.8,81849.0,-13832.0,19.6,-8898.0
covered_call 2%/10d,8517.0,516.0,60379.0,54.0,-40266.0,0.0,20185.0,3.0,1.0,60178.0,-14577.0,14.2,-11596.0
buy_hold_100sh,10898.0,,,,,,,,,30089.0,-11986.0,,
