year,mny_b,dte_b,n_bars,n_traded,n_priced,n_stale,n_stale_moved
2022,10-20%,0-1,117827,40048,38568,79038,36239
2022,10-20%,15-30,489777,56122,54184,430052,248252
2022,10-20%,2-3,107201,41352,40129,66388,28351
2022,10-20%,31-60,364098,29696,28341,318577,198642
2022,10-20%,4-7,114255,42500,41224,72547,32486
2022,10-20%,60+,178688,12390,10470,166191,113306
2022,10-20%,8-14,266078,58566,56748,207031,101681
2022,2-5%,0-1,38450,25088,24976,13474,3972
2022,2-5%,15-30,186467,27952,26618,158060,83629
2022,2-5%,2-3,34623,22325,22175,12420,3339
2022,2-5%,31-60,148094,14402,13004,126361,77981
2022,2-5%,4-7,37948,21159,20999,16896,5641
2022,2-5%,60+,65803,5916,4888,59937,40057
2022,2-5%,8-14,89976,29506,29004,60393,23950
2022,5-10%,0-1,63239,33549,33105,30119,10948
2022,5-10%,15-30,286769,36673,35094,248105,138598
2022,5-10%,2-3,58116,30844,30419,27520,9492
2022,5-10%,31-60,218712,18923,17372,188826,118425
2022,5-10%,4-7,61642,29331,28795,32519,12292
2022,5-10%,60+,99496,7371,5935,92362,64288
2022,5-10%,8-14,147673,40022,38973,107253,47825
2022,>20%,0-1,314249,27809,25492,286363,194202
2022,>20%,15-30,1327022,88372,85065,1223630,804918
2022,>20%,2-3,308237,36271,34119,271632,167984
2022,>20%,31-60,985685,61769,59872,880874,579739
2022,>20%,4-7,336865,40381,38178,296011,191856
2022,>20%,60+,885065,46665,44313,830592,576901
2022,>20%,8-14,736934,66295,63298,661976,422649
2022,ATM<2%,0-1,25636,19525,19473,6163,1398
2022,ATM<2%,15-30,127833,24489,23186,103388,48349
2022,ATM<2%,2-3,22492,17366,17307,5181,1087
2022,ATM<2%,31-60,105154,13034,11740,87002,47391
2022,ATM<2%,4-7,25175,16497,16381,8783,2618
2022,ATM<2%,60+,46719,5513,4623,41422,24677
2022,ATM<2%,8-14,60932,24984,24627,36040,11683
2023,10-20%,0-1,116058,32375,32302,83281,23818
2023,10-20%,15-30,530020,68926,68752,458183,179537
2023,10-20%,2-3,106423,35872,35846,70382,15637
