exp,year,n_bars,pct_priced,n_episodes,n_drift_moved,atm_pct_stale_moved
20220107,2022,30731,19.752041912075754,2418,945,14.543618230021464
20220114,2022,65649,19.43670124449725,5743,2708,22.132786195286194
20220121,2022,221279,8.336534420347164,8852,5509,41.316177826969195
20220128,2022,120791,14.585523755908966,7197,5000,39.05082046972444
20220204,2022,135880,12.633205769796879,6956,4669,46.64392691915628
20220211,2022,136591,12.090840538542071,7139,4432,43.13063563274552
20220218,2022,241977,13.3777177169731,14370,8970,38.27611913805956
20220225,2022,172141,11.049081857314643,8046,5333,46.00158353127474
20220304,2022,173563,11.179802146770914,8090,5511,44.62607962923952
20220311,2022,146071,12.242676506630337,7065,4559,48.67407232332781
20220318,2022,250351,13.408774081190009,14938,9581,40.23575796588349
20220325,2022,165979,11.76233137927087,8091,4883,44.06973784678035
20220401,2022,165110,12.84174186905699,9027,5016,38.31811263318113
20220408,2022,153023,13.09476353227946,8427,4725,39.38510147040953
20220414,2022,197816,14.527641848990983,13161,7516,35.37137869404381
20220422,2022,172299,11.65241818002426,8678,4819,43.42828995977342
20220429,2022,183122,13.145880888151067,10867,6251,37.2312554580613
20220506,2022,152707,14.383754510271304,9644,6286,34.697996251982126
20220513,2022,146150,14.050632911392405,8608,6070,37.17046096921733
20220520,2022,632316,9.651661511016643,30247,20121,48.37093138288383
20220527,2022,173010,13.378417432518352,10060,6515,39.8000639065139
20220603,2022,145913,12.096249134758382,7905,4833,38.9916499312969
20220610,2022,133352,12.512748215249864,7623,4256,41.41154359760621
20220617,2022,209192,14.905923744693869,15352,9642,31.122377785013256
20220624,2022,152944,10.397923422952191,7487,4752,44.4247001332741
20220701,2022,142516,11.226809621375846,7180,4433,40.8726625111309
20220708,2022,103411,12.24047731866049,5228,3137,36.74311926605505
20220715,2022,148046,15.999081366602272,10528,5908,20.80255844056956
20220722,2022,114471,14.352980230800814,6360,3374,29.5512082853855
20220729,2022,125452,15.753435576953736,8010,3896,20.061728395061728
20220805,2022,117394,15.197539908342844,7842,3798,22.955335475831312
20220812,2022,113523,14.97053460532227,7426,3575,24.068117313150424
20220819,2022,744259,8.452165173682817,32488,19392,45.40210812433825
20220826,2022,134142,14.446631181881886,8825,4081,27.44781688010487
20220902,2022,115340,14.953181897000173,7218,3571,28.41237113402062
20220909,2022,105623,13.655169802031756,6102,3281,31.001198662544947
20220916,2022,164478,18.01335132966111,13951,6594,14.362533608453699
20220923,2022,120317,14.066175187213778,7199,3748,31.870624837956964
20220930,2022,123161,14.874838625863706,7894,4243,26.367146367146365
20221007,2022,102305,15.294462636234787,6137,3379,28.75931608943446
20221014,2022,93299,17.159883814403155,5974,3419,28.88491708867044
20221021,2022,169929,17.243672357278626,12745,6929,13.300056356171
20221028,2022,113444,16.385176827333307,7513,4396,26.399716513111272
20221104,2022,93694,16.810041197942237,6452,3762,24.373243395165822
20221111,2022,87453,18.141172972911164,6175,3441,22.168087697929355
20221118,2022,619202,9.431171087948682,28666,17383,41.934421602295714
20221125,2022,110648,15.322464030077363,7524,4128,23.70539798719122
