date,spot,open_rungs,premium_at_risk,book_delta,shares,cash,opt_mv,equity,costs_cum
2024-01-02,28.01,1,14960.0,329.7,-330,144245.49,14820.0,149822.19,37.41
2024-01-03,26.21,1,14960.0,-215.3,215,129955.59,14495.0,150085.74,42.86
2024-01-04,25.51,1,14960.0,-430.0,430,124468.79,14664.0,150102.09,45.01
2024-01-05,25.94,1,14960.0,-352.8,353,126464.71,14053.0,149674.53,46.47
2024-01-08,28.47,1,14960.0,425.1,-425,148605.84,13663.0,150169.09,55.0
2024-01-09,28.46,1,14960.0,420.9,-421,148490.98,13754.0,150263.32,56.02
2024-01-10,28.17,1,14960.0,339.6,-340,146207.81,13299.0,149929.01,57.42
2024-01-11,28.46,1,14960.0,428.5,-428,148710.76,13052.0,149581.88,58.95
2024-01-12,28.07,1,14960.0,308.4,-308,145340.76,12753.0,149448.2,60.55
2024-01-16,29.23,1,14960.0,653.6,-654,155450.54,13182.0,149516.12,64.35
2024-01-17,28.42,1,14960.0,410.3,-410,148513.62,12909.0,149770.42,66.79
2024-01-18,31.19,1,14960.0,1203.0,-1203,173238.54,15262.0,150978.97,75.54
2024-01-19,34.9,1,14960.0,1870.2,-1870,196509.41,21476.0,152722.41,82.97
2024-01-22,35.25,1,14960.0,1942.5,-1942,199045.96,22048.0,152638.46,84.42
2024-01-23,35.91,1,14960.0,2112.0,-2112,205148.61,22737.0,152043.69,86.47
2024-01-24,37.49,1,14960.0,2184.8,-2185,207883.93,26520.0,152488.28,87.92
2024-01-25,37.13,1,14960.0,2162.2,-2162,207028.83,25792.0,152545.77,89.03
2024-01-26,34.01,1,14960.0,1836.4,-1836,195938.31,18928.0,152423.95,92.29
2024-01-29,35.09,1,14960.0,2068.6,-2069,204111.68,20358.0,151868.47,94.89
2024-01-30,33.51,1,14960.0,1826.2,-1826,195966.32,17407.0,152184.06,97.32
2024-01-31,32.06,1,14960.0,1596.4,-1596,188590.22,14313.0,151735.46,99.62
2024-02-01,32.45,1,14960.0,1728.7,-1729,192904.26,14534.0,151332.21,101.43
2024-02-02,33.68,1,14960.0,2064.4,-2064,204183.34,16302.0,150969.82,105.15
2024-02-05,35.11,1,14960.0,2089.1,-2089,205059.93,20527.0,152242.14,106.31
2024-02-06,33.83,1,14960.0,2059.5,-2059,204043.88,16822.0,151209.91,107.46
2024-02-07,35.38,1,14960.0,2474.9,-2475,218757.32,19071.0,150262.82,112.1
2024-02-08,37.16,1,14960.0,2355.3,-2355,214296.52,24713.0,151497.72,113.7
2024-02-09,39.35,1,14960.0,2566.5,-2566,222597.0,27911.0,149535.9,116.07
2024-02-12,39.15,1,14960.0,2566.2,-2566,222597.0,28873.0,151011.1,116.07
2024-02-13,36.76,1,14960.0,2557.9,-2558,222301.88,22828.0,151097.8,117.11
2024-02-14,39.21,1,14960.0,2507.2,-2507,220300.91,29224.0,151225.44,118.37
2024-02-15,39.05,1,14960.0,2586.5,-2586,223384.37,28496.0,150897.07,119.86
2024-02-16,38.32,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-20,36.4,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-21,36.14,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-22,41.46,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-23,40.05,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-26,41.23,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-27,41.08,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-28,39.77,0,0.0,0.0,0,151094.99,0.0,151094.99,145.72
2024-02-29,42.8,1,14787.0,173.9,-174,143733.58,13567.5,149853.88,167.33
2024-03-01,48.34,1,14787.0,644.1,-644,166447.96,17400.0,152717.0,172.75
2024-03-04,49.76,1,14787.0,733.9,-734,170924.77,18720.0,153120.93,174.34
2024-03-05,46.84,1,14787.0,529.2,-529,161320.52,16650.0,153192.16,176.39
2024-03-06,50.21,1,14787.0,739.5,-740,171912.39,19972.5,154729.49,178.83
2024-03-07,55.32,1,14787.0,941.7,-942,183084.67,26235.0,157208.23,181.19
2024-03-08,48.83,1,14787.0,645.1,-645,168579.19,20062.5,157146.34,184.16
2024-03-11,46.71,1,14787.0,508.7,-509,162224.95,18000.0,156449.56,185.84
2024-03-12,49.66,1,14787.0,735.8,-736,173495.14,18000.0,154945.38,188.47
2024-03-13,45.95,1,14787.0,460.5,-460,160810.18,17062.5,156735.68,191.23
2024-03-14,43.53,2,29027.0,408.8,-409,144335.9,29862.5,156394.63,205.48
2024-03-15,42.67,2,29027.0,302.9,-303,139811.35,29637.5,156519.84,207.01
2024-03-18,42.48,2,29027.0,248.4,-248,137473.67,27825.0,154763.63,208.29
2024-03-19,41.34,2,29027.0,33.3,-33,128583.42,25487.5,152706.7,210.44
2024-03-20,43.45,2,29027.0,348.1,-348,142266.59,25475.0,152620.99,214.02
2024-03-21,46.29,2,29027.0,788.5,-788,162629.14,26222.5,152375.12,219.07
2024-03-22,46.41,2,29027.0,801.9,-802,163277.79,26465.0,152521.97,220.16
2024-03-25,45.87,2,29027.0,731.2,-731,160019.67,25150.0,151638.7,221.51
2024-03-26,44.93,2,29027.0,597.2,-597,153997.38,23480.0,150654.17,223.18
2024-03-27,46.53,2,29027.0,849.4,-849,165720.05,23750.0,149966.08,226.07
2024-03-28,46.53,3,42971.0,1012.1,-1012,159342.78,36640.0,148894.42,243.73
2024-04-01,48.04,3,42971.0,1347.1,-1347,175432.33,37682.5,148404.95,247.58
2024-04-02,45.84,3,42971.0,868.0,-868,153470.18,35210.0,148891.06,252.37
2024-04-03,46.2,3,42971.0,941.0,-941,156841.31,35042.5,148409.61,253.84
2024-04-04,42.24,3,42971.0,-114.2,114,112267.56,32860.0,149942.92,264.39
2024-04-05,43.71,3,42971.0,236.2,-236,127562.07,31370.0,148616.51,268.38
2024-04-08,44.01,3,42971.0,343.8,-344,132313.46,30007.5,147181.52,270.07
2024-04-09,45.42,3,42971.0,778.5,-779,152066.18,30182.5,146866.5,275.05
2024-04-10,43.02,3,42971.0,45.5,-45,120482.16,29507.5,148053.76,282.39
2024-04-11,45.81,3,42971.0,957.5,-958,162296.24,28185.0,146595.26,292.84
2024-04-12,41.36,4,57180.0,-442.0,442,90152.34,42167.5,150600.96,323.74
2024-04-15,39.75,4,57180.0,-1251.4,1251,57986.5,44249.5,151963.25,331.83
2024-04-16,40.53,4,57180.0,-1068.8,1069,65360.81,41688.5,150375.88,333.98
2024-04-17,36.84,4,57180.0,-2305.2,2305,19814.21,49726.5,154456.91,346.34
2024-04-18,34.85,4,57180.0,-3176.8,3177,-10583.71,54225.5,154360.24,355.06
2024-04-19,30.69,3,42393.0,-2279.0,2279,35431.01,52928.5,158302.02,364.96
2024-04-22,32.17,3,42393.0,-2566.6,2567,26163.17,45813.0,154556.56,367.84
2024-04-23,34.16,3,42393.0,-2505.4,2505,28279.71,39056.5,152907.01,369.22
2024-04-24,35.51,3,42393.0,-1837.4,1837,51992.94,38631.5,155856.31,376.67
2024-04-25,37.46,3,42393.0,-1412.9,1413,67871.22,35922.5,156724.7,381.43
2024-04-26,39.75,4,56901.0,-718.2,718,80964.73,45171.0,154676.23,406.17
2024-04-29,40.65,4,56901.0,-469.7,470,91043.13,44274.5,154423.13,408.97
2024-04-30,38.12,4,56901.0,-1308.4,1308,59090.19,47246.5,156197.65,417.35
2024-05-01,34.27,4,56901.0,-2685.8,2686,11852.35,52820.0,156721.57,431.13
2024-05-02,36.55,4,56901.0,-2011.8,2012,36479.51,48032.5,158050.61,438.67
2024-05-03,38.97,4,56901.0,-1332.2,1332,62971.45,42111.0,156990.49,446.33
2024-05-06,41.38,4,56901.0,-662.7,663,90647.1,36438.5,154520.54,453.9
2024-05-07,40.3,4,56901.0,-1119.2,1119,72265.74,36033.0,153394.44,458.46
2024-05-08,40.4,4,56901.0,-1293.6,1294,65193.86,33899.5,151370.96,460.34
2024-05-09,39.93,4,56901.0,-1519.3,1519,56207.36,34225.5,151086.53,462.59
2024-05-10,41.02,5,71493.0,-831.8,832,69767.53,45076.0,148972.17,491.16
2024-05-13,41.3,5,71493.0,-1004.8,1005,62620.77,43853.5,147980.77,493.02
2024-05-14,43.31,5,71493.0,223.6,-224,115834.77,44492.5,150625.83,507.01
2024-05-15,47.01,5,71493.0,3058.9,-3059,249075.57,45828.5,151100.48,539.56
2024-05-16,46.25,5,71493.0,2567.6,-2568,226361.91,42900.0,150491.91,544.47
2024-05-17,45.43,3,43309.0,1841.9,-1842,196686.47,37565.5,150569.91,551.73
2024-05-20,48.42,3,43309.0,2512.5,-2512,229120.15,45249.0,152738.11,559.45
2024-05-21,47.92,3,43309.0,2555.1,-2555,231179.43,41565.0,150308.83,560.73
2024-05-22,49.56,3,43309.0,2723.2,-2723,239503.41,47372.0,151923.53,562.83
2024-05-23,48.82,3,43309.0,2858.0,-2858,246092.23,42062.0,148626.67,564.71
2024-05-24,51.54,4,57529.0,3495.7,-3496,264731.74,63053.5,147601.4,587.72
2024-05-28,54.17,4,57529.0,3755.2,-3755,278758.74,76264.0,151614.39,590.75
2024-05-29,50.85,4,57529.0,3736.9,-3737,277842.35,61026.0,148841.9,591.84
2024-05-30,49.78,4,57529.0,3230.6,-3231,252648.61,59572.5,151381.93,596.9
2024-05-31,48.55,3,43320.0,1931.3,-1931,198035.61,44827.5,149113.06,609.9
2024-06-03,48.68,3,43320.0,1912.5,-1912,197109.6,43277.5,147310.94,610.99
2024-06-04,47.58,3,43320.0,1787.3,-1787,191160.47,40175.0,146310.01,612.62
2024-06-05,53.78,3,43320.0,2644.4,-2644,237239.93,55145.0,150190.61,622.62
2024-06-06,52.46,3,43320.0,2605.5,-2606,235245.26,52338.5,150873.0,623.81
2024-06-07,51.91,3,43320.0,2677.2,-2677,238929.4,48586.0,148552.33,625.28
2024-06-10,54.12,4,58050.0,3143.5,-3143,249400.88,67007.0,146308.72,643.72
2024-06-11,54.23,4,58050.0,3035.2,-3035,243542.5,69381.5,148335.95,645.26
2024-06-12,58.75,4,58050.0,3751.9,-3752,285657.78,82749.0,147976.78,653.73
2024-06-13,60.74,4,58050.0,3973.4,-3973,299078.7,91903.5,149662.18,656.35
2024-06-14,60.03,4,58050.0,3896.1,-3896,294455.0,89457.5,150035.62,657.74
2024-06-17,62.8,4,58050.0,3956.7,-3957,298284.38,101797.0,151581.78,659.16
2024-06-18,65.19,4,58050.0,4253.7,-4254,317642.25,111079.0,151402.99,662.72
2024-06-20,59.93,4,58050.0,3954.6,-3955,299720.19,87684.5,150381.54,665.71
