entry,expiry,strike,spot0,settle,dte,contracts,entry_iv,realized_vol,opt_cost,opt_pnl,hedge_pnl,costs,n_hedges,total_pnl,pnl_pct_prem
2024-01-02,2024-02-16,28.0,28.04,38.32,45,26,0.7288,0.7613,14960.4,11871.6,-10620.99,145.72,33,1104.89,7.39
2024-02-20,2024-04-19,36.0,36.42,30.69,59,15,0.8571,0.9951,14790.0,-6825.0,9298.07,137.62,44,2335.45,15.79
2024-04-22,2024-06-21,32.0,32.07,58.02,60,15,0.8884,0.7671,14340.0,24690.0,-25115.91,97.63,43,-523.54,-3.65
2024-06-24,2024-08-16,53.0,53.22,39.72,53,10,0.8517,1.5739,13770.0,-490.0,10791.51,90.49,39,10211.02,74.15
2024-08-19,2024-10-18,42.0,41.6,35.28,60,11,0.9619,1.1644,14872.0,-7480.0,10870.85,112.53,45,3278.32,22.04
2024-10-21,2024-12-20,35.0,35.09,27.35,60,13,0.9775,0.89,14365.0,-4420.0,2323.21,105.78,45,-2202.57,-15.33
2024-12-23,2025-02-21,30.0,29.59,28.75,60,16,0.9203,0.9861,14512.0,-12512.0,14855.4,166.63,41,2176.77,15.0
2025-02-24,2025-04-17,27.0,26.76,9.18,52,20,0.9037,2.0941,14760.0,20880.0,-18380.65,146.19,40,2353.16,15.94
2025-04-21,2025-06-20,9.0,8.71,21.21,60,39,1.2772,0.9326,14796.6,32822.4,-34384.21,173.29,41,-1735.1,-11.73
2025-06-23,2025-08-15,22.0,21.58,27.31,53,25,0.9016,0.649,14965.0,-1690.0,-2795.4,138.67,39,-4624.07,-30.9
2025-08-18,2025-10-17,28.0,27.53,40.18,60,20,0.802,0.9155,14420.0,9940.0,-8029.31,137.13,45,1773.56,12.3
2025-10-20,2025-12-19,42.0,42.24,41.79,60,10,1.0269,1.1001,14660.0,-14450.0,13556.52,104.97,45,-998.45,-6.81
2025-12-22,2026-02-20,43.0,43.26,67.11,60,11,0.9119,0.9488,14333.0,12188.0,-9458.62,87.31,42,2642.07,18.43
2026-02-23,2026-04-17,66.0,65.86,94.72,53,6,1.1099,1.2527,13950.0,3282.0,-2495.42,71.16,40,715.42,5.13
2026-04-20,2026-06-18,96.0,95.94,279.47,59,4,1.1109,1.8099,13860.0,59528.0,-54206.41,57.71,43,5263.88,37.98
