config,cycles,total_pnl,pnl_pct_of_premium,mean_cycle_pnl,win_rate_pct,mean_pct_prem,t_stat,pnl_ex_best,opt_pnl,hedge_pnl,costs,premium_paid,hedges,mean_entry_iv,mean_realized_vol,bs_vs_real_delta_mae,qa_recon
stra_t60_daily,15,21771.0,10.0,1451.0,66.7,10.38,1.62,11560.0,127335.0,-103791.0,1773.0,217354.0,625,0.949,1.123,,PASS
stra_t60_bars_1,15,-32573.0,-15.0,-2172.0,20.0,-14.78,-3.54,-35639.0,127335.0,-120498.0,39410.0,217354.0,39308,0.949,1.081,0.0178,PASS
stra_t60_bars_3,15,-9103.0,-4.2,-607.0,40.0,-4.0,-1.09,-12993.0,127335.0,-120981.0,15457.0,217354.0,13714,0.949,1.084,0.0178,PASS
stra_t60_bars_6,15,-2087.0,-1.0,-139.0,53.3,-0.79,-0.25,-5953.0,127335.0,-120631.0,8790.0,217354.0,7043,0.949,1.076,0.0178,PASS
stra_t60_bars_12,15,303.0,0.1,20.0,53.3,0.37,0.03,-4267.0,127335.0,-121541.0,5491.0,217354.0,3859,0.949,1.068,0.0178,PASS
stra_t60_bars_78,15,22851.0,10.5,1523.0,60.0,10.91,1.48,11351.0,127335.0,-102659.0,1825.0,217354.0,605,0.949,1.124,0.0178,PASS
stra_t60_band_5,15,4649.0,2.1,310.0,53.3,2.39,0.48,-1673.0,127335.0,-118241.0,4446.0,217354.0,2334,0.949,1.107,0.0178,PASS
stra_t60_band_10,15,7330.0,3.4,489.0,60.0,3.65,0.68,-650.0,127335.0,-116973.0,3032.0,217354.0,1210,0.949,1.098,0.0178,PASS
stra_t60_band_20,15,11288.0,5.2,753.0,60.0,5.48,1.01,5317.0,127335.0,-113593.0,2454.0,217354.0,789,0.949,1.107,0.0178,PASS
stra_t30_daily,26,38227.0,10.3,1470.0,57.7,11.05,1.64,24889.0,7160.0,34046.0,2979.0,371290.0,646,0.962,1.121,,PASS
stra_t90_daily,9,14622.0,11.3,1625.0,77.8,11.68,1.36,4892.0,33221.0,-17412.0,1187.0,129692.0,584,0.917,1.116,,PASS
call_t60_daily,15,20538.0,9.3,1369.0,66.7,9.43,1.37,9434.0,326833.0,-304149.0,2147.0,220300.0,602,0.95,1.123,,PASS
put_t60_daily,15,24728.0,11.2,1649.0,73.3,11.32,1.79,13908.0,-63653.0,90330.0,1949.0,220036.0,614,0.947,1.123,,PASS
stra_t30_bars_6,26,-2787.0,-0.8,-107.0,53.8,-0.29,-0.21,-10474.0,7160.0,890.0,10837.0,371290.0,6895,0.962,1.065,0.021,PASS
stra_t90_bars_6,9,-1420.0,-1.1,-158.0,44.4,-0.98,-0.2,-4127.0,33221.0,-27144.0,7497.0,129692.0,6808,0.917,1.061,0.0165,PASS
stra_t60_daily_GROSS,15,23544.0,10.8,1570.0,66.7,11.19,1.75,13242.0,127335.0,-103791.0,0.0,217354.0,625,0.949,1.123,,PASS
stra_t60_bars_6_GROSS,15,6704.0,3.1,447.0,60.0,3.25,0.82,2396.0,127335.0,-120631.0,0.0,217354.0,7043,0.949,1.076,0.0178,PASS
stra_t60_bars_1_GROSS,15,6837.0,3.1,456.0,60.0,3.34,0.82,1873.0,127335.0,-120498.0,0.0,217354.0,39308,0.949,1.081,0.0178,PASS
