config,cycles,total_pnl,pnl_pct_of_premium,mean_cycle_pnl,win_rate_pct,mean_pct_prem,t_stat,pnl_ex_best,opt_pnl,hedge_pnl,costs,premium_paid,hedges,mean_entry_iv,mean_realized_vol,bs_vs_real_delta_mae,qa_recon,engine,symbol,days,rungs,end_equity,pnl,cagr_pct,max_dd_pct,sharpe,mean_rungs_open,mean_prem_at_risk,peak_prem_at_risk,pnl_pct_of_mean_prem,ann_vol_pct,beta_to_underlying
stra_t60_daily,10.0,-3651.0,-2.5,-365.0,30.0,-2.38,-0.28,-10763.0,-35984.0,33405.0,1072.0,145274.0,438,0.53,0.595,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
stra_t30_daily,19.0,1554.0,0.6,82.0,47.4,0.44,0.11,-5282.0,-29432.0,33016.0,2031.0,274716.0,473,0.548,0.573,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
stra_t90_daily,7.0,-354.0,-0.4,-51.0,42.9,-0.29,-0.04,-5874.0,-7095.0,7573.0,832.0,99769.0,435,0.542,0.597,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
call_t60_daily,10.0,-9451.0,-6.4,-945.0,30.0,-6.25,-0.69,-17266.0,15414.0,-23561.0,1304.0,146600.0,425,0.516,0.595,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
put_t60_daily,10.0,2315.0,1.6,232.0,40.0,1.52,0.18,-4337.0,-94813.0,98249.0,1121.0,147459.0,431,0.544,0.595,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
stra_t60_daily_GROSS,10.0,-2579.0,-1.8,-258.0,30.0,-1.64,-0.2,-9803.0,-35984.0,33405.0,0.0,145274.0,438,0.53,0.595,,PASS,scalp,TQQQ_pre,,,,,,,,,,,,,
stra_t60_s10,,,,,,,,,-35718.0,,2648.0,,456,,,,PASS,ladder,TQQQ_pre,471.0,35.0,121662.0,-28338.0,-10.6,-26.0,-0.52,2.9,41685.0,72817.0,-68.0,18.3,-0.098
stra_t60_s5,,,,,,,,,-59011.0,,4687.0,,461,,,,PASS,ladder,TQQQ_pre,471.0,66.0,94194.0,-55806.0,-22.0,-52.2,-0.54,5.4,77568.0,145281.0,-71.9,35.1,-0.169
stra_t60_s20,,,,,,,,,-14809.0,,1680.0,,451,,,,PASS,ladder,TQQQ_pre,471.0,20.0,133353.0,-16647.0,-6.1,-16.9,-0.46,1.7,24059.0,43602.0,-69.2,12.0,-0.053
stra_t90_s10,,,,,,,,,-1092.0,,1778.0,,418,,,,PASS,ladder,TQQQ_pre,471.0,23.0,152396.0,2396.0,0.9,-13.5,0.13,2.9,41932.0,98625.0,5.7,14.9,-0.077
stra_t60_daily,3.0,-10048.0,-23.0,-3349.0,33.3,-22.94,-1.8,-10328.0,20821.0,-30562.0,307.0,43659.0,121,0.689,0.501,,PASS,scalp,TQQQ_post,,,,,,,,,,,,,
stra_t30_daily,6.0,-11842.0,-13.5,-1974.0,33.3,-13.29,-1.63,-13527.0,10485.0,-21664.0,664.0,87701.0,143,0.63,0.548,,PASS,scalp,TQQQ_post,,,,,,,,,,,,,
stra_t90_daily,2.0,-5783.0,-20.2,-2891.0,50.0,-20.42,,-6870.0,20415.0,-25947.0,251.0,28557.0,144,0.697,0.585,,PASS,scalp,TQQQ_post,,,,,,,,,,,,,
