symbol,offset,cycles,pnl,pct_prem,win,first
TQQQ_pre,0,10,-3651.0,-2.38,30.0,2024-01-02
TQQQ_pre,4,10,-3777.0,-2.47,30.0,2024-01-08
TQQQ_pre,8,10,-3253.0,-2.1,30.0,2024-01-12
TQQQ_pre,12,10,-2135.0,-1.34,40.0,2024-01-19
TQQQ_pre,16,10,-2718.0,-1.74,40.0,2024-01-25
TQQQ_pre,20,10,-1623.0,-1.03,30.0,2024-02-01
TQQQ_pre,24,10,-891.0,-0.52,40.0,2024-02-06
TQQQ_pre,28,10,-3252.0,-2.14,30.0,2024-02-12
TQQQ_pre,32,10,-3018.0,-1.94,30.0,2024-02-16
TQQQ_pre,36,10,-3610.0,-2.35,20.0,2024-02-23
TQQQ_pre,40,10,-2657.0,-1.68,30.0,2024-02-29
TQQQ_pre,44,10,-5222.0,-3.43,20.0,2024-03-07
TQQQ_post,0,3,-10048.0,-22.94,33.3,2025-11-21
TQQQ_post,4,3,-12942.0,-29.23,33.3,2025-11-28
TQQQ_post,8,3,-6840.0,-15.27,33.3,2025-12-04
TQQQ_post,12,3,-5598.0,-12.96,33.3,2025-12-11
TQQQ_post,16,3,-5874.0,-13.2,33.3,2025-12-16
TQQQ_post,20,3,-2308.0,-5.08,33.3,2025-12-22
TQQQ_post,24,3,-1860.0,-3.95,33.3,2025-12-29
TQQQ_post,28,2,-1886.0,-6.6,50.0,2026-01-05
TQQQ_post,32,2,-1306.0,-4.41,50.0,2026-01-09
TQQQ_post,36,2,-826.0,-2.77,50.0,2026-01-15
TQQQ_post,40,2,-1018.0,-3.37,50.0,2026-01-22
TQQQ_post,44,2,-1414.0,-4.69,50.0,2026-01-28
SOXL,0,15,21771.0,10.38,66.7,2024-01-02
SOXL,4,15,21286.0,10.22,66.7,2024-01-08
SOXL,8,14,10844.0,5.26,50.0,2024-01-12
SOXL,12,14,8270.0,3.99,42.9,2024-01-19
SOXL,16,14,7090.0,3.4,42.9,2024-01-25
SOXL,20,14,7227.0,3.49,42.9,2024-02-01
SOXL,24,14,4925.0,2.38,35.7,2024-02-06
SOXL,28,14,7430.0,3.56,35.7,2024-02-12
SOXL,32,14,20789.0,10.69,64.3,2024-02-16
SOXL,36,14,18442.0,9.52,64.3,2024-02-23
SOXL,40,14,21768.0,11.13,64.3,2024-02-29
SOXL,44,13,8218.0,4.26,38.5,2024-03-06
