bucket,ivp_def,band,n,mean_vrp,median_vrp,pct_pos,p05_vrp,mean_iv
7d (weekly),ivp_full,0-30,148,-0.007408755272724668,0.0215257132141375,52.02702702702703,-0.8667125692631963,0.7618377364864864
7d (weekly),ivp_full,30-70,199,0.07196325121795007,0.1165885467151629,60.30150753768844,-0.5861268648431488,0.990145364321608
7d (weekly),ivp_full,>70,149,-0.06436510858884435,0.0917242743596842,54.36241610738255,-1.5467429688111005,1.4558161912751677
7d (weekly),ivp_full,>90,50,-0.23560309327620835,-0.13803434283026234,46.0,-1.8669080843557564,1.81752745
7d (weekly),ivp_trail,0-30,82,-0.014375427785561536,0.0449739645738856,53.65853658536586,-1.0399465852306213,0.746052256097561
7d (weekly),ivp_trail,30-70,133,0.08043664473056984,0.1327046146269574,63.1578947368421,-0.6468103808996264,0.9522810338345865
7d (weekly),ivp_trail,>70,182,-0.08693035860246737,-0.0020618483038712496,50.0,-1.4753109406448526,1.3826644917582416
7d (weekly),ivp_trail,>90,84,-0.12326623661016242,0.07907047927675509,52.38095238095239,-1.616968835055652,1.622566488095238
30d,ivp_full,0-30,187,-0.14877069613413885,-0.059942961729554,36.898395721925134,-0.9748098669824049,0.7946863770053475
30d,ivp_full,30-70,249,-0.11474785578160009,-0.0027281154294833,49.39759036144578,-1.314054225870313,0.9466843975903613
30d,ivp_full,>70,188,-0.16425334637834435,-0.0654993477242137,40.95744680851064,-0.9696137536237196,1.2758109175531915
30d,ivp_full,>90,63,-0.3828687075373174,-0.5129217798124586,20.634920634920633,-0.9763880047460711,1.5325920634920636
30d,ivp_trail,0-30,103,-0.0885693285830113,0.0463609688778251,56.310679611650485,-0.9534743199469877,0.7923877669902912
30d,ivp_trail,30-70,168,-0.17641113076249562,-0.05607738363048115,42.857142857142854,-1.5411504823690736,0.9047617261904763
30d,ivp_trail,>70,254,-0.1861176838405495,-0.0834779149626119,38.582677165354326,-0.9725955012539307,1.2065213976377953
30d,ivp_trail,>90,129,-0.26204168461044486,-0.1765761497355327,34.883720930232556,-0.9798066287272715,1.3450321511627905
90d,ivp_full,0-30,60,-0.3733998827167691,-0.1984097579387321,0.0,-0.9656107612432075,0.8305655416666667
90d,ivp_full,30-70,80,0.032187112273341825,0.042996528485604604,67.5,-0.15210364765802434,0.9738467812500001
90d,ivp_full,>70,61,-0.3935930367259503,-0.1511816113676229,27.86885245901639,-0.9316691617937308,1.1942631147540985
90d,ivp_full,>90,21,-0.7155276189324578,-0.8350156048931718,14.285714285714285,-0.9646121292083788,1.3501583333333333
90d,ivp_trail,0-30,8,-0.17015893678114968,-0.149773195328254,0.0,-0.2693560384237634,0.817309375
90d,ivp_trail,30-70,20,-0.05368686343927208,-0.10056874805552585,45.0,-0.8645133427515184,0.9128812500000001
90d,ivp_trail,>70,74,-0.3069444682106281,-0.060966431168677546,35.13513513513514,-0.9212439752410666,1.1481408783783784
90d,ivp_trail,>90,50,-0.35950343635889004,-0.12358818541176031,32.0,-0.9402700099247475,1.2051954999999999
