structure,n_all,tot_all,mean_all,n_hi,tot_hi,mean_hi,n_mid,tot_mid,mean_mid
short_put/put10%,119,-0.6799999999999917,-0.005714285714285645,46,8.564,0.18617391304347827,55,-8.875999999999998,-0.16138181818181813
short_put/put15%,119,-26.223999999999975,-0.22036974789915945,46,-13.251999999999988,-0.2880869565217389,55,-12.659999999999993,-0.23018181818181804
short_put/put20%,119,-51.639999999999986,-0.43394957983193266,46,-33.5,-0.7282608695652174,55,-17.267999999999994,-0.3139636363636362
short_call/call10%,119,-34.211999999999996,-0.2874957983193277,46,-39.843999999999994,-0.8661739130434781,55,4.194,0.07625454545454545
short_call/call15%,119,-41.90800000000001,-0.3521680672268908,46,-47.67000000000001,-1.0363043478260872,55,4.272,0.07767272727272728
short_call/call40%,119,-52.223999999999975,-0.43885714285714267,46,-48.72399999999999,-1.0592173913043477,55,-7.715999999999994,-0.140290909090909
short_put/put25%,119,-70.64599999999999,-0.5936638655462184,46,-49.69799999999999,-1.080391304347826,55,-20.336,-0.36974545454545454
short_call/call30%,119,-52.99000000000001,-0.4452941176470589,46,-51.164,-1.1122608695652174,55,-4.739999999999992,-0.08618181818181804
short_call/call50%,119,-55.494,-0.4663361344537815,46,-51.678000000000026,-1.1234347826086961,55,-8.475999999999985,-0.15410909090909064
strangle/put15%/call10%,119,-60.435999999999964,-0.5078655462184871,46,-53.095999999999975,-1.1542608695652168,55,-8.465999999999992,-0.15392727272727258
short_call/call20%,119,-52.17200000000001,-0.438420168067227,46,-53.480000000000004,-1.162608695652174,55,-1.1939999999999986,-0.021709090909090883
short_call/call25%,119,-56.826,-0.47752941176470587,46,-55.88800000000001,-1.2149565217391307,55,-3.2979999999999974,-0.059963636363636316
short_put/put30%,119,-79.09199999999998,-0.6646386554621847,46,-58.99599999999999,-1.2825217391304344,55,-20.174000000000003,-0.36680000000000007
strangle/put15%/call15%,119,-68.13199999999999,-0.5725378151260504,46,-60.922,-1.324391304347826,55,-8.387999999999991,-0.15250909090909073
strangle/put15%/call30%,119,-79.21399999999997,-0.6656638655462183,46,-64.41599999999998,-1.4003478260869562,55,-17.399999999999984,-0.31636363636363607
strangle/put15%/call20%,119,-78.396,-0.6587899159663866,46,-66.732,-1.450695652173913,55,-13.853999999999992,-0.25189090909090894
short_put/put40%,119,-94.744,-0.7961680672268907,46,-72.096,-1.567304347826087,55,-22.915999999999997,-0.4166545454545454
strangle/put20%/call10%,119,-85.85199999999998,-0.7214453781512603,46,-73.344,-1.5944347826086955,55,-13.073999999999995,-0.23770909090909081
short_put/put50%,119,-97.73199999999999,-0.8212773109243696,46,-77.51,-1.685,55,-20.490000000000002,-0.37254545454545457
strangle/put20%/call15%,119,-93.54799999999997,-0.7861176470588233,46,-81.16999999999999,-1.764565217391304,55,-12.995999999999995,-0.236290909090909
strangle/put20%/call30%,119,-104.62999999999998,-0.8792436974789914,46,-84.664,-1.8405217391304347,55,-22.00799999999998,-0.4001454545454542
strangle/put20%/call20%,119,-103.81199999999998,-0.8723697478991596,46,-86.98,-1.8908695652173915,55,-18.461999999999993,-0.3356727272727271
strangle/put25%/call10%,119,-104.85799999999998,-0.881159663865546,46,-89.54199999999997,-1.9465652173913037,55,-16.141999999999992,-0.29349090909090897
strangle/put25%/call15%,119,-112.554,-0.9458319327731093,46,-97.36800000000001,-2.116695652173913,55,-16.063999999999993,-0.29207272727272715
strangle/put30%/call10%,119,-113.30399999999999,-0.9521344537815125,46,-98.83999999999999,-2.1486956521739127,55,-15.980000000000004,-0.2905454545454546
strangle/put25%/call30%,119,-123.63599999999998,-1.0389579831932771,46,-100.86199999999998,-2.192652173913043,55,-25.075999999999983,-0.4559272727272724
strangle/put25%/call20%,119,-122.81799999999997,-1.0320840336134451,46,-103.17799999999998,-2.2429999999999994,55,-21.529999999999994,-0.39145454545454533
strangle/put30%/call15%,119,-120.99999999999997,-1.0168067226890753,46,-106.666,-2.3188260869565216,55,-15.901999999999997,-0.2891272727272727
strangle/put30%/call30%,119,-132.08199999999997,-1.1099327731092434,46,-110.16,-2.3947826086956523,55,-24.913999999999987,-0.45298181818181793
strangle/put30%/call20%,119,-131.26399999999998,-1.1030588235294116,46,-112.47600000000001,-2.445130434782609,55,-21.368,-0.38850909090909086
straddle/put50%/call50%,119,-153.226,-1.2876134453781511,46,-129.188,-2.8084347826086953,55,-28.96599999999998,-0.526654545454545
