wk,S,C,K,rv,otm,ret,payout,assigned
2022-04-04,115.41,111.45,122.0,0.6847989976238751,0.05710077116367729,-0.034312451260722576,0.0,False
2022-04-11,113.16,103.58,119.0,0.6578249332067889,0.05160834217037835,-0.08465889006716154,0.0,False
2022-04-18,103.01,96.57,109.0,0.6803752054379694,0.058149694204446156,-0.06251820211629955,0.0,False
2022-04-25,91.11,83.2,96.0,0.6292053866749857,0.05367138623641754,-0.08681813192843812,0.0,False
2022-05-02,83.75,84.92,88.0,0.5864269852259701,0.05074626865671639,0.013970149253731412,0.0,False
2022-05-09,82.72,76.88,86.0,0.5081519455474215,0.03965183752417789,-0.07059961315280472,0.0,False
2022-05-16,73.89,73.09,77.0,0.5166253159203598,0.04208959263770473,-0.010826904858573516,0.0,False
2022-05-23,76.53,91.34,80.0,0.5142605481251308,0.04534169606690175,0.19351888148438534,0.14817718541748337,True
2022-05-31,89.12,85.94,94.0,0.6744605885229495,0.05475763016157975,-0.035682226211849244,0.0,False
2022-06-06,89.45,69.52,94.0,0.6540720365724279,0.050866405813303484,-0.22280603689211853,0.0,False
2022-06-13,64.42,58.92,69.0,0.7877600475024787,0.07109593294008065,-0.0853772120459485,0.0,False
2022-06-21,63.08,68.88,67.0,0.6848176835196544,0.06214331008243512,0.09194673430564348,0.029803424223208554,True
2022-06-27,67.3,65.64,71.0,0.7130101752768454,0.054977711738484425,-0.024665676077265886,0.0,False
2022-07-05,60.48,66.69,64.0,0.7099382760326345,0.058201058201058364,0.1026785714285714,0.04447751322751319,True
2022-07-11,65.87,64.08,70.0,0.7593361998601698,0.06269925611052063,-0.027174738120540498,0.0,False
2022-07-18,66.16,69.96,70.0,0.7472839419756359,0.058041112454655375,0.05743651753325274,0.0,False
2022-07-25,71.5,76.51,76.0,0.7542791344247272,0.06293706293706292,0.07006993006993012,0.007132867132867204,True
2022-08-01,74.44,76.3,79.0,0.748508871996449,0.06125738850080609,0.024986566362170892,0.0,False
2022-08-08,77.63,89.16,82.0,0.7494660076332064,0.05629267035939711,0.14852505474687616,0.09223238438747904,True
2022-08-15,88.14,84.46,94.0,0.7812876893586402,0.06648513728159755,-0.04175175856591795,0.0,False
2022-08-22,80.3,75.23,86.0,0.7892809809644457,0.07098381070983817,-0.06313823163138221,0.0,False
