,entry,exit,ret
2023-07-03/2023-07-09,23.38,23.43,0.0021385799828914642
2023-07-10/2023-07-16,23.44,26.11,0.11390784982935154
2023-07-17/2023-07-23,26.39,25.0,-0.05267146646456988
2023-07-24/2023-07-30,24.69,28.27,0.14499797488861876
2023-07-31/2023-08-06,28.22,24.71,-0.12437987243089998
2023-08-07/2023-08-13,25.3,21.22,-0.16126482213438742
2023-08-14/2023-08-20,21.53,20.2,-0.06177426846261036
2023-08-21/2023-08-27,21.07,20.76,-0.014712861888941609
2023-08-28/2023-09-03,21.21,24.06,0.13437057991513424
2023-09-04/2023-09-10,23.51,21.33,-0.09272649936197375
2023-09-11/2023-09-17,21.07,19.87,-0.05695301376364492
2023-09-18/2023-09-24,19.89,18.06,-0.09200603318250389
2023-09-25/2023-10-01,17.96,18.9,0.0523385300668151
2023-10-02/2023-10-08,19.27,19.71,0.02283341982356002
2023-10-09/2023-10-15,18.76,18.93,0.009061833688699172
2023-10-16/2023-10-22,19.54,16.79,-0.14073694984646878
2023-10-23/2023-10-29,16.39,15.03,-0.08297742525930452
2023-10-30/2023-11-05,14.86,18.52,0.24629878869448185
2023-11-06/2023-11-12,18.14,20.65,0.1383682469680263
2023-11-13/2023-11-19,19.7,23.07,0.17106598984771582
2023-11-27/2023-12-03,22.84,23.07,0.010070052539404628
2023-12-04/2023-12-10,22.07,23.82,0.07929315813321258
2023-12-11/2023-12-17,25.27,30.56,0.20933913731697662
2023-12-18/2023-12-24,30.05,30.45,0.01331114808652245
2023-12-25/2023-12-31,31.71,31.58,-0.004099653106275691
2024-01-01/2024-01-07,29.04,25.66,-0.11639118457300268
2024-01-08/2024-01-14,27.69,28.06,0.013362224629830166
2024-01-15/2024-01-21,28.23,34.81,0.23308537017357422
2024-01-22/2024-01-28,35.55,34.08,-0.041350210970464096
2024-01-29/2024-02-04,33.84,33.64,-0.005910165484633634
2024-02-05/2024-02-11,35.03,39.15,0.11761347416500145
2024-02-12/2024-02-18,40.12,38.79,-0.03315054835493514
2024-02-19/2024-02-25,36.04,39.92,0.10765815760266384
2024-02-26/2024-03-03,40.91,48.0,0.17330725983867046
2024-03-04/2024-03-10,49.4,49.77,0.007489878542510153
2024-03-11/2024-03-17,45.2,43.03,-0.04800884955752216
2024-03-18/2024-03-24,43.97,46.12,0.04889697521037073
2024-03-25/2024-03-31,45.27,46.45,0.026065827258670238
2024-04-01/2024-04-07,49.63,43.79,-0.11767076365101758
2024-04-08/2024-04-14,44.03,41.25,-0.06313876902112203
2024-04-15/2024-04-21,43.13,30.65,-0.2893577556225366
2024-04-22/2024-04-28,31.53,39.98,0.26799873136695207
2024-04-29/2024-05-05,39.28,38.89,-0.00992871690427699
2024-05-06/2024-05-12,40.96,40.9,-0.00146484375
2024-05-13/2024-05-19,41.78,45.44,0.08760172331258964
2024-05-20/2024-05-26,47.9,51.32,0.07139874739039676
2024-05-27/2024-06-02,52.82,47.27,-0.10507383566830741
2024-06-03/2024-06-09,49.1,51.64,0.05173116089613039
2024-06-10/2024-06-16,51.44,60.13,0.16893468118195965
2024-06-17/2024-06-23,60.22,58.25,-0.032713384257721634
2024-06-24/2024-06-30,56.21,54.45,-0.03131115459882583
2024-07-01/2024-07-07,53.43,61.18,0.14504959760434222
2024-07-08/2024-07-14,63.98,65.36,0.02156924038762109
2024-07-15/2024-07-21,64.37,47.82,-0.2571073481435452
2024-07-22/2024-07-28,50.41,41.21,-0.18250347153342583
2024-07-29/2024-08-04,44.35,29.09,-0.3440811724915446
2024-08-05/2024-08-11,26.71,31.26,0.170348184200674
2024-08-12/2024-08-18,30.47,39.68,0.3022645224811291
2024-08-19/2024-08-25,38.4,40.16,0.04583333333333339
2024-08-26/2024-09-01,39.18,38.06,-0.02858601327207755
2024-09-02/2024-09-08,34.33,26.44,-0.22982813865423823
2024-09-09/2024-09-15,27.35,33.49,0.22449725776965268
2024-09-16/2024-09-22,32.06,33.68,0.050530255770430355
2024-09-23/2024-09-29,33.62,37.53,0.11629982153480078
2024-09-30/2024-10-06,36.55,36.67,0.0032831737346101786
2024-10-07/2024-10-13,36.12,38.97,0.07890365448504988
2024-10-14/2024-10-20,40.86,35.16,-0.1395007342143907
2024-10-21/2024-10-27,35.12,35.69,0.01623006833712992
2024-10-28/2024-11-03,35.46,31.01,-0.12549351381838691
2024-11-04/2024-11-10,30.83,35.23,0.14271813168991243
2024-11-11/2024-11-17,31.92,26.6,-0.16666666666666663
2024-11-18/2024-11-24,26.55,28.18,0.061393596986817345
2024-12-02/2024-12-08,29.59,29.59,0.0
2024-12-09/2024-12-15,29.95,31.14,0.03973288814691167
2024-12-16/2024-12-22,31.96,27.31,-0.14549436795994997
2024-12-23/2024-12-29,29.08,29.53,0.015474552957359
2024-12-30/2025-01-05,27.51,29.91,0.08724100327153761
2025-01-06/2025-01-12,33.39,27.89,-0.16471997604073074
2025-01-13/2025-01-19,27.13,32.53,0.1990416513085147
2025-01-20/2025-01-26,33.11,32.68,-0.012987012987012991
2025-01-27/2025-02-02,27.8,26.94,-0.03093525179856116
2025-02-03/2025-02-09,24.83,26.13,0.05235602094240832
2025-02-10/2025-02-16,27.35,28.51,0.042413162705667196
2025-02-17/2025-02-23,29.11,28.99,-0.0041222947440742175
2025-02-24/2025-03-02,27.85,22.08,-0.20718132854578108
2025-03-03/2025-03-09,22.05,20.85,-0.05442176870748294
2025-03-10/2025-03-16,19.34,19.68,0.0175801447776629
2025-03-17/2025-03-23,20.27,19.21,-0.05229403058707438
2025-03-24/2025-03-30,20.78,15.85,-0.23724735322425416
2025-03-31/2025-04-06,14.89,9.35,-0.37206178643384824
2025-04-07/2025-04-13,8.73,10.29,0.17869415807560118
2025-04-14/2025-04-20,10.6,9.19,-0.13301886792452833
2025-04-21/2025-04-27,8.42,12.21,0.45011876484560576
2025-04-28/2025-05-04,12.17,13.38,0.09942481511914547
2025-05-05/2025-05-11,13.11,14.17,0.0808543096872616
2025-05-12/2025-05-18,16.74,18.31,0.09378733572281961
2025-05-19/2025-05-25,17.69,15.87,-0.10288298473713975
2025-05-26/2025-06-01,16.81,16.24,-0.03390838786436645
2025-06-02/2025-06-08,16.33,19.25,0.1788120024494797
2025-06-09/2025-06-15,20.36,20.04,-0.015717092337917515
2025-06-16/2025-06-22,21.46,21.18,-0.013047530288909703
2025-06-23/2025-06-29,21.58,24.85,0.15152919369786866
2025-07-07/2025-07-13,25.85,27.41,0.060348162475821976
2025-07-14/2025-07-20,25.54,27.36,0.07126076742364917
2025-07-21/2025-07-27,28.1,25.56,-0.09039145907473323
2025-07-28/2025-08-03,26.86,24.04,-0.1049888309754281
2025-08-04/2025-08-10,24.78,25.63,0.034301856335754444
2025-08-11/2025-08-17,26.77,27.46,0.0257751214045574
2025-08-18/2025-08-24,27.32,27.61,0.010614934114202113
2025-08-25/2025-08-31,27.12,25.93,-0.04387905604719766
2025-09-01/2025-09-07,24.68,26.5,0.073743922204214
2025-09-08/2025-09-14,26.96,29.3,0.08679525222551931
2025-09-15/2025-09-21,29.83,32.92,0.10358699296010743
2025-09-22/2025-09-28,34.09,33.95,-0.004106776180698213
2025-09-29/2025-10-05,35.29,38.54,0.09209407764239153
2025-10-06/2025-10-12,42.65,35.18,-0.1751465416178194
2025-10-13/2025-10-19,38.69,40.24,0.04006203153269583
2025-10-20/2025-10-26,42.31,43.66,0.031907350508153964
2025-10-27/2025-11-02,45.69,48.71,0.06609761435762751
2025-11-03/2025-11-09,49.04,40.45,-0.17516313213703094
2025-11-10/2025-11-16,44.84,39.05,-0.12912578055307777
2025-11-17/2025-11-23,39.57,32.24,-0.18524134445286833
2025-12-01/2025-12-07,40.81,46.91,0.1494731683410928
2025-12-08/2025-12-14,47.8,41.54,-0.13096234309623422
2025-12-15/2025-12-21,42.23,42.32,0.0021311863604074333
2025-12-22/2025-12-28,43.8,44.38,0.01324200913242013
2025-12-29/2026-01-04,43.19,47.83,0.10743227598981253
2026-01-05/2026-01-11,49.87,54.5,0.09284138760778027
2026-01-12/2026-01-18,54.09,60.95,0.12682566093547787
2026-01-19/2026-01-25,60.24,60.47,0.0038180610889773092
2026-01-26/2026-02-01,61.68,60.99,-0.011186770428015524
2026-02-02/2026-02-08,62.76,61.68,-0.017208413001912004
2026-02-09/2026-02-15,62.27,64.0,0.027782238638188517
2026-02-16/2026-02-22,59.79,66.61,0.11406589730724193
2026-02-23/2026-03-01,67.0,62.71,-0.06402985074626866
2026-03-02/2026-03-08,60.44,47.34,-0.21674387822634011
2026-03-09/2026-03-15,45.28,50.35,0.11196996466431086
2026-03-16/2026-03-22,55.23,49.3,-0.10736918341481083
2026-03-23/2026-03-29,55.86,46.36,-0.17006802721088432
2026-03-30/2026-04-05,43.53,52.37,0.2030783367792326
2026-04-06/2026-04-12,54.56,77.31,0.41697214076246336
2026-04-13/2026-04-19,77.01,93.59,0.215296714712375
2026-04-20/2026-04-26,95.07,127.71,0.3433259703376459
2026-04-27/2026-05-03,124.09,130.85,0.05447658957208468
2026-05-04/2026-05-10,132.91,175.03,0.3169061771123316
2026-05-11/2026-05-17,179.46,169.1,-0.057728741780898374
2026-05-18/2026-05-24,158.58,190.34,0.20027746247950562
2026-05-25/2026-05-31,219.45,222.4,0.013442697653224034
2026-06-01/2026-06-07,210.87,191.02,-0.09413382652819269
2026-06-08/2026-06-14,202.12,234.44,0.15990500692657816
2026-06-15/2026-06-21,264.15,281.58,0.06598523566155601
2026-06-22/2026-06-28,297.94,218.52,-0.2665637376653017
2026-06-29/2026-07-05,208.79,176.63,-0.15403036543895776
2026-07-06/2026-07-12,205.14,192.09,-0.06361509213220229
