strategy,legs,trade_date,pnl,prem,spot,settle,put,call
short_put,put10%,2024-01-08,0.10400000000000001,0.10400000000000001,28.43,28.07,25.5,
short_call,call10%,2024-01-08,0.10400000000000001,0.10400000000000001,28.43,28.07,,31.5
short_put,put15%,2024-01-08,0.154,0.154,28.43,28.07,26.0,
short_call,call15%,2024-01-08,0.154,0.154,28.43,28.07,,31.0
short_put,put20%,2024-01-08,0.224,0.224,28.43,28.07,26.5,
short_call,call20%,2024-01-08,0.224,0.224,28.43,28.07,,30.5
short_put,put25%,2024-01-08,0.334,0.334,28.43,28.07,27.0,
short_call,call25%,2024-01-08,0.324,0.324,28.43,28.07,,30.0
short_put,put30%,2024-01-08,0.47000000000000003,0.47000000000000003,28.43,28.07,27.5,
short_call,call30%,2024-01-08,0.458,0.458,28.43,28.07,,29.5
short_put,put40%,2024-01-08,0.646,0.646,28.43,28.07,28.0,
short_call,call40%,2024-01-08,0.636,0.636,28.43,28.07,,29.0
short_put,put50%,2024-01-08,0.4640000000000003,0.894,28.43,28.07,28.5,
short_call,call50%,2024-01-08,0.862,0.862,28.43,28.07,,28.5
strangle,put15%/call10%,2024-01-08,0.258,0.258,28.43,28.07,26.0,31.5
strangle,put15%/call15%,2024-01-08,0.308,0.308,28.43,28.07,26.0,31.0
strangle,put15%/call20%,2024-01-08,0.378,0.378,28.43,28.07,26.0,30.5
strangle,put15%/call30%,2024-01-08,0.612,0.612,28.43,28.07,26.0,29.5
strangle,put20%/call10%,2024-01-08,0.328,0.328,28.43,28.07,26.5,31.5
strangle,put20%/call15%,2024-01-08,0.378,0.378,28.43,28.07,26.5,31.0
strangle,put20%/call20%,2024-01-08,0.448,0.448,28.43,28.07,26.5,30.5
strangle,put20%/call30%,2024-01-08,0.682,0.682,28.43,28.07,26.5,29.5
strangle,put25%/call10%,2024-01-08,0.43800000000000006,0.43800000000000006,28.43,28.07,27.0,31.5
strangle,put25%/call15%,2024-01-08,0.488,0.488,28.43,28.07,27.0,31.0
strangle,put25%/call20%,2024-01-08,0.558,0.558,28.43,28.07,27.0,30.5
strangle,put25%/call30%,2024-01-08,0.792,0.792,28.43,28.07,27.0,29.5
strangle,put30%/call10%,2024-01-08,0.5740000000000001,0.5740000000000001,28.43,28.07,27.5,31.5
strangle,put30%/call15%,2024-01-08,0.624,0.624,28.43,28.07,27.5,31.0
strangle,put30%/call20%,2024-01-08,0.6940000000000001,0.6940000000000001,28.43,28.07,27.5,30.5
strangle,put30%/call30%,2024-01-08,0.928,0.928,28.43,28.07,27.5,29.5
straddle,put50%/call50%,2024-01-08,1.3260000000000003,1.756,28.43,28.07,28.5,28.5
short_put,put10%,2024-01-22,0.162,0.162,35.260000000000005,34.01,31.0,
short_call,call10%,2024-01-22,0.164,0.164,35.260000000000005,34.01,,40.5
short_put,put15%,2024-01-22,0.28200000000000003,0.28200000000000003,35.260000000000005,34.01,32.0,
short_call,call15%,2024-01-22,0.246,0.246,35.260000000000005,34.01,,39.5
short_put,put20%,2024-01-22,0.376,0.376,35.260000000000005,34.01,32.5,
short_call,call20%,2024-01-22,0.376,0.376,35.260000000000005,34.01,,38.5
short_put,put25%,2024-01-22,0.492,0.492,35.260000000000005,34.01,33.0,
short_call,call25%,2024-01-22,0.466,0.466,35.260000000000005,34.01,,38.0
short_put,put30%,2024-01-22,0.622,0.622,35.260000000000005,34.01,33.5,
short_call,call30%,2024-01-22,0.5660000000000001,0.5660000000000001,35.260000000000005,34.01,,37.5
short_put,put40%,2024-01-22,0.503999999999998,0.994,35.260000000000005,34.01,34.5,
short_call,call40%,2024-01-22,0.848,0.848,35.260000000000005,34.01,,36.5
short_put,put50%,2024-01-22,-0.03400000000000203,1.456,35.260000000000005,34.01,35.5,
short_call,call50%,2024-01-22,1.232,1.232,35.260000000000005,34.01,,35.5
strangle,put15%/call10%,2024-01-22,0.44600000000000006,0.44600000000000006,35.260000000000005,34.01,32.0,40.5
strangle,put15%/call15%,2024-01-22,0.528,0.528,35.260000000000005,34.01,32.0,39.5
strangle,put15%/call20%,2024-01-22,0.658,0.658,35.260000000000005,34.01,32.0,38.5
strangle,put15%/call30%,2024-01-22,0.8480000000000001,0.8480000000000001,35.260000000000005,34.01,32.0,37.5
strangle,put20%/call10%,2024-01-22,0.54,0.54,35.260000000000005,34.01,32.5,40.5
strangle,put20%/call15%,2024-01-22,0.622,0.622,35.260000000000005,34.01,32.5,39.5
strangle,put20%/call20%,2024-01-22,0.752,0.752,35.260000000000005,34.01,32.5,38.5
strangle,put20%/call30%,2024-01-22,0.9420000000000001,0.9420000000000001,35.260000000000005,34.01,32.5,37.5
strangle,put25%/call10%,2024-01-22,0.656,0.656,35.260000000000005,34.01,33.0,40.5
strangle,put25%/call15%,2024-01-22,0.738,0.738,35.260000000000005,34.01,33.0,39.5
strangle,put25%/call20%,2024-01-22,0.868,0.868,35.260000000000005,34.01,33.0,38.5
strangle,put25%/call30%,2024-01-22,1.058,1.058,35.260000000000005,34.01,33.0,37.5
strangle,put30%/call10%,2024-01-22,0.786,0.786,35.260000000000005,34.01,33.5,40.5
strangle,put30%/call15%,2024-01-22,0.868,0.868,35.260000000000005,34.01,33.5,39.5
strangle,put30%/call20%,2024-01-22,0.998,0.998,35.260000000000005,34.01,33.5,38.5
strangle,put30%/call30%,2024-01-22,1.1880000000000002,1.1880000000000002,35.260000000000005,34.01,33.5,37.5
straddle,put50%/call50%,2024-01-22,1.1979999999999977,2.6879999999999997,35.260000000000005,34.01,35.5,35.5
short_put,put10%,2024-01-29,0.20600000000000002,0.20600000000000002,35.04,33.68,30.5,
short_call,call10%,2024-01-29,0.134,0.134,35.04,33.68,,41.0
short_put,put15%,2024-01-29,0.326,0.326,35.04,33.68,31.5,
short_call,call15%,2024-01-29,0.336,0.336,35.04,33.68,,39.0
short_put,put20%,2024-01-29,0.416,0.416,35.04,33.68,32.0,
short_call,call20%,2024-01-29,0.406,0.406,35.04,33.68,,38.5
short_put,put25%,2024-01-29,0.622,0.622,35.04,33.68,33.0,
short_call,call25%,2024-01-29,0.496,0.496,35.04,33.68,,38.0
short_put,put30%,2024-01-29,0.78,0.78,35.04,33.68,33.5,
short_call,call30%,2024-01-29,0.618,0.618,35.04,33.68,,37.5
short_put,put40%,2024-01-29,0.34799999999999964,1.168,35.04,33.68,34.5,
short_call,call40%,2024-01-29,1.094,1.094,35.04,33.68,,36.0
short_put,put50%,2024-01-29,-0.15600000000000036,1.664,35.04,33.68,35.5,
short_call,call50%,2024-01-29,1.318,1.318,35.04,33.68,,35.5
strangle,put15%/call10%,2024-01-29,0.46,0.46,35.04,33.68,31.5,41.0
strangle,put15%/call15%,2024-01-29,0.662,0.662,35.04,33.68,31.5,39.0
strangle,put15%/call20%,2024-01-29,0.732,0.732,35.04,33.68,31.5,38.5
