trade_date,spot,settle,sp_k,sc_k,credit_naked,lp_k,width,wing_cost,wing_cost_pct_of_credit,credit_prot,pnl_naked,pnl_prot,jade_lizard
2024-01-08,28.43,28.07,27.0,31.0,0.488,25.0,2.0,0.078,0.1598360655737705,0.41,0.488,0.41,True
2024-01-22,35.260000000000005,34.01,33.0,39.5,0.738,31.0,2.0,0.168,0.22764227642276424,0.57,0.738,0.57,True
2024-01-29,35.04,33.68,33.0,39.0,0.958,31.0,2.0,0.266,0.2776617954070981,0.692,0.958,0.692,True
2024-02-05,35.1,39.35,33.0,39.0,0.682,31.0,2.0,0.156,0.2287390029325513,0.526,0.33199999999999863,0.1759999999999986,True
2024-02-12,39.15,38.32,36.5,44.0,0.8320000000000001,34.5,2.0,0.244,0.2932692307692307,0.5880000000000001,0.8320000000000001,0.5880000000000001,True
2024-02-26,41.21,48.34,39.0,46.0,0.878,37.0,2.0,0.248,0.2824601366742597,0.63,-1.4620000000000033,-1.7100000000000035,True
2024-03-04,49.77,48.83,47.0,57.0,1.408,45.0,2.0,0.526,0.37357954545454547,0.8819999999999999,1.408,0.8819999999999999,True
2024-03-11,46.77,42.67,43.0,54.0,1.44,41.0,2.0,0.562,0.39027777777777783,0.8779999999999999,1.1100000000000017,0.5480000000000016,True
2024-03-18,42.54,46.41,39.0,50.0,1.2200000000000002,37.0,2.0,0.424,0.34754098360655733,0.7960000000000003,1.2200000000000002,0.7960000000000003,True
2024-03-25,45.89,46.53,44.0,51.0,0.984,42.0,2.0,0.298,0.30284552845528456,0.6859999999999999,0.984,0.6859999999999999,True
2024-04-01,47.99,43.71,45.5,53.0,1.1280000000000001,43.5,2.0,0.332,0.29432624113475175,0.796,-0.661999999999999,-0.9939999999999991,True
2024-04-08,44.0,41.36,41.5,49.0,0.8480000000000001,39.5,2.0,0.322,0.3797169811320754,0.526,0.7079999999999995,0.38599999999999945,True
2024-04-15,39.78,30.69,37.0,44.5,1.01,35.0,2.0,0.386,0.3821782178217822,0.624,-5.299999999999999,-1.3760000000000003,True
2024-04-22,32.07,39.75,30.0,36.0,0.786,28.0,2.0,0.248,0.3155216284987277,0.538,-2.964,-3.2119999999999997,True
2024-04-29,40.61,38.97,37.5,46.5,1.028,35.0,2.5,0.296,0.28793774319066145,0.732,1.028,0.732,True
2024-05-06,41.3,41.02,39.0,45.5,0.768,37.0,2.0,0.224,0.2916666666666667,0.544,0.768,0.544,True
2024-05-13,41.27,45.43,39.0,46.0,0.868,37.0,2.0,0.268,0.3087557603686636,0.6,0.868,0.6,True
2024-05-20,48.25,51.54,45.0,55.0,1.252,43.0,2.0,0.39399999999999996,0.3146964856230032,0.8580000000000001,1.252,0.8580000000000001,True
2024-06-03,48.59,51.91,46.0,54.0,1.072,44.0,2.0,0.424,0.39552238805970147,0.6480000000000001,1.072,0.6480000000000001,True
2024-06-10,53.95,60.03,51.0,60.0,1.254,49.0,2.0,0.566,0.4513556618819776,0.6880000000000001,1.2239999999999989,0.6579999999999989,True
