week_start,week_end,begin_cash,begin_equity,begin_sweep,spot_monday,anchor_action,anchor_strike,anchor_expiration,anchor_contracts,anchor_buy_price,anchor_cost,anchor_note,short_action,short_strike,short_expiration,short_contracts,short_credit_price,short_premium_received,short_note,short_realized_pnl,short_settle_price,short_settle_cost,short_outcome,spot_friday,week_realized,sweep_amount,end_cash,end_sweep,end_equity,end_total_wealth,anchor_realized_pnl,anchor_sell_price,anchor_proceeds,anchor_roll_reason
2024-01-02,2024-01-05,150000.0,150000.0,0.0,28.04,BUY,28.0,2024-05-17,41.0,4.98,20418.0,REAL QUOTE bid=4.90 ask=5.00 dte=136,SELL,27.0,2024-01-05,41.0,0.376,1541.6,REAL QUOTE bid=0.37 ask=0.40 delta=-0.287 dte=3,-2804.399999999995,25.94,4346.0,SETTLED_ITM(close 25.94),25.93,-2804.4,0.0,126724.3,0.0,150401.8,150401.8,,,,
2024-01-08,2024-01-12,126724.3,145481.8,0.0,28.43,HOLD,28.0,2024-05-17,41.0,,,,SELL,27.0,2024-01-12,41.0,0.334,1369.4,REAL QUOTE bid=0.33 ask=0.35 delta=-0.244 dte=4,1369.3999999999999,28.07,0.0,EXPIRED_WORTHLESS(close 28.07),28.1,1369.4,342.35,127724.7,342.35,146584.7,146927.05,,,,
2024-01-16,2024-01-19,127724.7,144842.2,342.35,29.19,HOLD,28.0,2024-05-17,41.0,,,,SELL,28.0,2024-01-19,41.0,0.308,1262.8,REAL QUOTE bid=0.30 ask=0.34 delta=-0.258 dte=3,1262.8,34.9,0.0,EXPIRED_WORTHLESS(close 34.90),34.86,1262.8,315.7,128645.15,658.05,139612.65,140270.7,,,,
2024-01-22,2024-01-26,128645.15,139243.65,658.05,35.26,ROLL_DRIFT(+25.7%),35.0,2024-05-17,31.0,5.53,17143.0,REAL QUOTE bid=5.45 ask=5.55 dte=116,SELL,33.0,2024-01-26,31.0,0.492,1525.2,REAL QUOTE bid=0.48 ask=0.54 delta=-0.236 dte=4,1525.2,34.01,0.0,EXPIRED_WORTHLESS(close 34.01),34.01,-8355.8,0.0,123497.4,658.05,142562.4,143220.45,-9881.000000000002,2.57,10537.0,ROLL_DRIFT(+25.7%)
2024-01-29,2024-02-02,123497.4,141167.4,658.05,35.04,HOLD,35.0,2024-05-17,31.0,,,,SELL,32.0,2024-02-02,31.0,0.416,1289.6,REAL QUOTE bid=0.41 ask=0.44 delta=-0.188 dte=4,1289.6000000000001,33.68,0.0,EXPIRED_WORTHLESS(close 33.68),33.65,1289.6,322.4,124444.45,980.45,143354.45,144334.9,,,,
2024-02-05,2024-02-09,124444.45,141494.45,980.45,35.1,HOLD,35.0,2024-05-17,31.0,,,,SELL,33.0,2024-02-09,31.0,0.446,1382.6,REAL QUOTE bid=0.44 ask=0.47 delta=-0.232 dte=4,1382.6000000000001,39.35,0.0,EXPIRED_WORTHLESS(close 39.35),39.32,1382.6,345.65,125461.25,1326.1,138403.75,139729.85,,,,
2024-02-12,2024-02-16,125461.25,138481.25,1326.1,39.15,ROLL_DRIFT(+11.0%),39.0,2024-08-16,28.0,8.57,23996.0,REAL QUOTE bid=8.45 ask=8.60 dte=186,SELL,36.0,2024-02-16,28.0,0.454,1271.2,REAL QUOTE bid=0.45 ask=0.47 delta=-0.194 dte=4,1271.2,38.32,0.0,EXPIRED_WORTHLESS(close 38.32),38.33,-2944.8,0.0,115606.9,1326.1,140316.9,141643.0,-4216.000000000001,4.17,12927.0,ROLL_DRIFT(+11.0%)
2024-02-20,2024-02-23,115606.9,142416.9,1326.1,36.42,HOLD,39.0,2024-08-16,28.0,,,,SELL,33.0,2024-02-23,28.0,0.774,2167.2,REAL QUOTE bid=0.77 ask=0.79 delta=-0.230 dte=3,2167.2000000000003,40.05,0.0,EXPIRED_WORTHLESS(close 40.05),40.17,2167.2,541.8,117214.1,1867.9,139544.1,141412.0,,,,
2024-02-26,2024-03-01,117214.1,138074.1,1867.9,41.21,HOLD,39.0,2024-08-16,28.0,,,,SELL,39.0,2024-03-01,28.0,0.624,1747.2,REAL QUOTE bid=0.62 ask=0.64 delta=-0.259 dte=4,1747.2,48.34,0.0,EXPIRED_WORTHLESS(close 48.34),48.33,1747.2,436.8,118506.3,2304.7,133626.3,135931.0,,,,
2024-03-04,2024-03-08,118506.3,133206.3,2304.7,49.77,ROLL_DRIFT(+27.1%),50.0,2024-08-16,21.0,10.770000000000001,22617.0,REAL QUOTE bid=10.65 ask=10.80 dte=165,SELL,46.0,2024-03-08,21.0,0.726,1524.6,REAL QUOTE bid=0.72 ask=0.75 delta=-0.219 dte=4,1524.6,48.83,0.0,EXPIRED_WORTHLESS(close 48.83),48.95,-7939.4,0.0,111900.4,2304.7,137152.9,139457.6,-9464.0,5.19,14532.0,ROLL_DRIFT(+27.1%)
2024-03-11,2024-03-15,111900.4,138937.9,2304.7,46.77,HOLD,50.0,2024-08-16,21.0,,,,SELL,43.0,2024-03-15,21.0,0.976,2049.6,REAL QUOTE bid=0.97 ask=1.00 delta=-0.244 dte=4,1356.6000000000035,42.67,693.0,SETTLED_ITM(close 42.67),42.74,1356.6,339.15,112904.2,2643.85,144561.7,147205.55,,,,
2024-03-18,2024-03-22,112904.2,143826.7,2643.85,42.54,ROLL_DRIFT(-14.5%),43.0,2024-08-16,27.0,10.28,27756.0,REAL QUOTE bid=10.00 ask=10.35 dte=151,SELL,39.0,2024-03-22,27.0,0.8180000000000001,2208.6,REAL QUOTE bid=0.81 ask=0.85 delta=-0.234 dte=4,2208.6000000000004,46.41,0.0,EXPIRED_WORTHLESS(close 46.41),46.43,10356.6,2589.15,115483.9,5233.0,137151.4,142384.4,8147.999999999997,14.65,30765.0,ROLL_DRIFT(-14.5%)
2024-03-25,2024-03-28,115483.9,136948.9,5233.0,45.89,HOLD,43.0,2024-08-16,27.0,,,,SELL,43.0,2024-03-28,27.0,0.464,1252.8,REAL QUOTE bid=0.46 ask=0.48 delta=-0.207 dte=3,1252.8000000000002,46.53,0.0,EXPIRED_WORTHLESS(close 46.53),46.53,1252.8,313.2,116405.95,5546.2,136453.45,141999.65,,,,
2024-04-01,2024-04-05,116405.95,136925.95,5546.2,47.99,ROLL_DRIFT(+12.8%),48.0,2024-08-16,22.0,9.959999999999999,21912.0,REAL QUOTE bid=9.40 ask=10.10 dte=137,SELL,45.0,2024-04-05,22.0,0.59,1298.0,REAL QUOTE bid=0.58 ask=0.63 delta=-0.226 dte=4,-1539.9999999999982,43.71,2838.0,SETTLED_ITM(close 43.71),43.62,-10153.0,0.0,112050.8,5546.2,136745.8,142292.0,-8612.999999999998,7.09,19143.0,ROLL_DRIFT(+12.8%)
2024-04-08,2024-04-12,112050.8,135810.8,5546.2,44.0,HOLD,48.0,2024-08-16,22.0,,,,SELL,41.0,2024-04-12,22.0,0.56,1232.0,REAL QUOTE bid=0.55 ask=0.60 delta=-0.219 dte=4,1232.0000000000002,41.36,0.0,EXPIRED_WORTHLESS(close 41.36),41.51,1232.0,308.0,112960.5,5854.2,140240.5,146094.7,,,,
2024-04-15,2024-04-19,112960.5,142495.5,5854.2,39.78,ROLL_DRIFT(-17.1%),40.0,2024-08-16,28.0,8.030000000000001,22484.0,REAL QUOTE bid=7.95 ask=8.05 dte=123,SELL,37.0,2024-04-19,28.0,0.774,2167.2,REAL QUOTE bid=0.77 ask=0.79 delta=-0.254 dte=4,-15500.799999999997,30.69,17668.0,SETTLED_ITM(close 30.69),30.79,-8306.8,0.0,104031.0,5854.2,138611.0,144465.2,7194.000000000003,13.23,29106.0,ROLL_DRIFT(-17.1%)
2024-04-22,2024-04-26,104031.0,135251.0,5854.2,32.07,ROLL_DRIFT(-19.4%),32.0,2024-08-16,33.0,6.16,20328.0,REAL QUOTE bid=6.00 ask=6.20 dte=116,SELL,30.0,2024-04-26,33.0,0.53,1749.0,REAL QUOTE bid=0.51 ask=0.61 delta=-0.252 dte=4,1749.0,39.75,0.0,EXPIRED_WORTHLESS(close 39.75),39.8,9981.0,2495.25,113611.65,8349.45,125656.65,134006.1,8231.999999999993,10.969999999999999,30716.0,ROLL_DRIFT(-19.4%)
2024-04-29,2024-05-03,113611.65,124996.65,8349.45,40.61,ROLL_DRIFT(+26.6%),41.0,2024-08-16,25.0,7.390000000000001,18475.0,REAL QUOTE bid=6.15 ask=7.70 dte=109,SELL,37.0,2024-05-03,25.0,0.614,1535.0,REAL QUOTE bid=0.61 ask=0.63 delta=-0.206 dte=4,1535.0,38.97,0.0,EXPIRED_WORTHLESS(close 38.97),38.97,-7507.0,0.0,107903.7,8349.45,127903.7,136253.15,-9042.0,3.42,11286.0,ROLL_DRIFT(+26.6%)
2024-05-06,2024-05-10,107903.7,124716.2,8349.45,41.3,HOLD,41.0,2024-08-16,25.0,,,,SELL,39.0,2024-05-10,25.0,0.492,1230.0,REAL QUOTE bid=0.47 ask=0.58 delta=-0.238 dte=4,1230.0,41.02,0.0,EXPIRED_WORTHLESS(close 41.02),41.03,1230.0,307.5,108809.95,8656.95,125309.95,133966.9,,,,
2024-05-13,2024-05-17,108809.95,124684.95,8656.95,41.27,HOLD,41.0,2024-08-16,25.0,,,,SELL,39.0,2024-05-17,25.0,0.636,1590.0,REAL QUOTE bid=0.63 ask=0.66 delta=-0.258 dte=4,1590.0,45.43,0.0,EXPIRED_WORTHLESS(close 45.43),45.4,1590.0,397.5,109986.2,9054.45,122048.7,131103.15,,,,
2024-05-20,2024-05-24,109986.2,119611.2,9054.45,48.25,ROLL_DRIFT(+18.8%),48.0,2024-11-15,19.0,10.91,20729.0,REAL QUOTE bid=9.95 ask=11.15 dte=179,SELL,45.0,2024-05-24,19.0,0.8160000000000001,1550.4,REAL QUOTE bid=0.80 ask=0.88 delta=-0.247 dte=4,1550.4,51.54,0.0,EXPIRED_WORTHLESS(close 51.54),51.44,-7524.6,0.0,100166.65,9054.45,116601.65,125656.1,-9075.000000000002,3.7600000000000002,9400.0,ROLL_DRIFT(+18.8%)
2024-05-28,2024-05-31,100166.65,114559.15,9054.45,54.04,ROLL_DRIFT(+12.0%),54.0,2024-11-15,16.0,11.19,17904.0,REAL QUOTE bid=10.55 ask=11.35 dte=171,SELL,51.0,2024-05-31,16.0,0.482,771.2,REAL QUOTE bid=0.47 ask=0.53 delta=-0.209 dte=3,-3148.8000000000047,48.55,3920.0,SETTLED_ITM(close 48.55),48.59,-10197.8,0.0,92760.7,9054.45,114080.7,123135.15,-7049.0,7.2,13680.0,ROLL_DRIFT(+12.0%)
2024-06-03,2024-06-07,92760.7,114280.7,9054.45,48.59,ROLL_DRIFT(-10.1%),49.0,2024-11-15,19.0,10.54,20026.0,REAL QUOTE bid=10.30 ask=10.60 dte=165,SELL,45.0,2024-06-07,19.0,0.5720000000000001,1086.8,REAL QUOTE bid=0.55 ask=0.66 delta=-0.207 dte=4,1086.8,51.91,0.0,EXPIRED_WORTHLESS(close 51.91),51.87,4510.8,1127.7,93986.7,10182.15,111656.7,121838.85,3424.000000000001,13.33,21328.0,ROLL_DRIFT(-10.1%)
2024-06-10,2024-06-14,93986.7,109994.2,10182.15,53.95,ROLL_DRIFT(+11.0%),54.0,2024-11-15,16.0,11.469999999999999,18352.0,REAL QUOTE bid=10.55 ask=11.70 dte=158,SELL,50.0,2024-06-14,16.0,0.628,1004.8,REAL QUOTE bid=0.62 ask=0.66 delta=-0.204 dte=4,1004.8,60.03,0.0,EXPIRED_WORTHLESS(close 60.03),60.1,-3099.2,0.0,92528.35,10182.15,107288.35,117470.5,-4104.0,8.379999999999999,15922.0,ROLL_DRIFT(+11.0%)
2024-06-17,2024-06-21,92528.35,105968.35,10182.15,62.67,ROLL_DRIFT(+16.2%),63.0,2024-11-15,13.0,14.1,18330.0,REAL QUOTE bid=12.90 ask=14.40 dte=151,SELL,59.0,2024-06-21,13.0,0.5680000000000001,738.4,REAL QUOTE bid=0.56 ask=0.60 delta=-0.205 dte=4,-535.5999999999959,58.02,1274.0,SETTLED_ITM(close 58.02),58.2,-5543.6,0.0,86979.45,10182.15,106381.95,116564.1,-5007.999999999998,8.34,13344.0,ROLL_DRIFT(+16.2%)
