policy,end_total,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,call_premium,put_prem_spent,put_realized,rolls,exits,income_weeks,loss_weeks,warnings
baseline,420719.0,180.5,50.6,-24.5,35.5,-13.8,523778.0,247670.0,-57269.0,0,1,131,4,2
rollup_20,338893.0,125.9,38.2,-24.5,34.3,-13.8,445890.0,539156.0,-133003.0,4,1,131,7,1
no_hedge,495526.0,230.4,60.7,-67.4,65.8,-31.1,590217.0,0.0,0.0,0,0,131,2,0
spread_75,509592.0,239.7,62.5,-47.6,50.9,-23.6,597450.0,146885.0,-13744.0,0,0,131,3,1
spread_65,503213.0,235.5,61.7,-36.8,44.9,-17.0,615787.0,189846.0,-21186.0,0,1,131,4,1
rolldown_10,296800.0,97.9,31.1,-55.6,46.9,-18.0,343409.0,1829326.0,-136224.0,70,0,131,36,61
rolldown_20,226754.0,51.2,17.8,-56.7,47.1,-18.2,334625.0,1195389.0,-95866.0,46,0,131,25,36
harvest_2x,432864.0,188.6,52.3,-42.3,45.7,-18.5,506334.0,257584.0,-28265.0,3,0,131,4,13
exit_uncond_15,171531.0,14.4,5.5,-38.2,33.3,-12.8,505099.0,478140.0,-32689.0,0,21,131,20,16
exit_uncond_20,236631.0,57.8,19.8,-36.3,34.3,-13.6,529961.0,352786.0,-52745.0,0,13,131,14,8
