R2 CALL DIAGONAL / PMCC -- BACKTEST REPORT
run: 2026-07-19 10:08
NOTE: EOD decisions (option data is EOD).  cash_apy=0 in the base run (no interest invented); an apy4% sensitivity row is in the grid.

BASE CONFIG {'long_kind': 'call', 'no_short': False, 'short_delta': 0.175, 'long_delta': 0.75, 'long_dte': 150, 'long_dte_lo': 120, 'long_dte_hi': 180, 'long_roll_dte': 45, 'restrike_hi': 0.0, 'restrike_lo': 0.0, 'delta_defense': False, 'defense_trigger': 0.5, 'sizing': 'share_repl', 'invest_frac': 0.75, 'sweep_frac': 0.25, 'cash_apy': 0.0, 'start_capital': 150000.0}

  config: pmcc_c18%_L75%_t150_share_repl
  weeks: 131
  blown: False
  end_wealth: 535891.15
  total_ret_pct: 257.3
  cagr_pct: 65.8
  max_dd_pct: -40.8
  ann_vol_pct: 51.4
  worst_wk_pct: -20.5
  income_weeks: 103
  loss_weeks: 28
  short_prem_collected: 227903.0
  short_realized: -150598.0
  long_realized: 540403.0
  long_rolls: 10
  sweep_final: 130083.75
  interest: 0.0
  commissions: 3914.0
  qa_recon: PASS

GRID + CONTROLS (sorted by end wealth)
                                       config  weeks  blown  end_wealth  total_ret_pct  cagr_pct  max_dd_pct  ann_vol_pct  worst_wk_pct  income_weeks  loss_weeks  short_prem_collected  short_realized  long_realized  long_rolls  sweep_final  interest  commissions qa_recon
      LONGONLY_pmcc_c18%_L75%_t150_share_repl    131  False   796402.40          430.9      94.0       -48.0         59.7         -21.0             6           4                   0.0             0.0       646998.0          10     85150.75       0.0        595.0     PASS
                                      BUYHOLD    131  False   763720.00          409.1      90.8       -75.2         85.6         -28.6             1           0                   0.0             0.0       613720.0           1         0.00       0.0          0.0     PASS
               pmcc_c10%_L70%_t150_share_repl    131  False   642067.90          328.0      78.1       -39.1         55.2         -22.8           115          16              134795.0       -120737.0       617291.0          10    111020.30       0.0       4486.0     PASS
               pmcc_c10%_L75%_t150_share_repl    131  False   636766.95          324.5      77.5       -43.0         56.3         -22.5           115          16              130758.0       -117162.0       608248.0          10    111120.40       0.0       4319.0     PASS
               pmcc_c10%_L80%_t150_share_repl    131  False   626077.40          317.4      76.3       -45.9         56.4         -22.3           115          16              127042.0       -114066.0       594306.0          10    110530.50       0.0       4163.0     PASS
               pmcc_c15%_L75%_t150_share_repl    131  False   618401.15          312.3      75.5       -40.4         53.8         -21.7           106          25              210206.0       -135507.0       608090.0          10    128591.95       0.0       4181.0     PASS
               pmcc_c15%_L70%_t150_share_repl    131  False   615122.85          310.1      75.1       -37.0         53.1         -22.3           106          25              215198.0       -132944.0       602371.0          10    125019.45       0.0       4305.0     PASS
               pmcc_c15%_L80%_t150_share_repl    131  False   601552.10          301.0      73.6       -43.6         53.3         -21.2           106          25              201014.0       -128326.0       583894.0          10    127291.25       0.0       4016.0     PASS
         pmcc_c18%_L75%_t150_share_repl_apy4%    131  False   562939.16          275.3      69.0       -40.3         51.2         -20.4           103          28              234912.0       -161395.0       566435.0          10    135901.20   11916.0       4016.0     PASS
               pmcc_c18%_L70%_t150_share_repl    131  False   537289.95          258.2      65.9       -37.7         50.6         -21.1           103          28              233037.0       -155519.0       546822.0          10    128885.35       0.0       4012.0     PASS
