R2 HEDGE CAMPAIGN -- LEVERS ALONE AND COMBINED
run: 2026-07-19 17:27
sorted by MAR (CAGR / |maxDD|); base PMCC and benchmarks included

                       label  end_wealth  cagr_pct  maxDD_pct  MAR        dd_recovered  longest_underwater_wks  worst_wk_pct  crash25_pct  crash26_pct  pct_weeks_income  put_realized  soxs_realized  sweep_final qa_recon
   X_inv50+pw+tp3+skips+apy4   477078.10      58.3      -27.6 2.11          2025-06-02                      46         -19.4         17.2         -7.6              47.0      -34269.0            0.0     80359.85     PASS
                    LONGONLY   796402.40      94.0      -48.0 1.96          2025-06-23                      49         -21.0         11.0        -16.1               5.0           0.0            0.0     85150.75     PASS
                F_both_skips   700376.50      84.4      -43.6 1.94          2025-06-23                      49         -21.8         14.2        -10.8              51.0           0.0            0.0    123950.05     PASS
         F_nocall_belowtrend   700376.50      84.4      -43.6 1.94          2025-06-23                      49         -21.8         14.2        -10.8              51.0           0.0            0.0    123950.05     PASS
           X_pw+tp3+nocallBT   611371.75      74.7      -39.7 1.88          2025-06-16                      48         -20.8         21.8         -9.2              47.0      -61234.0            0.0    126752.40     PASS
                X_inv50+apy4   440684.06      53.4      -28.8 1.85 NEVER (end of data)                      48         -19.6          8.9         -9.4              79.0           0.0            0.0     85300.15     PASS
              X_recovery_kit   659481.12      80.0      -44.7 1.79          2025-06-30                      50         -19.8          7.9         -8.7              47.0      -62278.0            0.0    147187.65     PASS
X_inv60+pw.25x25d90+tp3+apy4   463638.69      56.5      -32.3 1.75          2025-06-16                      48         -21.0         12.1         -9.3              73.0      -19254.0            0.0     97675.75     PASS
                      H_apy4   562939.16      69.0      -40.3 1.71          2025-06-23                      49         -20.4          9.8         -9.9              79.0           0.0            0.0    135901.20     PASS
         X_inv50+pw+tp3+apy4   393211.03      46.6      -27.7 1.68 NEVER (end of data)                      47         -19.9         13.3         -7.8              73.0      -30746.0            0.0     80257.15     PASS
        F_nocall_after10drop   570714.20      70.0      -42.1 1.66          2025-06-30                      50         -20.7          8.1        -10.1              76.0           0.0            0.0    132036.70     PASS
                   BASE_PMCC   535891.15      65.8      -40.8 1.61          2025-06-30                      50         -20.5          9.2        -10.0              79.0           0.0            0.0    130083.75     PASS
                     A_inv50   403975.95      48.2      -30.3 1.59          2025-06-23                      49         -19.3          7.7         -9.3              79.0           0.0            0.0     80664.80     PASS
                     A_inv60   454912.20      55.3      -35.0 1.58          2025-06-23                      49         -20.5          8.4        -10.0              79.0           0.0            0.0     97022.80     PASS
              B_pw0.25x25d90   504787.20      61.9      -39.4 1.57          2025-06-23                      49         -19.7         12.8         -8.6              73.0      -26280.0            0.0    132215.70     PASS
             B_pw0.25x25d120   502857.80      61.6      -39.3 1.57          2025-06-23                      49         -19.6         12.7         -9.3              73.0      -27497.0            0.0    132731.00     PASS
             B_pw0.25x35d120   483528.50      59.1      -37.9 1.56          2025-06-23                      49         -19.4         13.2         -9.2              73.0      -41361.0            0.0    127054.30     PASS
                     A_inv40   352987.45      40.5      -26.1 1.55 NEVER (end of data)                      48         -17.8          7.2         -8.4              79.0           0.0            0.0     64867.05     PASS
            C_pw.5x25d90_tp2   475340.40      58.1      -37.8 1.54          2025-06-23                      49         -19.3         16.1         -8.4              73.0      -53300.0            0.0    134537.50     PASS
             B_pw0.25x15d120   509323.85      62.5      -40.5 1.54          2025-06-30                      49         -20.0         11.3         -9.8              74.0      -16983.0            0.0    128548.65     PASS
              B_pw0.25x35d90   480034.10      58.7      -38.4 1.53          2025-06-23                      49         -19.7         13.5         -8.9              73.0      -42517.0            0.0    125881.10     PASS
                     I_soxs5   480856.01      58.8      -38.5 1.53          2025-06-23                      49         -18.9          9.8        -10.0              70.0           0.0       -37044.0    117765.31     PASS
              B_pw0.25x35d60   476380.10      58.2      -38.1 1.53          2025-06-23                      49         -19.7         11.0         -8.6              69.0      -33168.0            0.0    122690.95     PASS
              X_inv50+pw+tp3   372912.65      43.5      -28.7 1.52          2025-06-16                      48         -19.9         12.4         -7.9              73.0      -29126.0            0.0     78131.50     PASS
              B_pw0.25x25d60   490761.00      60.1      -39.6 1.52          2025-06-23                      49         -19.8         10.1         -9.1              71.0      -26161.0            0.0    123736.10     PASS
              B_pw0.25x15d90   507603.15      62.2      -40.8 1.52          2025-06-30                      50         -20.1         11.1         -9.4              74.0      -16301.0            0.0    127622.65     PASS
          X_pw+tp3+nocallD10   498694.30      61.1      -40.1 1.52          2025-06-23                      49         -19.9         15.1         -8.9              70.0      -56330.0            0.0    127766.10     PASS
              B_pw0.5x15d120   487422.00      59.6      -40.0 1.49          2025-06-23                      49         -19.3         13.1         -9.4              73.0      -33882.0            0.0    131361.45     PASS
                    I_soxs10   432893.25      52.3      -35.4 1.48          2025-06-23                      49         -18.3         10.6         -9.9              50.0           0.0       -69814.0    111890.55     PASS
               B_pw0.5x15d90   488289.05      59.8      -40.4 1.48          2025-06-23                      49         -19.4         13.3         -8.6              72.0      -32999.0            0.0    130374.60     PASS
              B_pw0.25x15d60   493512.85      60.4      -40.7 1.48          2025-06-30                      50         -19.7          9.8         -9.9              76.0      -21148.0            0.0    124630.70     PASS
          X_inv50+pw.5x25d90   364797.20      42.3      -28.7 1.47          2025-06-16                      48         -19.3         12.4         -7.5              73.0      -29930.0            0.0     79446.75     PASS
             D_trend100@0.25   352720.40      40.4      -27.4 1.47          2025-09-29                      63         -10.9          1.9         -4.1              70.0           0.0            0.0     95367.34     PASS
              B_pw0.5x35d120   442122.65      53.6      -36.7 1.46          2025-06-16                      48         -18.5         17.0         -8.6              73.0      -69987.0            0.0    129199.05     PASS
            C_pw.5x25d90_tp5   462966.30      56.4      -38.9 1.45          2025-06-23                      49         -19.6         16.0         -8.6              73.0      -55879.0            0.0    122358.75     PASS
               B_pw0.5x25d90   462966.30      56.4      -38.9 1.45          2025-06-23                      49         -19.6         16.0         -8.6              73.0      -55879.0            0.0    122358.75     PASS
            C_pw.5x25d90_tp3   463427.80      56.5      -38.9 1.45          2025-06-23                      49         -19.6         15.9         -8.6              73.0      -56077.0            0.0    122820.25     PASS
