label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized
BASE_PMCC,pmcc_c18%_L75%_t150_share_repl,131,False,535891.15,257.3,65.8,-40.8,51.4,-20.5,103,28,227903.0,-150598.0,540403.0,0.0,10,130083.75,0.0,3914.0,PASS,-40.8,2024-07-08,2025-04-14,2025-06-30,50,10.2,88.8,71.8,9.2,-10.0,79.0,1069.0
BUYHOLD,BUYHOLD,131,False,763720.0,409.1,90.8,-75.2,85.6,-28.6,1,0,0.0,0.0,613720.0,0.0,1,0.0,0.0,0.0,PASS,-75.2,2024-07-08,2025-03-31,2026-02-09,82,4.7,44.3,236.7,-28.4,-18.3,1.0,0.0
LONGONLY,LONGONLY_pmcc_c18%_L75%_t150_share_repl,131,False,796402.4,430.9,94.0,-48.0,59.7,-21.0,6,4,0.0,0.0,646998.0,0.0,10,85150.75,0.0,595.0,PASS,-48.0,2024-07-08,2025-04-14,2025-06-23,49,12.8,102.1,132.8,11.0,-16.1,5.0,0.0
TREND_FILTER,pmcc_c18%_L75%_t150_share_repl_trend,131,False,324075.8,116.1,35.8,-38.6,33.4,-12.3,87,44,123162.0,-72364.0,249201.0,0.0,10,86807.56,0.0,2761.0,PASS,-38.6,2024-07-08,2025-04-14,2025-10-13,65,6.2,38.9,46.5,-0.7,-5.4,66.0,641.0
DD_DERISK_20,pmcc_c18%_L75%_t150_share_repl_dd20%,131,False,347423.55,131.6,39.6,-33.8,33.5,-11.4,93,38,133605.0,-106020.0,306125.0,0.0,10,95599.44,0.0,2681.0,PASS,-33.8,2024-07-08,2025-04-14,2025-10-13,65,4.0,51.1,47.5,3.2,-5.0,71.0,727.0
TREND+DD,pmcc_c18%_L75%_t150_share_repl_trend_dd20%,131,False,329918.55,119.9,36.7,-30.7,31.5,-11.9,86,45,115700.0,-72030.0,254375.0,0.0,10,89510.54,0.0,2426.0,PASS,-30.7,2024-07-08,2025-04-14,2025-10-20,66,8.2,33.5,52.3,0.0,-5.1,66.0,545.0
INVEST_50,pmcc_c18%_L75%_t150_share_repl_inv50%,131,False,403975.95,169.3,48.2,-30.3,42.1,-19.3,103,28,149551.0,-92118.0,348703.0,0.0,10,80664.8,0.0,2608.0,PASS,-30.3,2024-07-08,2025-04-14,2025-06-23,49,7.0,64.8,52.7,7.7,-9.3,79.0,704.0
PUTWING_0.5x25d60,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d60,131,False,442757.6,195.2,53.7,-39.0,47.1,-19.4,90,41,198363.0,-131215.0,477724.0,-49467.0,10,118608.85,0.0,4285.0,PASS,-39.0,2024-06-10,2025-03-24,2025-06-23,49,2.5,74.6,64.9,11.0,-8.3,69.0,882.0
PUTWING_1x25d60,pmcc_c18%_L75%_t150_share_repl_pw1x25%d60,131,False,351170.95,134.1,40.2,-38.2,43.8,-17.1,89,42,170425.0,-112239.0,418577.0,-100591.0,10,118653.85,0.0,4577.0,PASS,-38.2,2024-06-10,2025-03-17,2025-06-23,53,-3.6,60.2,51.6,12.3,-8.3,68.0,885.0
PUTWING_1x15d60,pmcc_c18%_L75%_t150_share_repl_pw1x15%d60,131,False,405648.75,170.4,48.4,-40.4,47.3,-19.0,87,44,188184.0,-122961.0,451980.0,-68590.0,10,115894.5,0.0,4781.0,PASS,-40.4,2024-06-10,2025-03-24,2025-06-30,50,-2.2,72.4,60.4,11.7,-8.9,66.0,851.0
PUTWING_0.5x25d90,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90,131,False,462966.3,208.6,56.4,-38.9,47.7,-19.6,95,36,207001.0,-142422.0,515356.0,-55879.0,10,122358.75,0.0,4088.0,PASS,-38.9,2024-07-08,2025-03-17,2025-06-23,49,1.0,92.3,58.9,16.0,-8.6,73.0,952.0
PUTWING_0.5+TREND,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d60_trend,131,False,281389.35,87.6,28.4,-37.2,29.8,-9.7,76,55,111878.0,-65588.0,231445.0,-31479.0,10,82838.78,0.0,2988.0,PASS,-37.2,2024-06-10,2025-03-24,2025-10-20,66,0.2,30.5,43.4,0.5,-4.8,58.0,534.0
C10_PUTWING_0.5,pmcc_c10%_L75%_t150_share_repl_pw0.5x25%d60,131,False,531675.7,254.5,65.3,-39.6,52.4,-21.9,97,34,116490.0,-102142.0,550823.0,-62233.0,10,106826.6,0.0,4772.0,PASS,-39.6,2024-07-08,2025-03-24,2025-06-23,49,6.4,89.7,75.5,10.8,-14.4,74.0,499.0
C30_HARVEST+PW,pmcc_c30%_L75%_t150_share_repl_h93%_pw0.5x25%d60,131,False,257901.4,71.9,24.0,-41.3,29.9,-11.7,90,41,264398.0,-94114.0,243740.0,-38351.0,13,114381.2,0.0,3373.0,PASS,-41.3,2024-07-08,2025-03-17,2025-10-20,66,-14.3,52.2,31.8,20.3,1.0,69.0,1371.0
PREMIUM_SIZING,pmcc_c18%_L75%_t150_premium,131,False,206178.7,37.5,13.5,-67.8,61.9,-35.1,103,28,249275.0,-105070.0,166153.0,0.0,10,157761.85,0.0,4905.0,PASS,-67.8,2024-07-08,2025-04-14,NEVER (end of data),103,0.4,12.7,21.5,-1.7,-3.2,79.0,456.0
