label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,soxs_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized,MAR
BASE_PMCC,pmcc_c18%_L75%_t150_share_repl,131,False,535891.15,257.3,65.8,-40.8,51.4,-20.5,103,28,227903.0,-150598.0,540403.0,0.0,0.0,10,130083.75,0.0,3914.0,PASS,-40.8,2024-07-08,2025-04-14,2025-06-30,50,10.2,88.8,71.8,9.2,-10.0,79.0,1069.0,1.61
BUYHOLD,BUYHOLD,131,False,763720.0,409.1,90.8,-75.2,85.6,-28.6,1,0,0.0,0.0,613720.0,0.0,0.0,1,0.0,0.0,0.0,PASS,-75.2,2024-07-08,2025-03-31,2026-02-09,82,4.7,44.3,236.7,-28.4,-18.3,1.0,0.0,1.21
LONGONLY,LONGONLY_pmcc_c18%_L75%_t150_share_repl,131,False,796402.4,430.9,94.0,-48.0,59.7,-21.0,6,4,0.0,0.0,646998.0,0.0,0.0,10,85150.75,0.0,595.0,PASS,-48.0,2024-07-08,2025-04-14,2025-06-23,49,12.8,102.1,132.8,11.0,-16.1,5.0,0.0,1.96
A_inv40,pmcc_c18%_L75%_t150_share_repl_inv40%,131,False,352987.45,135.3,40.5,-26.1,36.6,-17.8,103,28,117655.0,-73011.0,278086.0,0.0,0.0,10,64867.05,0.0,2087.0,PASS,-26.1,2026-06-15,2026-06-29,NEVER (end of data),48,5.9,54.0,44.3,7.2,-8.4,79.0,559.0,1.55
A_inv50,pmcc_c18%_L75%_t150_share_repl_inv50%,131,False,403975.95,169.3,48.2,-30.3,42.1,-19.3,103,28,149551.0,-92118.0,348703.0,0.0,0.0,10,80664.8,0.0,2608.0,PASS,-30.3,2024-07-08,2025-04-14,2025-06-23,49,7.0,64.8,52.7,7.7,-9.3,79.0,704.0,1.59
A_inv60,pmcc_c18%_L75%_t150_share_repl_inv60%,131,False,454912.2,203.3,55.3,-35.0,46.9,-20.5,103,28,182477.0,-111626.0,419679.0,0.0,0.0,10,97022.8,0.0,3141.0,PASS,-35.0,2024-07-08,2025-04-14,2025-06-23,49,8.4,75.0,59.9,8.4,-10.0,79.0,854.0,1.58
B_pw0.25x15d60,pmcc_c18%_L75%_t150_share_repl_pw0.25x15%d60,131,False,493512.85,229.0,60.4,-40.7,49.1,-19.7,100,31,214720.0,-143632.0,512436.0,-21148.0,0.0,10,124630.7,0.0,4144.0,PASS,-40.7,2024-07-08,2025-04-14,2025-06-30,50,5.6,85.0,68.4,9.8,-9.9,76.0,966.0,1.48
B_pw0.25x15d90,pmcc_c18%_L75%_t150_share_repl_pw0.25x15%d90,131,False,507603.15,238.4,62.2,-40.8,50.3,-20.1,97,34,218975.0,-148393.0,526302.0,-16301.0,0.0,10,127622.65,0.0,4005.0,PASS,-40.8,2024-07-08,2025-03-24,2025-06-30,50,5.3,89.6,69.5,11.1,-9.4,74.0,988.0,1.52
B_pw0.25x15d120,pmcc_c18%_L75%_t150_share_repl_pw0.25x15%d120,131,False,509323.85,239.5,62.5,-40.5,50.2,-20.0,97,34,219670.0,-148365.0,528652.0,-16983.0,0.0,10,128548.65,0.0,3980.0,PASS,-40.5,2024-07-08,2025-03-24,2025-06-30,49,6.1,90.2,68.2,11.3,-9.8,74.0,1011.0,1.54
B_pw0.25x25d60,pmcc_c18%_L75%_t150_share_repl_pw0.25x25%d60,131,False,490761.0,227.2,60.1,-39.6,48.7,-19.8,93,38,213262.0,-143915.0,514958.0,-26161.0,0.0,10,123736.1,0.0,4121.0,PASS,-39.6,2024-07-08,2025-03-24,2025-06-23,49,5.9,82.0,69.7,10.1,-9.1,71.0,912.0,1.52
