config,week_start,spot,pm_requirement,equity,utilization_pct,excess_liquidity
BASE_PMCC,2024-01-02,28.04,30580.0,149576.0,20.4,118996.0
BASE_PMCC,2024-01-08,28.43,31260.0,150694.0,20.7,119434.0
BASE_PMCC,2024-01-16,29.19,33380.0,153442.0,21.8,120062.0
BASE_PMCC,2024-01-22,35.26,52640.0,158300.0,33.3,105660.0
BASE_PMCC,2024-01-29,35.04,53220.0,159892.0,33.3,106672.0
BASE_PMCC,2024-02-05,35.1,52120.0,159374.0,32.7,107254.0
BASE_PMCC,2024-02-12,39.15,67140.0,174592.0,38.5,107452.0
BASE_PMCC,2024-02-20,36.42,56040.0,165060.0,34.0,109020.0
BASE_PMCC,2024-02-26,41.21,73560.0,183582.0,40.1,110022.0
BASE_PMCC,2024-03-04,49.77,89366.0,205600.0,43.5,116234.0
BASE_PMCC,2024-03-11,46.77,84466.0,195404.0,43.2,110938.0
BASE_PMCC,2024-03-18,42.54,78572.0,181706.0,43.2,103134.0
BASE_PMCC,2024-03-25,45.89,84702.0,196186.0,43.2,111484.0
BASE_PMCC,2024-04-01,47.99,83462.0,200788.0,41.6,117326.0
BASE_PMCC,2024-04-08,44.0,41408.0,187837.6,22.0,146430.0
BASE_PMCC,2024-04-15,39.78,31072.0,164698.8,18.9,133627.0
BASE_PMCC,2024-04-22,32.07,15872.0,150030.0,10.6,134158.0
BASE_PMCC,2024-04-29,40.61,30832.0,154268.4,20.0,123436.0
BASE_PMCC,2024-05-06,41.3,33680.0,157871.6,21.3,124192.0
BASE_PMCC,2024-05-13,41.27,26480.0,151546.8,17.5,125067.0
BASE_PMCC,2024-05-20,48.25,43744.0,169212.4,25.9,125468.0
BASE_PMCC,2024-05-28,54.04,62960.0,189161.2,33.3,126201.0
BASE_PMCC,2024-06-03,48.59,47184.0,174170.8,27.1,126987.0
BASE_PMCC,2024-06-10,53.95,60688.0,188650.8,32.2,127963.0
BASE_PMCC,2024-06-17,62.67,85360.0,213980.4,39.9,128620.0
BASE_PMCC,2024-06-24,53.22,58576.0,188194.8,31.1,129619.0
BASE_PMCC,2024-07-01,55.36,62256.0,192370.8,32.4,130115.0
BASE_PMCC,2024-07-08,64.31,44496.0,210757.2,21.1,166261.0
BASE_PMCC,2024-07-15,64.14,43284.0,199586.0,21.7,156302.0
BASE_PMCC,2024-07-22,52.93,23016.0,180209.6,12.8,157194.0
BASE_PMCC,2024-07-29,41.81,23784.0,169751.6,14.0,145968.0
BASE_PMCC,2024-08-05,27.89,19093.0,162634.4,11.7,143541.0
BASE_PMCC,2024-08-12,31.41,26807.0,163527.2,16.4,136720.0
BASE_PMCC,2024-08-19,41.6,26040.0,161027.6,16.2,134988.0
BASE_PMCC,2024-08-26,37.37,27288.0,158422.4,17.2,131134.0
BASE_PMCC,2024-09-03,30.07,24808.0,154979.6,16.0,130172.0
BASE_PMCC,2024-09-09,27.43,21692.0,154268.0,14.1,132576.0
BASE_PMCC,2024-09-16,32.16,26645.0,149814.8,17.8,123170.0
BASE_PMCC,2024-09-23,33.92,30262.0,150304.4,20.1,120043.0
BASE_PMCC,2024-09-30,36.68,30504.0,150142.4,20.3,119638.0
BASE_PMCC,2024-10-07,36.41,33840.0,148297.4,22.8,114457.0
BASE_PMCC,2024-10-14,40.82,42555.0,158060.9,26.9,115506.0
BASE_PMCC,2024-10-21,35.09,30840.0,147115.4,21.0,116275.0
BASE_PMCC,2024-10-28,35.35,30270.0,147173.9,20.6,116904.0
BASE_PMCC,2024-11-04,30.35,19155.0,136813.4,14.0,117658.0
BASE_PMCC,2024-11-11,32.77,22410.0,136694.9,16.4,114285.0
BASE_PMCC,2024-11-18,27.67,12270.0,127220.9,9.6,114951.0
BASE_PMCC,2024-11-25,29.33,13875.0,129310.4,10.7,115435.0
BASE_PMCC,2024-12-02,30.2,14325.0,130289.9,11.0,115965.0
BASE_PMCC,2024-12-09,29.23,11940.0,128344.4,9.3,116404.0
BASE_PMCC,2024-12-16,32.51,17610.0,134740.4,13.1,117130.0
BASE_PMCC,2024-12-23,29.59,12825.0,130141.4,9.9,117316.0
BASE_PMCC,2024-12-30,27.94,8535.0,126491.9,6.7,117957.0
BASE_PMCC,2025-01-06,32.49,15510.0,133927.4,11.6,118417.0
BASE_PMCC,2025-01-13,27.85,26202.0,124425.2,21.1,98223.0
BASE_PMCC,2025-01-21,33.69,39468.0,133366.55,29.6,93899.0
BASE_PMCC,2025-01-27,25.06,19767.0,114569.75,17.3,94803.0
BASE_PMCC,2025-02-03,25.61,20295.0,115660.4,17.5,95365.0
BASE_PMCC,2025-02-10,27.35,23397.0,118962.05,19.7,95565.0
BASE_PMCC,2025-02-18,29.99,29172.0,125207.3,23.3,96035.0
