week_start,week_end,begin_cash,begin_sweep,spot_monday,action,n_condors,credit,credit_total,margin_req,put_width,call_width,expiration,sp_strike,lp_strike,sc_strike,lc_strike,sp_px,lp_px,sc_px,lc_px,legs_note,settle_price,outcome,week_realized,sweep_amount,end_cash,end_sweep,end_total_wealth
2024-01-02,2024-01-05,150000.0,0.0,28.04,OPEN,231.0,0.382,8824.2,37375.8,2.0,2.0,2024-01-05,27.0,25.0,30.0,32.0,0.376,0.086,0.152,0.06,sp:K=27 bid=0.37 ask=0.40 d=-0.29 | lp:K=25 bid=0.07 ask=0.09 d=-0.07 | sc:K=30 bid=0.15 ask=0.16 d=0.16 | lc:K=32 bid=0.02 ask=0.07 d=0.05,25.94,SETTLED_ITM(pay -1.06),-15661.8,0.0,133737.6,0.0,133737.6
2024-01-08,2024-01-12,133737.6,0.0,28.43,OPEN,159.0,0.402,6391.8,33358.2,2.5,2.5,2024-01-12,27.0,24.5,31.0,33.5,0.334,0.058,0.154,0.028,sp:K=27 bid=0.33 ask=0.35 d=-0.24 | lp:K=24.5 bid=0.05 ask=0.06 d=-0.05 | sc:K=31 bid=0.15 ask=0.17 d=0.14 | lc:K=33.5 bid=0.02 ask=0.03 d=0.02,28.07,EXPIRED_MAX_PROFIT,6391.8,1597.95,138118.05,1597.95,139716.0
2024-01-16,2024-01-19,138118.05,1597.95,29.19,OPEN,158.0,0.316,4992.8,34507.2,2.5,2.5,2024-01-19,28.0,25.5,32.0,34.5,0.308,0.048,0.082,0.026,sp:K=28 bid=0.30 ask=0.34 d=-0.26 | lp:K=25.5 bid=0.04 ask=0.05 d=-0.04 | sc:K=32 bid=0.08 ask=0.09 d=0.09 | lc:K=34.5 bid=0.01 ask=0.03 d=0.02,34.9,SETTLED_ITM(pay -2.50),-34507.2,0.0,103200.05,1597.95,104798.0
2024-01-22,2024-01-26,103200.05,1597.95,35.26,OPEN,103.0,0.516,5314.8,25585.2,3.0,3.0,2024-01-26,33.0,30.0,40.0,43.0,0.492,0.098,0.202,0.08,sp:K=33 bid=0.48 ask=0.54 d=-0.24 | lp:K=30 bid=0.09 ask=0.10 d=-0.05 | sc:K=40 bid=0.20 ask=0.21 d=0.12 | lc:K=43 bid=0.04 ask=0.09 d=0.04,34.01,EXPIRED_MAX_PROFIT,5314.8,1328.7,106918.35,2926.65,109845.0
2024-01-29,2024-02-02,106918.35,2926.65,35.04,OPEN,105.0,0.458,4809.0,26691.0,3.0,3.0,2024-02-02,32.0,29.0,40.0,43.0,0.416,0.112,0.212,0.058,sp:K=32 bid=0.41 ask=0.44 d=-0.19 | lp:K=29 bid=0.08 ask=0.12 d=-0.05 | sc:K=40 bid=0.21 ask=0.22 d=0.12 | lc:K=43 bid=0.05 ask=0.06 d=0.03,33.68,EXPIRED_MAX_PROFIT,4809.0,1202.25,110252.1,4128.9,114381.0
2024-02-05,2024-02-09,110252.1,4128.9,35.1,OPEN,111.0,0.52,5772.0,27528.0,3.0,3.0,2024-02-09,33.0,30.0,39.0,42.0,0.446,0.088,0.236,0.074,sp:K=33 bid=0.44 ask=0.47 d=-0.23 | lp:K=30 bid=0.08 ask=0.09 d=-0.05 | sc:K=39 bid=0.23 ask=0.26 d=0.15 | lc:K=42 bid=0.05 ask=0.08 d=0.04,39.35,SETTLED_ITM(pay -0.35),1887.0,471.75,111378.75,4600.65,115979.4
2024-02-12,2024-02-16,111378.75,4600.65,39.15,OPEN,111.0,0.504,5594.4,27705.6,3.0,3.0,2024-02-16,36.0,33.0,44.0,47.0,0.454,0.128,0.274,0.096,sp:K=36 bid=0.45 ask=0.47 d=-0.19 | lp:K=33 bid=0.12 ask=0.13 d=-0.06 | sc:K=44 bid=0.27 ask=0.29 d=0.14 | lc:K=47 bid=0.08 ask=0.10 d=0.05,38.32,EXPIRED_MAX_PROFIT,5594.4,1398.6,115285.95,5999.25,121285.2
2024-02-20,2024-02-23,115285.95,5999.25,36.42,OPEN,121.0,0.63,7623.0,28677.0,3.0,3.0,2024-02-23,33.0,30.0,44.0,47.0,0.774,0.292,0.288,0.14,sp:K=33 bid=0.77 ask=0.79 d=-0.23 | lp:K=30 bid=0.26 ask=0.30 d=-0.10 | sc:K=44 bid=0.28 ask=0.32 d=0.12 | lc:K=47 bid=0.10 ask=0.15 d=0.05,40.05,EXPIRED_MAX_PROFIT,7623.0,1905.75,120688.6,7905.0,128593.6
2024-02-26,2024-03-01,120688.6,7905.0,41.21,OPEN,105.0,0.638,6699.0,30051.0,3.5,3.0,2024-03-01,39.0,35.5,46.0,49.0,0.624,0.144,0.254,0.096,sp:K=39 bid=0.62 ask=0.64 d=-0.26 | lp:K=35.5 bid=0.12 ask=0.15 d=-0.07 | sc:K=46 bid=0.25 ask=0.27 d=0.14 | lc:K=49 bid=0.08 ask=0.10 d=0.05,48.34,SETTLED_ITM(pay -2.34),-17871.0,0.0,102544.6,7905.0,110449.6
2024-03-04,2024-03-08,102544.6,7905.0,49.77,OPEN,78.0,0.72,5616.0,25584.0,4.0,4.0,2024-03-08,46.0,42.0,58.0,62.0,0.726,0.186,0.336,0.156,sp:K=46 bid=0.72 ask=0.75 d=-0.22 | lp:K=42 bid=0.17 ask=0.19 d=-0.07 | sc:K=58 bid=0.33 ask=0.36 d=0.12 | lc:K=62 bid=0.14 ask=0.16 d=0.06,48.83,EXPIRED_MAX_PROFIT,5616.0,1404.0,106553.8,9309.0,115862.8
